x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-400,Run 3,81,4,nan,nan,0.427500,False
-400,Run 3,82,4,nan,nan,0.381000,False
-400,Run 3,83,4,nan,nan,0.258000,False
-400,Run 3,84,4,nan,nan,0.439500,False
-400,Run 3,85,4,nan,nan,0.369000,False
0,Run 4,16,4,nan,nan,0.980000,False
0,Run 4,17,4,nan,nan,0.909500,False
0,Run 4,18,4,nan,nan,0.945500,False
0,Run 4,19,4,nan,nan,0.944000,False
0,Run 4,20,4,4113.183,793.235,0.997000,True
0,Run 4,21,4,4276.371,955.105,0.994000,True
0,Run 4,22,4,3977.741,772.683,0.998500,True
0,Run 4,23,4,4101.473,911.755,0.994500,True
0,Run 4,24,4,3584.400,580.802,1.000000,True
0,Run 4,25,4,3345.088,450.116,1.000000,True
0,Run 4,26,4,3681.583,756.350,0.998000,True
0,Run 4,27,4,3330.035,494.660,1.000000,True
0,Run 4,28,4,3583.070,750.158,0.994000,True
0,Run 4,29,4,2896.868,373.883,1.000000,True
0,Run 4,30,4,2853.494,404.755,1.000000,True
0,Run 4,31,4,2692.139,336.528,1.000000,True
0,Run 4,32,4,2613.378,334.981,1.000000,True
0,Run 4,33,4,2606.117,326.496,1.000000,True
0,Run 4,34,4,2321.835,286.419,1.000000,True
0,Run 4,35,4,2289.487,279.833,1.000000,True
0,Run 4,36,4,2108.162,242.875,1.000000,True
0,Run 4,37,4,2129.188,289.500,1.000000,True
0,Run 4,38,4,1937.304,228.054,1.000000,True
0,Run 4,39,4,1742.472,188.557,1.000000,True
0,Run 4,40,4,1660.241,192.825,1.000000,True
0,Run 4,41,4,1515.433,170.418,1.000000,True
0,Run 4,42,4,1502.513,199.966,1.000000,True
0,Run 4,43,4,1348.078,163.675,1.000000,True
0,Run 4,44,4,1184.878,141.975,1.000000,True
0,Run 4,45,4,1053.569,134.734,1.000000,True
0,Run 4,46,4,938.943,124.525,1.000000,True
0,Run 4,47,4,814.207,127.492,1.000000,True
0,Run 4,48,4,673.810,107.858,1.000000,True
0,Run 4,49,4,513.597,100.341,1.000000,True
0,Run 4,50,4,386.221,61.135,1.000000,True
0,Run 4,51,4,388.607,62.415,1.000000,True
0,Run 4,52,4,516.542,98.241,1.000000,True
0,Run 4,53,4,665.337,104.546,1.000000,True
0,Run 4,54,4,814.943,122.536,1.000000,True
0,Run 4,55,4,939.175,124.803,1.000000,True
0,Run 4,56,4,1061.414,136.825,1.000000,True
0,Run 4,57,4,1175.803,145.092,1.000000,True
0,Run 4,58,4,1346.138,165.846,1.000000,True
0,Run 4,59,4,1489.568,203.809,1.000000,True
0,Run 4,60,4,1514.879,169.881,1.000000,True
0,Run 4,61,4,1659.651,200.080,1.000000,True
0,Run 4,62,4,1744.258,197.155,1.000000,True
0,Run 4,63,4,1934.591,231.846,1.000000,True
0,Run 4,64,4,2123.348,296.909,1.000000,True
0,Run 4,65,4,2090.949,239.734,1.000000,True
0,Run 4,66,4,2284.873,279.421,1.000000,True
0,Run 4,67,4,2311.930,276.368,1.000000,True
0,Run 4,68,4,2588.236,339.347,1.000000,True
0,Run 4,69,4,2611.783,322.230,1.000000,True
0,Run 4,70,4,2685.273,332.520,1.000000,True
0,Run 4,71,4,2859.460,393.273,1.000000,True
0,Run 4,72,4,2882.960,345.670,1.000000,True
0,Run 4,73,4,3577.104,787.763,0.997500,True
0,Run 4,74,4,3346.064,529.501,0.999500,True
0,Run 4,75,4,3656.785,707.301,0.998000,True
0,Run 4,76,4,3319.661,430.853,1.000000,True
0,Run 4,77,4,3594.739,621.768,1.000000,True
0,Run 4,78,4,4136.475,936.791,0.994000,True
0,Run 4,79,4,3965.926,775.623,0.996500,True
0,Run 4,80,4,4235.275,899.221,0.993000,True
0,Run 4,81,4,4124.259,723.757,0.996000,True
0,Run 4,82,4,nan,nan,0.957500,False
0,Run 4,83,4,nan,nan,0.939500,False
0,Run 4,84,4,nan,nan,0.895000,False
0,Run 4,85,4,nan,nan,0.980000,False
-690,Run 1,16,20,719.814,81.016,1.000000,True
-690,Run 1,17,20,801.013,84.874,1.000000,True
-690,Run 1,18,20,1001.979,106.975,1.000000,True
-690,Run 1,19,20,1207.711,120.401,1.000000,True
-690,Run 1,20,20,1460.042,155.193,1.000000,True
-690,Run 1,21,20,1684.595,181.789,1.000000,True
-690,Run 1,22,20,1759.265,177.346,1.000000,True
-690,Run 1,23,20,2085.633,260.132,1.000000,True
-690,Run 1,24,20,2163.667,249.578,1.000000,True
-690,Run 1,25,20,2728.991,390.038,1.000000,True
-690,Run 1,26,20,2673.149,352.163,1.000000,True
-690,Run 1,27,20,2850.102,386.611,1.000000,True
-690,Run 1,28,20,2886.245,368.855,1.000000,True
-690,Run 1,29,20,3146.037,464.755,1.000000,True
-690,Run 1,30,20,nan,nan,0.967000,False
-690,Run 1,31,20,4029.212,904.664,0.996000,True
-690,Run 1,32,20,nan,nan,0.966000,False
-690,Run 1,33,20,nan,nan,0.967000,False
-690,Run 1,34,20,nan,nan,0.890000,False
-690,Run 1,35,20,nan,nan,0.738000,False
-690,Run 1,36,20,nan,nan,0.766000,False
-690,Run 1,37,20,nan,nan,0.777500,False
-690,Run 1,38,20,nan,nan,0.749500,False
-690,Run 1,39,20,nan,nan,0.430500,False
-690,Run 1,40,20,nan,nan,0.466000,False
-690,Run 1,41,20,nan,nan,0.076000,False
-690,Run 1,42,20,nan,nan,0.105500,False
-690,Run 1,43,20,nan,nan,0.206500,False
-690,Run 1,44,20,nan,nan,0.148500,False
-690,Run 1,45,20,nan,nan,0.044000,False
-690,Run 1,46,20,nan,nan,0.025000,False
-690,Run 1,47,20,nan,nan,0.068000,False
-690,Run 1,48,20,nan,nan,0.041000,False
-690,Run 1,49,20,nan,nan,0.028000,False
-690,Run 1,50,20,nan,nan,0.011000,False
-690,Run 1,51,20,nan,nan,0.008500,False
-690,Run 1,52,20,nan,nan,0.007000,False
-690,Run 1,53,20,nan,nan,0.012500,False
-690,Run 1,54,20,nan,nan,0.003500,False
-690,Run 1,55,20,nan,nan,0.000000,False
-690,Run 1,56,20,nan,nan,0.002500,False
-690,Run 1,57,20,nan,nan,0.000500,False
-690,Run 1,58,20,nan,nan,0.001500,False
-690,Run 1,59,20,nan,nan,0.000500,False
-690,Run 1,60,20,nan,nan,0.000000,False
-690,Run 1,61,20,nan,nan,0.000000,False
-690,Run 1,62,20,nan,nan,0.000000,False
-690,Run 1,63,20,nan,nan,0.000500,False
-690,Run 1,64,20,nan,nan,0.000000,False
-690,Run 1,65,20,nan,nan,0.000000,False
-690,Run 1,66,20,nan,nan,0.000000,False
-690,Run 1,67,20,nan,nan,0.000000,False
-690,Run 1,68,20,nan,nan,0.000000,False
-690,Run 1,69,20,nan,nan,0.000000,False
-690,Run 1,70,20,nan,nan,0.000000,False
-690,Run 1,71,20,nan,nan,0.000000,False
-690,Run 1,72,20,nan,nan,0.000000,False
-690,Run 1,73,20,nan,nan,0.000000,False
-690,Run 1,74,20,nan,nan,0.000000,False
-690,Run 1,75,20,nan,nan,0.000000,False
-690,Run 1,76,20,nan,nan,0.000000,False
-690,Run 1,77,20,nan,nan,0.000000,False
-690,Run 1,78,20,nan,nan,0.000000,False
-690,Run 1,79,20,nan,nan,0.000000,False
-690,Run 1,80,20,nan,nan,0.000000,False
-690,Run 1,81,20,nan,nan,0.000000,False
-690,Run 1,82,20,nan,nan,0.000000,False
-690,Run 1,83,20,nan,nan,0.000000,False
-690,Run 1,84,20,nan,nan,0.000000,False
-690,Run 1,85,20,nan,nan,0.000000,False
-400,Run 3,16,20,3693.832,654.848,0.999500,True
-400,Run 3,17,20,4151.829,974.159,0.992500,True
-400,Run 3,18,20,3438.340,605.732,0.999500,True
-400,Run 3,19,20,2890.091,389.338,1.000000,True
-400,Run 3,20,20,2740.691,364.517,1.000000,True
-400,Run 3,21,20,2478.866,307.771,1.000000,True
-400,Run 3,22,20,2632.210,384.726,1.000000,True
-400,Run 3,23,20,2206.931,259.475,1.000000,True
-400,Run 3,24,20,1932.442,220.488,1.000000,True
-400,Run 3,25,20,1745.765,193.624,1.000000,True
-400,Run 3,26,20,1549.698,164.641,1.000000,True
-400,Run 3,27,20,1423.795,157.349,1.000000,True
-400,Run 3,28,20,1177.555,127.735,1.000000,True
-400,Run 3,29,20,934.057,99.135,1.000000,True
-400,Run 3,30,20,753.764,82.294,1.000000,True
-400,Run 3,31,20,733.596,81.580,1.000000,True
-400,Run 3,32,20,904.920,103.512,1.000000,True
-400,Run 3,33,20,1130.641,121.833,1.000000,True
-400,Run 3,34,20,1329.950,145.075,1.000000,True
-400,Run 3,35,20,1507.609,158.258,1.000000,True
