x_mm,run_label,global_id,threshold_pe,mean_t_ps,rms_t_ps,eff,included
-690,Run 1,69,4,nan,nan,0.137000,False
-690,Run 1,70,4,nan,nan,0.084000,False
-690,Run 1,71,4,nan,nan,0.104500,False
-690,Run 1,72,4,nan,nan,0.170500,False
-690,Run 1,73,4,nan,nan,0.135000,False
-690,Run 1,74,4,nan,nan,0.074000,False
-690,Run 1,75,4,nan,nan,0.067500,False
-690,Run 1,76,4,nan,nan,0.052500,False
-690,Run 1,77,4,nan,nan,0.061000,False
-690,Run 1,78,4,nan,nan,0.031500,False
-690,Run 1,79,4,nan,nan,0.017500,False
-690,Run 1,80,4,nan,nan,0.041500,False
-690,Run 1,81,4,nan,nan,0.010500,False
-690,Run 1,82,4,nan,nan,0.034000,False
-690,Run 1,83,4,nan,nan,0.030000,False
-690,Run 1,84,4,nan,nan,0.016000,False
-690,Run 1,85,4,nan,nan,0.016000,False
-400,Run 3,16,4,2036.891,232.999,1.000000,True
-400,Run 3,17,4,2047.323,283.511,1.000000,True
-400,Run 3,18,4,1878.750,217.229,1.000000,True
-400,Run 3,19,4,1697.982,181.097,1.000000,True
-400,Run 3,20,4,1604.944,177.223,1.000000,True
-400,Run 3,21,4,1468.253,152.219,1.000000,True
-400,Run 3,22,4,1441.052,186.332,1.000000,True
-400,Run 3,23,4,1291.223,149.689,1.000000,True
-400,Run 3,24,4,1137.338,131.414,1.000000,True
-400,Run 3,25,4,1022.802,122.538,1.000000,True
-400,Run 3,26,4,905.749,111.461,1.000000,True
-400,Run 3,27,4,787.365,110.482,1.000000,True
-400,Run 3,28,4,647.205,94.780,1.000000,True
-400,Run 3,29,4,501.526,88.799,1.000000,True
-400,Run 3,30,4,383.406,52.961,1.000000,True
-400,Run 3,31,4,373.918,50.631,1.000000,True
-400,Run 3,32,4,469.509,82.741,1.000000,True
-400,Run 3,33,4,622.102,91.165,1.000000,True
-400,Run 3,34,4,757.680,101.753,1.000000,True
-400,Run 3,35,4,886.637,108.793,1.000000,True
-400,Run 3,36,4,1004.134,119.176,1.000000,True
-400,Run 3,37,4,1147.368,146.353,1.000000,True
-400,Run 3,38,4,1272.359,150.549,1.000000,True
-400,Run 3,39,4,1344.256,147.705,1.000000,True
-400,Run 3,40,4,1450.059,159.445,1.000000,True
-400,Run 3,41,4,1572.960,177.560,1.000000,True
-400,Run 3,42,4,1760.801,220.808,1.000000,True
-400,Run 3,43,4,1949.145,269.191,1.000000,True
-400,Run 3,44,4,1916.646,220.980,1.000000,True
-400,Run 3,45,4,2002.587,211.579,1.000000,True
-400,Run 3,46,4,2133.237,240.426,1.000000,True
-400,Run 3,47,4,2339.011,317.072,1.000000,True
-400,Run 3,48,4,2503.532,332.280,1.000000,True
-400,Run 3,49,4,2457.790,290.179,1.000000,True
-400,Run 3,50,4,2693.755,391.104,1.000000,True
-400,Run 3,51,4,2763.826,340.029,1.000000,True
-400,Run 3,52,4,3188.884,641.153,0.998000,True
-400,Run 3,53,4,3290.084,588.000,0.997500,True
-400,Run 3,54,4,3142.040,481.173,1.000000,True
-400,Run 3,55,4,3356.470,585.526,0.999000,True
-400,Run 3,56,4,3375.680,531.169,0.998500,True
-400,Run 3,57,4,nan,nan,0.961000,False
-400,Run 3,58,4,nan,nan,0.981500,False
-400,Run 3,59,4,3933.098,869.439,0.990000,True
-400,Run 3,60,4,nan,nan,0.978500,False
-400,Run 3,61,4,nan,nan,0.924000,False
-400,Run 3,62,4,nan,nan,0.844000,False
-400,Run 3,63,4,nan,nan,0.890500,False
-400,Run 3,64,4,nan,nan,0.872000,False
-400,Run 3,65,4,nan,nan,0.893000,False
-400,Run 3,66,4,nan,nan,0.840500,False
-400,Run 3,67,4,nan,nan,0.829500,False
-400,Run 3,68,4,nan,nan,0.637500,False
-400,Run 3,69,4,nan,nan,0.606000,False
-400,Run 3,70,4,nan,nan,0.736500,False
-400,Run 3,71,4,nan,nan,0.498500,False
-400,Run 3,72,4,nan,nan,0.450000,False
-400,Run 3,73,4,nan,nan,0.284500,False
-400,Run 3,74,4,nan,nan,0.589000,False
-400,Run 3,75,4,nan,nan,0.516500,False
-400,Run 3,76,4,nan,nan,0.406000,False
-400,Run 3,77,4,nan,nan,0.274000,False
-400,Run 3,78,4,nan,nan,0.268500,False
-400,Run 3,79,4,nan,nan,0.211500,False
-400,Run 3,80,4,nan,nan,0.291500,False
-400,Run 3,81,4,nan,nan,0.236500,False
-400,Run 3,82,4,nan,nan,0.218500,False
-400,Run 3,83,4,nan,nan,0.113000,False
-400,Run 3,84,4,nan,nan,0.238000,False
-400,Run 3,85,4,nan,nan,0.180000,False
0,Run 4,16,4,nan,nan,0.923500,False
0,Run 4,17,4,nan,nan,0.770500,False
0,Run 4,18,4,nan,nan,0.852500,False
0,Run 4,19,4,nan,nan,0.850000,False
0,Run 4,20,4,nan,nan,0.984000,False
0,Run 4,21,4,nan,nan,0.967500,False
0,Run 4,22,4,nan,nan,0.983500,False
0,Run 4,23,4,nan,nan,0.974000,False
0,Run 4,24,4,3601.844,692.782,0.997500,True
0,Run 4,25,4,3321.649,507.564,0.999500,True
0,Run 4,26,4,3653.190,829.301,0.990500,True
0,Run 4,27,4,3326.056,611.949,0.999500,True
0,Run 4,28,4,3593.652,924.447,0.991500,True
0,Run 4,29,4,2840.035,359.677,1.000000,True
0,Run 4,30,4,2807.053,409.263,1.000000,True
0,Run 4,31,4,2618.555,329.209,1.000000,True
0,Run 4,32,4,2547.960,331.754,1.000000,True
0,Run 4,33,4,2556.082,348.805,1.000000,True
0,Run 4,34,4,2250.398,268.939,1.000000,True
0,Run 4,35,4,2226.265,276.022,1.000000,True
0,Run 4,36,4,2029.225,220.069,1.000000,True
0,Run 4,37,4,2062.617,294.158,1.000000,True
0,Run 4,38,4,1875.683,210.890,1.000000,True
0,Run 4,39,4,1685.907,176.331,1.000000,True
0,Run 4,40,4,1614.188,179.264,1.000000,True
0,Run 4,41,4,1469.130,158.103,1.000000,True
0,Run 4,42,4,1438.170,186.632,1.000000,True
0,Run 4,43,4,1293.470,151.221,1.000000,True
0,Run 4,44,4,1141.038,128.568,1.000000,True
0,Run 4,45,4,1026.699,123.245,1.000000,True
0,Run 4,46,4,908.162,112.177,1.000000,True
0,Run 4,47,4,783.335,107.630,1.000000,True
0,Run 4,48,4,648.958,95.462,1.000000,True
0,Run 4,49,4,502.929,87.126,1.000000,True
0,Run 4,50,4,383.023,53.608,1.000000,True
0,Run 4,51,4,384.755,55.646,1.000000,True
0,Run 4,52,4,503.393,89.721,1.000000,True
0,Run 4,53,4,651.712,93.920,1.000000,True
0,Run 4,54,4,789.007,105.202,1.000000,True
0,Run 4,55,4,911.054,112.600,1.000000,True
0,Run 4,56,4,1022.315,116.574,1.000000,True
0,Run 4,57,4,1142.378,126.564,1.000000,True
0,Run 4,58,4,1290.197,156.346,1.000000,True
0,Run 4,59,4,1441.705,178.093,1.000000,True
0,Run 4,60,4,1471.677,154.340,1.000000,True
0,Run 4,61,4,1610.336,184.863,1.000000,True
0,Run 4,62,4,1685.306,177.315,1.000000,True
0,Run 4,63,4,1880.033,221.752,1.000000,True
0,Run 4,64,4,2058.279,280.865,1.000000,True
0,Run 4,65,4,2043.109,221.154,1.000000,True
0,Run 4,66,4,2225.960,276.296,1.000000,True
0,Run 4,67,4,2249.608,264.130,1.000000,True
0,Run 4,68,4,2538.730,320.904,1.000000,True
0,Run 4,69,4,2552.909,319.147,1.000000,True
0,Run 4,70,4,2638.516,342.249,1.000000,True
0,Run 4,71,4,2809.973,402.947,1.000000,True
0,Run 4,72,4,2835.795,361.004,1.000000,True
0,Run 4,73,4,nan,nan,0.985500,False
0,Run 4,74,4,3315.421,626.723,0.996000,True
0,Run 4,75,4,3684.755,904.820,0.991500,True
0,Run 4,76,4,3306.098,497.803,0.999500,True
0,Run 4,77,4,3609.644,642.751,0.997000,True
0,Run 4,78,4,nan,nan,0.973000,False
0,Run 4,79,4,nan,nan,0.982000,False
0,Run 4,80,4,nan,nan,0.974000,False
0,Run 4,81,4,nan,nan,0.978500,False
0,Run 4,82,4,nan,nan,0.862000,False
0,Run 4,83,4,nan,nan,0.844500,False
0,Run 4,84,4,nan,nan,0.753000,False
0,Run 4,85,4,nan,nan,0.912000,False
-690,Run 1,16,20,665.239,69.147,1.000000,True
-690,Run 1,17,20,742.092,75.944,1.000000,True
-690,Run 1,18,20,932.879,92.118,1.000000,True
-690,Run 1,19,20,1133.722,112.347,1.000000,True
-690,Run 1,20,20,1369.495,147.663,1.000000,True
-690,Run 1,21,20,1581.967,174.225,1.000000,True
-690,Run 1,22,20,1673.188,170.900,1.000000,True
-690,Run 1,23,20,1982.306,250.751,1.000000,True
-690,Run 1,24,20,2071.924,239.960,1.000000,True
-690,Run 1,25,20,2636.610,414.797,0.999500,True
-690,Run 1,26,20,2587.742,348.070,1.000000,True
-690,Run 1,27,20,2779.192,432.525,1.000000,True
-690,Run 1,28,20,2835.341,418.722,1.000000,True
-690,Run 1,29,20,3115.532,567.630,1.000000,True
-690,Run 1,30,20,nan,nan,0.860500,False
-690,Run 1,31,20,nan,nan,0.976000,False
-690,Run 1,32,20,nan,nan,0.860500,False
-690,Run 1,33,20,nan,nan,0.855500,False
-690,Run 1,34,20,nan,nan,0.667000,False
-690,Run 1,35,20,nan,nan,0.462000,False
-690,Run 1,36,20,nan,nan,0.487000,False
-690,Run 1,37,20,nan,nan,0.509500,False
-690,Run 1,38,20,nan,nan,0.456500,False
-690,Run 1,39,20,nan,nan,0.192000,False
-690,Run 1,40,20,nan,nan,0.201000,False
-690,Run 1,41,20,nan,nan,0.026500,False
-690,Run 1,42,20,nan,nan,0.032500,False
-690,Run 1,43,20,nan,nan,0.068500,False
-690,Run 1,44,20,nan,nan,0.043000,False
-690,Run 1,45,20,nan,nan,0.012500,False
