x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm_per_ps,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-400,Run 3,4,31,45.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,55.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,65.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,75.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,85.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,95.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,105.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,115.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,125.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,135.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,145.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,155.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,165.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,175.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,185.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,195.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,205.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,215.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,225.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,235.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,245.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,255.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,265.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,275.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,285.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,295.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,305.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,315.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,325.0,1,0.050000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,335.0,10,0.500000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,345.0,920,46.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,355.0,588,29.400000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,365.0,16,0.800000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,375.0,16,0.800000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,385.0,19,0.950000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,395.0,30,1.500000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,405.0,37,1.850000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,415.0,35,1.750000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,425.0,34,1.700000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,435.0,38,1.900000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,445.0,34,1.700000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,455.0,33,1.650000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,465.0,33,1.650000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,475.0,18,0.900000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,485.0,30,1.500000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,495.0,25,1.250000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,505.0,15,0.750000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,515.0,11,0.550000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,525.0,11,0.550000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,535.0,18,0.900000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,545.0,6,0.300000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,555.0,5,0.250000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,565.0,6,0.300000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,575.0,2,0.100000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,585.0,4,0.200000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,595.0,1,0.050000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,605.0,3,0.150000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,615.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,625.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,635.0,1,0.050000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,645.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,655.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,665.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,675.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,685.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,695.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,705.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,715.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,725.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,735.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,745.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,755.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,765.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,775.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,785.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,795.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,805.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,815.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,825.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,835.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,845.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,855.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,865.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,875.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,885.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,895.0,0,0.000000,373.918,50.631,0.000000,0.000000,2000,0,0
