x_mm,run_label,threshold_pe,nearest_id,bin_center_ps,counts,counts_norm,mean_ps,rms_ps,frac_excl,frac_overflow,n_in_range,n_overflow,n_below
-400,Run 3,4,31,285.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,295.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,305.0,1,0.050000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,315.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,325.0,3,0.150000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,335.0,12,0.600000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,345.0,920,46.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,355.0,593,29.650000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,365.0,7,0.350000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,375.0,11,0.550000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,385.0,11,0.550000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,395.0,23,1.150000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,405.0,22,1.100000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,415.0,32,1.600000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,425.0,29,1.450000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,435.0,28,1.400000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,445.0,36,1.800000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,455.0,25,1.250000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,465.0,31,1.550000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,475.0,33,1.650000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,485.0,31,1.550000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,495.0,28,1.400000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,505.0,18,0.900000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,515.0,8,0.400000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,525.0,22,1.100000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,535.0,20,1.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,545.0,9,0.450000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,555.0,9,0.450000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,565.0,9,0.450000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,575.0,6,0.300000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,585.0,1,0.050000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,595.0,7,0.350000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,605.0,11,0.550000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,615.0,2,0.100000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,625.0,1,0.050000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,635.0,1,0.050000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,645.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,655.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,665.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,675.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,685.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,695.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,705.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,715.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,725.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,735.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,745.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
-400,Run 3,4,31,755.0,0,0.000000,377.524,58.119,0.000000,0.000000,2000,0,0
