x_mm,run_label,global_id,mean_npe,rms_npe
-400,Run 3,43,38.5615,12.1688
-400,Run 3,44,47.6320,13.4211
-400,Run 3,45,48.0330,13.1364
-400,Run 3,46,41.5495,12.1516
-400,Run 3,47,32.2880,10.3228
-400,Run 3,48,28.0120,9.0774
-400,Run 3,49,31.5635,9.5689
-400,Run 3,50,24.7345,8.0136
-400,Run 3,51,28.0640,8.5135
-400,Run 3,52,17.5105,6.6672
-400,Run 3,53,17.9980,6.3773
-400,Run 3,54,21.3595,6.6758
-400,Run 3,55,17.8815,6.1691
-400,Run 3,56,19.1445,6.2778
-400,Run 3,57,11.4555,4.7209
-400,Run 3,58,12.6355,4.8575
-400,Run 3,59,13.8905,4.9816
-400,Run 3,60,12.2895,4.7724
-400,Run 3,61,10.2180,4.1783
-400,Run 3,62,8.3195,3.7019
-400,Run 3,63,9.0220,3.8828
-400,Run 3,64,8.7530,3.7684
-400,Run 3,65,9.3305,3.8054
-400,Run 3,66,8.2805,3.4672
-400,Run 3,67,8.1160,3.4313
-400,Run 3,68,6.1720,3.0230
-400,Run 3,69,6.0835,2.9657
-400,Run 3,70,6.9595,3.2078
-400,Run 3,71,5.2525,2.6544
-400,Run 3,72,4.6805,2.5265
-400,Run 3,73,3.6255,2.2308
-400,Run 3,74,5.8535,2.8406
-400,Run 3,75,5.2920,2.6017
-400,Run 3,76,4.4290,2.3569
-400,Run 3,77,3.5665,2.1353
-400,Run 3,78,3.6200,2.1172
-400,Run 3,79,3.3020,1.9869
-400,Run 3,80,3.7620,2.1706
-400,Run 3,81,3.4210,2.0398
-400,Run 3,82,3.1850,1.9646
-400,Run 3,83,2.5845,1.7248
-400,Run 3,84,3.4405,2.0242
-400,Run 3,85,3.0550,1.9199
0,Run 4,16,9.8225,3.7871
0,Run 4,17,7.2190,3.2828
0,Run 4,18,8.1820,3.5540
0,Run 4,19,8.4725,3.6687
0,Run 4,20,13.3500,4.6805
0,Run 4,21,11.6315,4.4050
0,Run 4,22,13.2430,4.9065
0,Run 4,23,11.9600,4.5119
0,Run 4,24,16.3020,5.5000
0,Run 4,25,20.2605,6.4172
0,Run 4,26,13.9320,5.2037
0,Run 4,27,16.8305,5.7410
0,Run 4,28,13.7320,5.2077
0,Run 4,29,25.0110,7.5490
0,Run 4,30,23.1655,7.2266
0,Run 4,31,28.5885,8.6131
0,Run 4,32,27.7255,8.4633
0,Run 4,33,27.2125,8.2773
0,Run 4,34,36.0780,10.1232
0,Run 4,35,33.7635,9.9719
0,Run 4,36,42.2895,11.9261
0,Run 4,37,36.5910,11.1316
0,Run 4,38,45.9555,13.1660
0,Run 4,39,59.1470,15.8342
0,Run 4,40,64.6860,16.6244
0,Run 4,41,70.5110,19.0157
0,Run 4,42,60.9700,16.9023
0,Run 4,43,87.1380,23.1190
0,Run 4,44,104.5900,26.6585
0,Run 4,45,116.2475,29.7702
0,Run 4,46,146.4045,36.1502
0,Run 4,47,149.9710,38.2548
0,Run 4,48,196.1200,48.8651
0,Run 4,49,282.7035,69.2539
0,Run 4,50,406.5570,97.7464
0,Run 4,51,407.2745,97.3526
0,Run 4,52,282.4420,69.8464
0,Run 4,53,195.8835,50.3118
0,Run 4,54,150.2245,38.9489
0,Run 4,55,147.1665,36.9269
0,Run 4,56,116.5885,29.1329
0,Run 4,57,104.9565,26.3180
0,Run 4,58,86.6380,22.6241
0,Run 4,59,61.1530,17.6340
0,Run 4,60,70.6085,19.1332
0,Run 4,61,64.8480,17.2145
0,Run 4,62,59.1635,15.4996
0,Run 4,63,45.6445,12.8164
0,Run 4,64,36.7215,11.0309
0,Run 4,65,42.5210,12.1578
0,Run 4,66,33.9500,9.9744
0,Run 4,67,36.3405,10.0377
0,Run 4,68,27.4070,8.5484
0,Run 4,69,28.1230,8.7094
0,Run 4,70,28.5325,8.6688
0,Run 4,71,23.2045,7.4689
0,Run 4,72,25.0160,7.6806
0,Run 4,73,13.8790,5.4836
0,Run 4,74,16.7465,5.8828
0,Run 4,75,14.1465,5.2639
0,Run 4,76,20.4595,6.6121
0,Run 4,77,16.2610,5.5200
0,Run 4,78,11.8955,4.5222
0,Run 4,79,13.3975,4.8701
0,Run 4,80,11.7610,4.4213
0,Run 4,81,13.2445,4.6685
0,Run 4,82,8.5575,3.7391
0,Run 4,83,8.1605,3.5443
0,Run 4,84,7.1655,3.2506
0,Run 4,85,9.8410,4.0390
