event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
8382,15838.0,1.6346040296149529,0.026791029154653152,1.6078130004602997,15563,3949,6479.0,3868.0,3908.6500789645256,3933.0,65.0,263,251
8383,16712.0,1.7252700034211528,0.028151810133983084,1.6971181932871697,16451,4195,6780.0,4110.0,4094.7047482558796,4167.0,57.0,287,242
8384,14796.0,1.534031116054981,0.02480297671516709,1.509228139339814,14555,3698,6071.0,3650.0,3660.021291008701,3710.0,60.0,230,234
8385,16895.0,1.751309729067433,0.028513368549645205,1.7227963605177878,16608,4212,6894.0,4209.0,4165.840433465359,4264.0,55.0,260,279
8386,18745.0,1.9456073306804262,0.03130004405788953,1.9143072866225368,18430,4735,7588.0,4559.0,4582.92196929549,4616.0,57.0,283,272
8387,17168.0,1.7623207376560068,0.02899753872757458,1.7333231989284323,16886,4278,6994.0,4171.0,4225.277359543916,4229.0,58.0,251,291
8388,15864.0,1.6258436252669444,0.0267126036757833,1.5991310215911612,15610,3972,6532.0,3958.0,3945.549894218595,4023.0,65.0,268,252
8389,18043.0,1.8540801463844212,0.03037324128604479,1.8237069050983765,17754,4496,7364.0,4478.0,4451.158257878271,4548.0,70.0,309,285
8390,17211.0,1.785591131424853,0.02915900737184937,1.7564321240530036,16937,4355,6980.0,4280.0,4213.052824473737,4337.0,57.0,243,277
8391,17342.0,1.8246670993410228,0.029317223200911974,1.7953498761401108,17069,4321,6983.0,4251.0,4216.424545312059,4303.0,52.0,292,281
8392,21605.0,2.2185963524358825,0.03598890084641288,2.18260745158947,21192,5487,8705.0,5212.0,5263.109199820579,5291.0,79.0,362,333
8393,15450.0,1.590971693713132,0.02600640595713939,1.5649652877559925,15176,3937,6311.0,3737.0,3805.389106475525,3795.0,58.0,238,234
8394,20579.0,2.101275559490878,0.034707263379440814,2.066568296111437,20223,5192,8312.0,5112.0,5028.900199948201,5187.0,75.0,282,320
8395,14617.0,1.5226386655589716,0.024913534703659458,1.4977251308553121,14379,3762,5981.0,3600.0,3603.2472784945026,3652.0,52.0,221,221
8396,18253.0,1.8883763086888667,0.030864485423938774,1.857511823264928,17990,4616,7433.0,4556.0,4496.538953270203,4618.0,62.0,300,310
8397,15771.0,1.635749858563267,0.026702324931916512,1.6090475336313506,15500,3914,6565.0,3935.0,3957.8944651742504,3991.0,56.0,240,271
8398,17306.0,1.7998205325127044,0.02895854085693316,1.7708619916557713,17023,4421,7019.0,4283.0,4238.519738810318,4343.0,60.0,265,300
8399,36193.0,3.7662179909318243,0.05975736066513486,3.7064606302666894,35585,9409,14361.0,8776.0,8715.787045005256,8905.0,129.0,554,568
8400,16918.0,1.7581708293606002,0.02850894379427762,1.7296618855663226,16634,4342,6938.0,4251.0,4192.341398923533,4309.0,58.0,291,273
8401,16052.0,1.666986539803866,0.02717799914799475,1.6398085406558711,15772,4039,6544.0,3904.0,3941.162957711709,3956.0,52.0,258,262
8402,19491.0,1.9885075244796384,0.03292857930420279,1.9555789451754357,19129,4884,7927.0,4838.0,4781.8553744544115,4938.0,100.0,313,314
8403,16454.0,1.6914107703411545,0.02742075138632869,1.6639900189548258,16145,4174,6772.0,4060.0,4089.536854851401,4128.0,68.0,268,249
8404,20611.0,2.1205796209441683,0.03476720656288169,2.0858124143812864,20253,5136,8430.0,5091.0,5090.794452312171,5155.0,64.0,335,333
8405,17463.0,1.8017069663540735,0.028737780711417273,1.7729691856426562,17173,4469,7192.0,4273.0,4343.02079054317,4337.0,64.0,291,260
8406,15063.0,1.5459595535012616,0.025582082288414562,1.520377471212847,14816,3807,6203.0,3780.0,3737.0402173928774,3835.0,55.0,250,259
8407,17794.0,1.818496542731351,0.029795388368557826,1.7887011543627933,17473,4521,7228.0,4437.0,4374.538650451377,4501.0,64.0,279,328
8408,19949.0,2.058772360737128,0.03379985185780383,2.024972508879324,19600,4980,8066.0,4992.0,4872.4375712885685,5068.0,76.0,335,370
8409,20123.0,2.0758674775461112,0.03399361360020051,2.0418738639459106,19767,5064,8257.0,5030.0,4983.959688775575,5109.0,79.0,339,333
8410,18005.0,1.8593016678206564,0.030114326589689645,1.8291873412309667,17696,4540,7393.0,4496.0,4463.1028466409525,4551.0,55.0,309,286
8411,17664.0,1.8428260308951006,0.029786615439910943,1.8130394154551897,17381,4408,7282.0,4399.0,4400.961700943044,4464.0,65.0,288,292
8412,17737.0,1.826974502805383,0.02975406440900652,1.7972204383963764,17426,4490,7234.0,4352.0,4366.335815732477,4423.0,71.0,287,261
8413,17844.0,1.82729791880598,0.029769155596978007,1.797528763209002,17550,4497,7290.0,4398.0,4412.25196846575,4458.0,60.0,307,303
8414,15869.0,1.6537359194643741,0.026910683632764283,1.6268252358316098,15600,3997,6533.0,3955.0,3937.067853773255,4015.0,60.0,262,258
8415,16051.0,1.6404363067747967,0.02729765367313881,1.6131386531016578,15746,4117,6567.0,3998.0,3958.0475216509158,4066.0,68.0,251,304
8416,17228.0,1.7884550873949179,0.029003264051345647,1.7594518233435723,16948,4437,7051.0,4276.0,4261.074720580445,4335.0,59.0,325,244
8417,19965.0,2.0682014641591757,0.03329688605087858,2.0349045781082973,19634,5063,8064.0,4875.0,4877.025670055592,4939.0,64.0,302,322
8418,38241.0,3.944399103638434,0.06271182223974428,3.8816872813986896,37591,9568,15390.0,9311.0,9334.155922505164,9452.0,141.0,609,597
8419,14572.0,1.5022240416294523,0.024684493271569505,1.4775395483578828,14346,3674,5998.0,3620.0,3613.071114998534,3680.0,60.0,211,252
8420,16145.0,1.6629674143330617,0.02764963874010186,1.6353177755929598,15867,4079,6617.0,4037.0,3990.7194706001565,4092.0,55.0,275,286
8421,17129.0,1.7572892792249735,0.028767528956611412,1.728521750268362,16826,4324,7101.0,4239.0,4285.741996537849,4311.0,72.0,308,288
8422,25187.0,2.5887285122086925,0.04200261421242838,2.546725897996264,24786,6448,10177.0,6172.0,6157.387961052269,6267.0,95.0,417,410
8423,20609.0,2.132379309971127,0.034686907064215844,2.097692402906911,20249,5199,8481.0,5156.0,5134.6955901268475,5232.0,76.0,335,327
8424,15905.0,1.649532672175752,0.02717453872305415,1.6223581334526977,15653,4031,6419.0,3925.0,3873.5503747661214,3973.0,48.0,258,234
8425,18307.0,1.8930582500456714,0.030477098286362185,1.8625811517593092,17998,4665,7466.0,4477.0,4513.653931690428,4538.0,61.0,278,308
8426,16941.0,1.7403841503959303,0.028316973323427055,1.7120671770725033,16672,4361,6917.0,4159.0,4172.267766679156,4229.0,70.0,287,266
8427,15994.0,1.6247844568497776,0.026972770611730954,1.5978116862380467,15736,3924,6573.0,3988.0,3967.3233881020583,4044.0,56.0,257,246
8428,17803.0,1.8335666776889947,0.03005713818438572,1.803509539504609,17456,4516,7239.0,4397.0,4376.228882484511,4469.0,72.0,286,283
8429,17010.0,1.760830932770074,0.02840175745542248,1.7324291753146515,16700,4247,7027.0,4230.0,4240.592102015061,4300.0,70.0,258,309
8430,15804.0,1.63225826245991,0.026767647894646446,1.6054906145652637,15558,3901,6475.0,3858.0,3896.3131912382432,3905.0,47.0,238,288
8431,16151.0,1.6630372723410412,0.027159568712407097,1.635877703628634,15861,4087,6583.0,3939.0,3968.724352508176,3997.0,58.0,285,235
8432,29899.0,3.1180753857752466,0.0506212043387293,3.067454181436517,29460,7601,12116.0,7405.0,7324.193433801964,7507.0,102.0,496,455
8433,17148.0,1.7559427989390983,0.028671983207834276,1.727270815731264,16853,4354,7010.0,4220.0,4237.5345888598085,4281.0,61.0,269,288
8434,15193.0,1.5759051756169655,0.025814406374884403,1.5500907692420811,14951,3797,6133.0,3693.0,3695.1818558012287,3745.0,52.0,247,283
8435,17828.0,1.8528385376204561,0.03001663443600962,1.8228219031844466,17477,4532,7299.0,4400.0,4406.141183782581,4486.0,86.0,282,319
8436,18025.0,1.8577264563030733,0.030063159823447753,1.8276632964796256,17763,4579,7402.0,4433.0,4467.771151762981,4491.0,58.0,272,307
8437,15888.0,1.6570620533810483,0.026884334359936514,1.6301777190211117,15601,3921,6528.0,3885.0,3938.0018738507415,3937.0,52.0,269,260
8438,15856.0,1.6329965155742396,0.026764128994532614,1.606232386579707,15588,4084,6415.0,3854.0,3863.1974371816987,3918.0,64.0,249,279
8439,19698.0,2.027681279997534,0.032996095669929795,1.994685184327604,19372,4855,8012.0,4836.0,4841.639906847127,4919.0,83.0,329,330
8440,14785.0,1.523958371229376,0.02497107894132453,1.4989872922880516,14558,3728,6199.0,3726.0,3736.3984954805237,3791.0,65.0,241,254
8441,25841.0,2.6381173599257064,0.042951465295583045,2.5951658946301235,25393,6518,10351.0,6206.0,6271.061046416024,6299.0,93.0,412,378
8442,15521.0,1.5906792986161387,0.026287446809690345,1.5643918518064484,15260,4054,6476.0,3855.0,3900.7893737637423,3909.0,54.0,247,276
8443,17258.0,1.7749228270576378,0.02886510292795665,1.746057724129681,16953,4357,7084.0,4204.0,4275.461845427001,4273.0,69.0,255,287
8444,15775.0,1.6418778651168633,0.026451958320381254,1.615425906796482,15456,4011,6407.0,3853.0,3863.715747746368,3915.0,62.0,247,282
8445,21273.0,2.1566476430220582,0.035603224992811586,2.1210444180292467,20907,5384,8750.0,5322.0,5298.653533965759,5393.0,71.0,324,353
8446,17480.0,1.806814099242588,0.029744132950926108,1.777069966291662,17172,4359,7171.0,4363.0,4322.962741732628,4427.0,64.0,278,250
8447,21122.0,2.1541342556369356,0.03525762088862014,2.1188766347483154,20683,5256,8583.0,5154.0,5192.659983265497,5258.0,104.0,323,361
8448,17679.0,1.812427629589929,0.029554992058709834,1.7828726375312192,17408,4517,7147.0,4345.0,4318.298920458475,4406.0,61.0,258,253
