cell_id,material,opsc_code,x_mm,scope,coordinate_definition,local_half_width_mm,tau_config_ns,tau_rise_config_ns,cut_multiplier,cut_ns,tail_photons,contributing_events,tau_fit_ns,se_event_ns,se_iid_photon_ns,relative_difference,is_gate_cut,gate_tolerance_relative,minimum_contributing_events,cut_pass
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,3.0,5.4,5522307,10000,2.0644620736840564,0.0009263272080982101,0.0009192476915553843,0.14692337426892021,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,4.0,7.2,2258364,10000,2.1463221708014113,0.0015222615664874561,0.001494612765847684,0.19240120600078403,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,5.0,9.0,955590,10000,2.227908596998586,0.0024392873516695048,0.002384057817028811,0.23772699833254768,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,8.0,14.4,85829,9995,2.45458733842859,0.009285694641805502,0.009064877364490891,0.3636596324603278,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,12.0,21.6,4870,3758,3.071711795249972,0.04963166565221498,0.04869941168284758,0.7065065529166512,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,full_pool_informational,abs(x_creation_mm-gun_x_mm),,1.8,0.7,20.0,36.0,68,66,4.52256047770701,0.5681496626383231,0.5791901394943972,1.5125335987261168,False,,,
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,3.0,5.4,4236677,10000,1.7989068757015154,0.0008657807749773114,0.000873430496858386,-0.0006072912769359037,True,0.03,200,True
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,4.0,7.2,1558310,10000,1.7972932048116002,0.0014580560974201827,0.001439665499311227,-0.001503775104666606,True,0.03,200,True
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,5.0,9.0,572279,10000,1.797649893791655,0.002388262933935477,0.0023757002957147263,-0.001305614560191712,True,0.03,200,True
EJ204_xm650,EJ-204,OPSC-101,-650,local_gate,abs(x_creation_mm-gun_x_mm),0.1,1.8,0.7,8.0,14.4,28373,9426,1.790968745057959,0.010669757886924295,0.010666239135936726,-0.005017363856689469,False,,,
