file,x_true_mm,n_entries,n_event_ids_present,event_id_min,event_id_max,gun_x_values,hits_A,hits_B,nonfinite_time_fraction,schema,size_bytes,mtime_ns
pairscan_x-451.0mm.root,-451.0,14530501,3000,0,2999,-451.0,1093253,1125777,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",912382400,1781279920000462500
pairscan_x-450.0mm.root,-450.0,14531351,3000,0,2999,-450.0,1095115,1186714,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",912456815,1781279876796556900
pairscan_x-449.0mm.root,-449.0,14631504,3000,0,2999,-449.0,1104594,1225914,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",918718985,1781279749194182300
pairscan_x-448.0mm.root,-448.0,14584564,3000,0,2999,-448.0,1186505,1231593,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",915786545,1781279898251993100
pairscan_x-447.0mm.root,-447.0,14654964,3000,0,2999,-447.0,1238517,1241246,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",920112752,1781279852327062600
pairscan_x-446.0mm.root,-446.0,14665610,3000,0,2999,-446.0,1270220,1261921,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",920833038,1781279827602540500
pairscan_x-445.0mm.root,-445.0,14558661,3000,0,2999,-445.0,1280323,1268519,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",914099895,1781279610875941500
pairscan_x-444.0mm.root,-444.0,14561716,3000,0,2999,-444.0,1295409,1275235,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",914286408,1781279408655907900
pairscan_x-443.0mm.root,-443.0,14638720,3000,0,2999,-443.0,1301184,1287646,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",919153835,1781279298433340500
pairscan_x-442.0mm.root,-442.0,14555342,3000,0,2999,-442.0,1293871,1278608,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913887731,1781279187056658900
pairscan_x-441.0mm.root,-441.0,14539301,3000,0,2999,-441.0,1297930,1283498,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",912953888,1781279075160660500
pairscan_x-440.0mm.root,-440.0,14510577,3000,0,2999,-440.0,1288668,1280402,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",911159567,1781279802127537500
pairscan_x-439.0mm.root,-439.0,14515768,3000,0,2999,-439.0,1279552,1273037,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",911503749,1781279016907310500
pairscan_x-438.0mm.root,-438.0,14768630,3000,0,2999,-438.0,1283281,1271914,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",927377098,1781279774625476200
pairscan_x-437.0mm.root,-437.0,14750883,3000,0,2999,-437.0,1263355,1243284,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",926284653,1781278963504267900
pairscan_x-436.0mm.root,-436.0,14631081,3000,0,2999,-436.0,1242802,1187413,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",918822012,1781279715626227500
pairscan_x-435.0mm.root,-435.0,14548120,3000,0,2999,-435.0,1219238,1098760,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913646586,1781278913860599200
pairscan_x-434.0mm.root,-434.0,14491547,3000,0,2999,-434.0,1179908,1095286,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",910121328,1781279687815878400
pairscan_x-433.0mm.root,-433.0,14644202,3000,0,2999,-433.0,1136746,1102732,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",919705249,1781279663703488900
pairscan_x-432.0mm.root,-432.0,14540380,3000,0,2999,-432.0,1084043,1091058,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913167982,1781279577438999400
pairscan_x-431.0mm.root,-431.0,14406903,3000,0,2999,-431.0,1025729,1087796,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",904804381,1781279550981695100
pairscan_x-430.0mm.root,-430.0,14539654,3000,0,2999,-430.0,974509,1098076,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913164476,1781279491617197500
pairscan_x-429.0mm.root,-429.0,14576153,3000,0,2999,-429.0,950433,1095626,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",915461488,1781279433843454300
pairscan_x-428.0mm.root,-428.0,14648102,3000,0,2999,-428.0,930584,1179599,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",919931778,1781279384654111600
pairscan_x-427.0mm.root,-427.0,14717868,3000,0,2999,-427.0,926323,1227919,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",924289189,1781279340359093600
pairscan_x-426.0mm.root,-426.0,14701101,3000,0,2999,-426.0,936435,1251362,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",923250895,1781279276437516100
pairscan_x-425.0mm.root,-425.0,14619093,3000,0,2999,-425.0,928413,1265268,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",918143372,1781279231752257200
pairscan_x-424.0mm.root,-424.0,14456155,3000,0,2999,-424.0,899298,1262113,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",907905982,1781279167328749600
pairscan_x-423.0mm.root,-423.0,14405935,3000,0,2999,-423.0,913967,1251941,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",904786117,1781279126306271900
pairscan_x-422.0mm.root,-422.0,14548697,3000,0,2999,-422.0,928111,1263634,0.0,"event_id,face_type,global_id,local_id,time_ns,energy_eV,wl_nm,pde,x_mm,y_mm,z_mm,gun_x_mm",913649258,1781279047318170700
