replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
151,298.566,2199.9,1,88.5114,386.921,2051.78,379.164,108.003,1,200.995,12.9904,887.094,1,305.657,1610.36,1
152,280.495,2022.26,1,98.675,397.387,1866.45,347.497,48.7861,1,203.083,13.4139,782.235,1,288.722,1687.9,1
153,293.091,2043.44,1,103.328,411.451,1793.96,319.61,53.1281,1,209.066,12.0836,767.987,1,299.759,1693.01,1
154,315.009,1549.83,1,105.008,410.058,1866.41,320.598,34.8823,1,209.284,13.1155,755.621,1,322.718,1089.15,1
155,293.523,2709.47,1,90.85,388.924,2202.01,369.301,108.472,1,186.949,14.8727,1304.15,1,310.716,1491.44,1
156,279.819,3094.55,1,82.1444,385.946,2249.21,393.013,114.694,1,187.354,12.515,1124.58,1,300.025,2000.32,1
157,310.251,2155.97,1,95.2088,401.804,2163.61,341.541,78.8118,1,207.023,12.3897,1135.12,1,328.086,1012.28,1
158,308.431,1750.2,1,105.652,411.425,1766.18,317.23,30.1367,1,207.105,12.2285,486.658,1,308.431,1750.2,1
159,324.32,1531.21,1,91.474,394.877,2195.23,360.816,96.4222,1,221.645,11.0713,738.701,1,331.816,823.228,1
160,305.329,2897.52,1,81.5881,380.392,2147.41,421.746,79.203,1,170.555,12.6891,915.575,1,319.785,1551.71,1
161,280.129,2650.25,1,97.359,403.326,1913.84,340.415,57.9045,1,194.813,12.8389,937.97,1,293.748,2029.03,1
162,287.797,2881.35,1,89.6635,386.217,2036.66,380.123,104.926,1,183.066,14.4738,949.103,1,305.967,1956.32,1
163,251.914,2495.05,1,81.9131,382.646,2258.96,380.867,107.885,1,195.862,14.3766,1124.9,1,270.727,1608.04,1
164,321.244,1302.56,1,98.9129,404.902,1892.35,337.893,54.3834,1,231.125,10.1886,522.986,1,328.036,811.024,1
165,301.985,2428.73,1,96.9454,399.634,1911.06,352.833,68.7931,1,193.501,12.3181,858.627,1,318.143,1579.24,1
166,294.776,2389.24,1,99.5648,400.259,1998.74,342.302,50.8673,1,189.506,14.2766,1090.68,1,321.252,1055.12,1
167,288.956,1694.39,1,99.5438,408.963,1890.93,324.043,46.3251,1,219.562,11.3311,675.741,1,296.834,1330.28,1
168,306.019,2400.21,1,84.3749,381.709,2311.7,393.832,102.958,1,194.454,13.5856,1244.55,1,320.055,1122.69,1
169,292.405,2238.85,1,96.5566,401.997,2086.5,337.318,95.0162,1,205.046,13.0223,1112.94,1,313.669,1195.23,1
170,277.997,2503.15,1,34.151,inf,2788.87,15.1401,0,0,197.527,13.2911,845.218,1,295.46,1657.05,1
171,276.056,3357.65,1,87.359,378.353,2171.18,396.818,113.656,1,166.158,17.1879,1327.6,1,305.002,1548.92,1
172,305.805,1556.61,1,4.17625,313.492,22483.4,643.86,930.947,1,220.961,11.4147,724.185,1,313.492,897.698,1
173,289.468,2350.53,1,86.2438,388.637,2039.35,383.899,116.682,1,200.576,11.7445,757.197,1,298.654,1784.76,1
174,232.528,3248.82,1,76.8573,389.945,2307.08,370.103,106.674,1,187.237,13.2822,1167.23,1,268.893,2171.98,1
175,296.858,1135.47,1,114.61,415.544,1481.82,310.301,12.2864,1,222.216,11.8183,321.969,1,296.858,1135.47,1
176,302.473,2524.53,1,89.6829,397.002,2254.07,355.451,114.82,1,203.233,12.43,1325.8,1,314.69,1300.24,1
177,281.309,2318.24,1,88.8766,386.404,2109.88,375.593,101.381,1,199.909,13.3756,1038.24,1,303.254,1338.05,1
178,270.86,2662.15,1,78.882,377.35,2293.72,399.519,147.179,1,199.968,13.1692,1297.56,1,291.728,1346.43,1
179,287.565,3728.25,1,79.2495,367.704,2423.14,431.7,110.951,1,158.533,16.7091,1558.84,1,330.433,624.458,1
180,281.785,3227.53,1,80.3623,371.849,2274.79,420.901,143.02,1,170.865,15.9934,1520.43,1,298.458,1663.68,1
181,316.757,717.622,1,128.6,431.68,1290.48,275.475,7.05369,1,238.705,10.7033,200.039,1,316.757,717.622,1
182,296.184,1763.36,1,98.1303,389.229,1815.24,369.573,52.1393,1,198.312,13.7482,698.338,1,304.555,1345.59,1
183,310.492,1878.75,1,105.316,404.917,1888.48,328.681,31.2136,1,193.023,14.5146,719.349,1,320.371,1424.64,1
184,293.485,1899.63,1,110.158,110.158,2613.38,43.6021,0,0,200.087,14.5067,902.576,1,310.69,1032.1,1
185,326.134,1009.92,1,110.189,418.435,1714.94,302.695,25.9693,1,236.187,10.5816,443.524,1,326.134,1009.92,1
186,293.807,2464.49,1,77.4325,372.126,2342.45,425.298,124.429,1,195.48,13.4082,1148.18,1,307.755,1278.19,1
187,292.274,1360.8,1,103.095,405.665,1777.5,330.321,51.6461,1,224.013,11.485,657.799,1,297.918,962.422,1
188,311.123,1384.7,1,83.1929,378.056,2316.43,399.318,89.4863,1,224.336,11.8897,714.052,1,317.474,724.206,1
189,344.709,1782.26,1,98.0762,413.367,2596.6,317.428,28.0835,1,189.55,12.971,1145.7,1,358.999,209.286,1
190,330.744,794.367,1,131.928,440.904,1297.83,261.73,5.80242,1,237.038,10.2681,216.251,1,330.744,794.367,1
191,275.838,2347.97,1,80.2372,361.109,2251.07,441.622,106.472,1,185.256,17.3465,1188.39,1,291.82,1199.35,1
192,315.911,1768.59,1,93.4111,400.951,2243.8,342.316,85.9548,1,225.601,11.0968,1040.11,1,329.761,582.175,1
193,291.624,2275.18,1,78.5015,378.977,2280.82,402.471,87.4376,1,199.76,13.0239,872.042,1,309.912,1271.44,1
194,322.205,1434.21,1,111.536,415.533,1783.35,307.974,18.2112,1,206.604,12.9544,567.59,1,322.205,1434.21,1
195,245.168,3234.52,1,79.5755,357.502,2120.53,450.249,124.626,1,167.316,19.5293,1232.28,1,264.464,2238.37,1
196,250.471,2149.28,1,98.8975,390.102,1909,360.952,44.1731,1,185.397,16.0198,849.639,1,277.953,1527.37,1
197,296.953,2358.7,1,100.95,411.474,1926.53,323.011,32.7597,1,204.239,11.9678,1002.08,1,304.085,1989.72,1
198,278.376,3176.44,1,75.5755,369.817,2409.02,430.026,98.1885,1,177.068,15.2851,1368.2,1,302.326,1218.73,1
199,281.222,2177.64,1,80.9984,382.189,2415.13,386.273,100.054,1,207.456,12.9263,1092.82,1,303.563,958.561,1
200,264.419,2196.13,1,78.1868,382.388,2287.3,382.339,82.1461,1,200.757,13.4897,870.069,1,292.976,1116.52,1
