replica,m1_lam,m1_chi2ndf,m1_ok,m2_ls,m2_ll,m2_As,m2_Al,m2_chi2ndf,m2_ok,m3_lam,m3_C,m3_chi2ndf,m3_ok,m4_lam,m4_chi2ndf,m4_ok
36,29.2065,2450.08,1,8.54539,38.6155,2157.17,379.157,98.0375,1,19.5119,13.3391,946.517,1,37.3848,103.978,1
37,25.2785,2793.07,1,7.91759,37.3743,2257.59,413.969,124.143,1,19.1098,13.7951,1307.31,1,37.8097,95.8395,1
38,28.3579,2323.84,1,8.44288,38.2999,2232.76,382.68,74.3556,1,19.7413,14.2814,992.995,1,37.406,74.047,1
39,29.8704,2862.01,1,8.89657,39.2075,2256.54,369.753,110.789,1,18.922,13.0968,1467.53,1,38.5262,95.9937,1
40,30.2798,2850.51,1,9.40998,39.5444,1998.11,363.565,116.513,1,17.5484,13.4096,1102.85,1,40.4399,62.4922,1
41,26.8656,3327.46,1,7.41964,37.6254,2454.51,411.695,102.625,1,18.6129,13.873,1377.52,1,37.8025,95.6406,1
42,30.4186,2137.9,1,10.2009,40.4048,1924.17,334.995,52.9967,1,19.5506,13.3845,943.337,1,37.1257,126.668,1
43,28.5016,1978.21,1,9.83506,38.9123,1778.92,368.107,36.9304,1,19.1509,14.8536,732.845,1,37.7121,74.5712,1
44,27.9083,2483.55,1,8.40896,37.5606,2110.11,405.075,103.92,1,19.1113,14.6353,990.914,1,36.6372,109.236,1
45,27.844,2746.87,1,8.33014,38.1871,2273.31,396.738,127.917,1,19.4918,12.6924,1342.81,1,38.7596,99.2693,1
46,30.5239,1375.19,1,10.6951,40.6682,1655.27,328.169,27.9161,1,21.5736,12.3738,479.616,1,38.1419,74.1106,1
47,33.3882,1472.68,1,8.99764,40.5109,2298.86,336.842,73.92,1,22.3985,10.7736,677.985,1,40.183,42.6442,1
48,29.7719,1305.54,1,11.4698,41.6237,1495.39,309.352,13.9624,1,21.5974,12.0223,402.717,1,37.9432,79.8979,1
49,30.9399,2221.66,1,8.24067,38.6027,2447.81,382.399,81.4504,1,20.047,13.0748,1008.08,1,38.5951,53.5244,1
50,29.7224,2763.96,1,9.19883,39.5318,2095.02,359.808,111.739,1,18.7443,13.2275,1259.49,1,39.4787,95.0119,1
51,27.9158,3260.19,1,8.90341,38.4175,1990.05,391.72,115.23,1,17.5372,14.175,1006.95,1,38.4505,78.6443,1
52,29.2551,2695.72,1,8.31758,38.7263,2278.4,380.955,129.288,1,19.9295,12.499,1191.67,1,39.5559,52.1863,1
53,30.1504,1822.34,1,9.77862,39.9972,1885.19,344.933,41.9371,1,20.8333,12.5553,640.769,1,38.2765,65.2893,1
54,26.9605,3130.53,1,8.37712,37.6341,2010.73,409.18,63.9293,1,17.5529,15.2097,731.036,1,36.967,86.9517,1
55,29.6229,1814.29,1,10.0024,41.2484,1948.47,316.49,54.0248,1,22.162,11.1984,858.9,1,39.9547,59.968,1
56,31.4227,1954.57,1,9.23421,40.1149,2209.87,341.508,82.793,1,21.0113,12.1193,898.281,1,40.1178,33.6178,1
57,28.8226,1548.85,1,9.85471,39.3425,1862.87,354.314,51.0075,1,21.4054,12.7821,696.874,1,37.4082,93.4589,1
58,29.321,2312.89,1,8.54448,37.8909,2195.93,392.5,85.3767,1,19.1318,15.3274,1027.93,1,38.0305,55.7674,1
59,28.1588,2801.55,1,8.38685,38.2252,2390.69,386.179,102.368,1,19.2435,14.7349,1601.23,1,38.4815,60.8517,1
60,30.1643,1723.52,1,8.93238,38.3655,2206.92,376.872,74.6182,1,20.73,14.6064,965.052,1,36.9645,69.9985,1
61,25.4975,2123.6,1,9.0884,39.6537,1995.22,352.067,49.4527,1,20.5157,12.5658,868.974,1,38.7,65.2615,1
62,28.322,1647.91,1,10.0937,40.3182,1763.1,336.283,53.9391,1,21.427,12.1419,556.993,1,38.3153,94.9771,1
63,24.6145,3112.59,1,7.47008,36.1924,2358.08,432.802,107.375,1,16.5853,21.1924,1188.13,1,36.5715,37.9738,1
64,28.8423,3092.96,1,7.99308,36.9604,2210.58,432.55,120.358,1,16.8032,15.7222,1253.68,1,38.0062,81.5532,1
