x_true_mm,method,mean_x_rec,bias,sigma_core,rms,rms68,median,mad_sigma,fraction_outside_2sigma,fraction_outside_3sigma,valid_fraction
-150.0,A_end,-225.77510163743065,-75.77510163743067,26.592008498706477,80.56121318875987,26.592008498706477,-225.60783771830137,26.510071348725077,0.053,0.006,1.0
-150.0,x_top_centroid_raw,-161.41292259443506,-11.412922594435061,4.042179095773783,12.1744513091957,4.042179095773783,-161.27919563906485,4.171556613932028,0.06,0.006,1.0
-150.0,local_R,-145.6498352483345,4.350164751665516,3.0604099666370277,5.408832914594173,3.0604099666370277,-145.5495946821087,3.071063353982216,0.051,0.0065,1.0
-100.0,dt_end_pool,-96.79800512289943,3.201994877100585,16.1127396438403,16.48537367579224,16.1127396438403,-96.50277175585725,15.969002022607574,0.0475,0.003,1.0
-100.0,dt_end_weighted,-91.38953717962058,8.610462820379423,15.08481234765782,18.02500633753579,15.08481234765782,-90.01239003160023,15.31571818422522,0.0565,0.0105,1.0
-100.0,R_end,-87.7384320235108,12.261567976489205,17.92282700157341,21.940073772350797,17.92282700157341,-87.68817947951358,17.587292800717403,0.05,0.004,1.0
-100.0,A_end,-150.98841599766928,-50.9884159976693,29.065645207467938,58.87307436498532,29.065645207467938,-151.31955358270397,28.6123235525407,0.0495,0.0025,1.0
-100.0,x_top_centroid_raw,-107.76005463565384,-7.760054635653845,4.181172645105505,8.830450494603664,4.181172645105505,-107.78331231188923,4.117804908487789,0.0415,0.004,1.0
-100.0,local_R,-102.15467070853387,-2.1546707085338905,2.914289279509176,3.7941436117487997,2.914289279509176,-102.14991010077435,2.878107188774295,0.0505,0.006,1.0
-50.0,dt_end_pool,-48.213098725920666,1.7869012740793324,15.719278531136329,16.12706228334942,15.719278531136329,-47.97401100131566,15.84177984501554,0.0535,0.001,1.0
-50.0,dt_end_weighted,-45.963133258816256,4.0368667411837516,14.135053651732768,15.042294485750702,14.135053651732768,-45.66148298242143,14.110607318358761,0.0535,0.0055,1.0
-50.0,R_end,-45.54174668214839,4.458253317851608,17.40989526249444,18.427016244512714,17.40989526249444,-45.86069947002824,18.342605543996115,0.0555,0.0035,1.0
-50.0,A_end,-79.60198368441831,-29.601983684418315,29.64070552149217,42.41666598371425,29.64070552149217,-80.36574727998617,31.163052504301067,0.0525,0.0035,1.0
-50.0,x_top_centroid_raw,-53.53354130411606,-3.5335413041160573,4.1168066983076,5.480187230555285,4.1168066983076,-53.61072028739402,4.088488470780536,0.052,0.004,1.0
-50.0,local_R,-45.72990557589149,4.270094424108507,3.1332292645162054,5.477020844756784,3.1332292645162054,-45.5614448176007,3.087855624362336,0.0515,0.008,1.0
0.0,dt_end_pool,0.3079978700033768,0.3079978700033768,16.22531019757818,16.125408363370767,16.22531019757818,0.008565886820645087,16.220175833666236,0.041,0.0025,1.0
0.0,dt_end_weighted,0.11829586651529445,0.11829586651529445,13.469342044271436,14.150957673356213,13.469342044271436,0.37410217520970157,13.672656854008489,0.0625,0.005,1.0
0.0,R_end,0.392001008890711,0.392001008890711,18.073939066933583,17.681775916659756,18.073939066933583,-0.048878360982296296,17.894781562835757,0.039,0.0025,1.0
0.0,A_end,0.6241149666999627,0.6241149666999627,31.329166671272777,30.59604906770888,31.329166671272777,-0.13922407515737006,31.035379450984962,0.0385,0.0025,1.0
0.0,x_top_centroid_raw,0.23181102401721526,0.23181102401721526,4.245735917436667,4.411963412102416,4.245735917436667,0.36804924844919296,4.264969823711352,0.0415,0.003,1.0
0.0,local_R,,,,,,,,,,0.0
50.0,dt_end_pool,48.6598446498873,-1.3401553501127024,16.05007925440414,15.93188009403713,16.05007925440414,48.378837291457856,15.67922506637489,0.0485,0.0005,1.0
50.0,dt_end_weighted,46.944001897216005,-3.055998102783995,13.946187767903767,14.422689671831003,13.946187767903767,46.265133291848215,13.634943215650294,0.052,0.0035,1.0
50.0,R_end,46.531428016716525,-3.468571983283479,17.45518493601913,18.223039322164095,17.45518493601913,46.266701285192866,16.818518293820244,0.052,0.0055,1.0
50.0,A_end,81.16758727880503,31.16758727880503,29.69559284081357,43.49158931034512,29.69559284081357,80.94586277364415,28.69898204544268,0.0505,0.0055,1.0
50.0,x_top_centroid_raw,53.60603063506031,3.6060306350603044,4.072322612272925,5.453730006347622,4.072322612272925,53.666321679678575,4.160461933562247,0.049,0.005,1.0
50.0,local_R,45.79367741901956,-4.206322580980444,3.0409765236547286,5.370243250206732,3.0409765236547286,45.670486811614694,3.0983079229682047,0.057,0.01,1.0
100.0,dt_end_pool,96.97045083338145,-3.029549166618551,16.213832576047693,16.463327889602834,16.213832576047693,96.91438096329006,16.36998838916226,0.0465,0.003,1.0
100.0,dt_end_weighted,91.60127927707707,-8.398720722922928,14.668456280437335,17.12694289937923,14.668456280437335,91.1698534663378,14.62765916993529,0.05,0.0065,1.0
100.0,R_end,88.05734034437778,-11.94265965562222,17.282818792162825,21.47162832135381,17.282818792162825,88.37616045738442,17.49022707592785,0.0545,0.0035,1.0
100.0,A_end,151.40097766453076,51.40097766453076,28.016221984276957,58.962906343627594,28.016221984276957,152.31368865837638,28.30449100999238,0.0525,0.0035,1.0
100.0,x_top_centroid_raw,107.79139694766752,7.791396947667538,4.091968100349941,8.869207801116444,4.091968100349941,107.83485114666983,4.106160881653485,0.056,0.0045,1.0
100.0,local_R,102.2097534616176,2.2097534616176064,3.028967402674854,3.8310237560453824,3.028967402674854,102.18245977872309,3.0123953454233283,0.059,0.0055,1.0
150.0,dt_end_pool,145.36678421987523,-4.633215780124778,16.504595038726976,17.446315326711115,16.504595038726976,144.597465119199,16.446850717753726,0.0565,0.004,1.0
150.0,dt_end_weighted,137.46460179825547,-12.535398201744535,16.23648695985569,21.099821524069267,16.23648695985569,136.55655770636355,16.33012814998135,0.059,0.0075,1.0
150.0,R_end,134.53005521694053,-15.469944783059477,17.947019464266234,23.726759446984357,17.947019464266234,134.78679318680182,18.221847421892033,0.0435,0.0025,1.0
150.0,A_end,224.83429616306094,74.83429616306091,26.642860006771034,79.42975717325822,26.642860006771034,225.76556847504406,27.14527437078096,0.0405,0.003,1.0
150.0,x_top_centroid_raw,161.3770251098333,11.377025109833292,4.243614922067916,12.12819998932931,4.243614922067916,161.35436139609646,4.206218389890602,0.0425,0.0045,1.0
150.0,local_R,145.68474964534835,-4.3152503546516625,3.1261377847383014,5.4133706266346096,3.1261377847383014,145.5262917618135,3.1213199673891214,0.041,0.007,1.0
200.0,dt_end_pool,194.97990426931398,-5.020095730686045,17.06928958491836,18.054727592939418,17.06928958491836,194.39990313479728,17.67889367543968,0.0485,0.005,1.0
200.0,dt_end_weighted,186.88176627131207,-13.118233728687901,20.051223062609,24.64798973621754,20.051223062609,184.86147972586593,19.765625671693165,0.0525,0.0115,1.0
200.0,R_end,183.08717754020856,-16.91282245979143,18.541345578919845,25.478924362600992,18.541345578919845,182.43267365068434,19.09244705853784,0.051,0.006,1.0
200.0,A_end,293.751817639972,93.75181763997196,24.253466917058034,96.97359342568659,24.253466917058034,293.60422094569856,25.125054250969438,0.052,0.003,1.0
200.0,x_top_centroid_raw,214.3314713945408,14.331471394540769,4.012278945712385,14.900115001183735,4.012278945712385,214.30492059451473,4.063373109147103,0.0515,0.002,1.0
200.0,local_R,202.17646626517111,2.1764662651711553,2.903937582314805,3.7517307250502068,2.903937582314805,202.0941701247193,2.7951667462414207,0.0525,0.0065,1.0
250.0,dt_end_pool,244.3367873457404,-5.663212654259609,17.10312380923498,18.17424525501273,17.10312380923498,243.52785276034217,16.71090440192751,0.05,0.0045,1.0
250.0,dt_end_weighted,236.31783169143102,-13.682168308568965,22.86568587626564,27.48054104787078,22.86568587626564,234.40311192080546,23.126742730679954,0.061,0.0085,1.0
250.0,R_end,230.90470088189696,-19.095299118103046,18.578759502558754,27.02558167742958,18.578759502558754,229.94272953098402,18.12587319357086,0.058,0.004,1.0
250.0,A_end,352.64705047208133,102.64705047208138,20.725566053140582,104.82111296142736,20.725566053140582,352.30109411740807,20.559285740448807,0.056,0.005,1.0
250.0,x_top_centroid_raw,267.8456194999902,17.845619499990207,4.012079765263532,18.30601189307615,4.012079765263532,267.8023102348419,4.042337258368142,0.05,0.0035,1.0
250.0,local_R,245.64211141232522,-4.357888587674786,3.088778531043899,5.606902160933925,3.088778531043899,245.60690663973278,2.9975662035018606,0.057,0.008,1.0
300.0,dt_end_pool,292.5002740518114,-7.499725948188565,17.61599507611397,19.469014170245075,17.61599507611397,291.7712672924215,17.378126105604178,0.053,0.0035,1.0
300.0,dt_end_weighted,285.73320363569144,-14.266796364308583,27.037519092218623,31.21649886348201,27.037519092218623,283.43104583948457,27.079039469910008,0.048,0.0105,1.0
300.0,R_end,274.04922064030984,-25.950779359690163,19.11202744286316,32.51679023775999,19.11202744286316,273.0884805704648,18.618934863297024,0.054,0.003,1.0
300.0,A_end,397.52762341786126,97.52762341786125,18.132115362376226,99.2628303802096,18.132115362376226,397.34961033803677,17.694297183461675,0.051,0.005,1.0
300.0,x_top_centroid_raw,320.8754845463588,20.875484546358805,4.058951605454453,21.315080528484632,4.058951605454453,320.9327825675174,4.079830283775037,0.0525,0.005,1.0
300.0,local_R,302.11852547167854,2.118525471678529,2.941981728499185,3.7008945578922248,2.941981728499185,302.09223276182945,3.0192345116371038,0.052,0.003,1.0
350.0,dt_end_pool,342.28242010774517,-7.717579892254839,18.996376420489547,20.691949865103236,18.996376420489547,340.79767938277513,18.615363941711305,0.049,0.008,1.0
