test_x,method,coefficients,train_positions
-450.0,dt_end_pool,"[126.49726513355684, 0.17780428739790385]",30
-450.0,dt_end_weighted,"[91.21621072582214, 0.5873798062343151]",30
-450.0,R_end,"[-166.87328050321582, 0.7656051709338814]",30
-450.0,A_end,"[-582.5941939941296, -1.7465786311450409]",30
-450.0,x_top_centroid_raw,"[1.2350346311734852, -0.723417580385064]",30
-450.0,local_R,"[40.05609910791174, 0.15922754104959846]",30
-400.0,dt_end_pool,"[126.48573352991232, 0.24446479615594585]",30
-400.0,dt_end_weighted,"[91.18712340426299, 0.7794686352122017]",30
-400.0,R_end,"[-166.88677442124614, 0.8401948661655139]",30
-400.0,A_end,"[-583.5525092396858, -2.5001587817463466]",30
-400.0,x_top_centroid_raw,"[1.2348670899172303, -0.7467661179346717]",30
-400.0,local_R,"[41.257702570552645, -0.05336862574232697]",30
-350.0,dt_end_pool,"[126.48899356026455, 0.26474411509717055]",30
-350.0,dt_end_weighted,"[91.17908281176847, 0.8994957554830124]",30
-350.0,R_end,"[-166.9169825320203, 0.8762673351054782]",30
-350.0,A_end,"[-583.9654493297788, -2.9974022460217]",30
-350.0,x_top_centroid_raw,"[1.2346062377397327, -0.7392397315251706]",30
-350.0,local_R,"[40.03954657788705, 0.15926318756672972]",30
-300.0,dt_end_pool,"[126.49326918741734, 0.2868398402726859]",30
-300.0,dt_end_weighted,"[91.19178927175228, 0.9032515319250051]",30
-300.0,R_end,"[-166.9712154303533, 0.8152410117133362]",30
-300.0,A_end,"[-583.9371519309485, -3.274587790081508]",30
-300.0,x_top_centroid_raw,"[1.2342282808019442, -0.6763825088350879]",30
-300.0,local_R,"[41.291467972981415, -0.05240528686544352]",30
-250.0,dt_end_pool,"[126.51400456339123, 0.2123815688081099]",30
-250.0,dt_end_weighted,"[91.21108154407413, 0.8454205962298935]",30
-250.0,R_end,"[-167.04633089561977, 0.6092967220942714]",30
-250.0,A_end,"[-583.6493987577683, -3.4154718845447194]",30
