event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
14,3898.9325280875105,14962.028925311854,3813.7793934529473,14769.624620159351,3813.7793934529473,14769.624620159351,3889.74178075582,14906.244721402883,3765.785303860662,14638.767959663852,3765.785303860662,14638.767959663852
15,3597.0896379813507,14313.78726125747,3516.260465210645,14129.80654160439,3516.260465210645,14129.80654160439,3588.5609347580275,14259.833206310348,3470.7808598109955,14003.636888288387,3470.7808598109955,14003.636888288387
16,5851.386087616764,22783.40877095791,5723.913829687457,22499.51583813176,5723.913829687457,22499.51583813176,5837.8774013516795,22696.95647700297,5652.156839256273,22299.61259388288,5652.156839256273,22299.61259388288
17,4583.255147709901,18582.610668271212,4479.119451904586,18360.23780067049,4479.119451904586,18360.23780067049,4572.532500514305,18512.482815251107,4420.834016925238,18202.23904661303,4420.834016925238,18202.23904661303
18,4539.836803106564,17823.55675462974,4432.399838487216,17612.428269503194,4432.399838487216,17612.428269503194,4528.876473006809,17757.53907226018,4372.416361300264,17460.2578457322,4372.416361300264,17460.2578457322
19,4402.862007679196,17251.614696544395,4306.526948806748,17045.44125621347,4306.526948806748,17045.44125621347,4392.486903083085,17186.830279041693,4252.208855430215,16898.938549420185,4252.208855430215,16898.938549420185
20,5621.460480762552,21768.020190533054,5491.42711467124,21495.62176952466,5491.42711467124,21495.62176952466,5607.996269616783,21686.326006189105,5418.555754451752,21305.700203956505,5418.555754451752,21305.700203956505
21,3986.8274135979404,15323.827520641642,3894.6381843477247,15136.216271635274,3894.6381843477247,15136.216271635274,3977.575966171433,15266.833837662529,3843.3046991765377,15004.371947055217,3843.3046991765377,15004.371947055217
22,9130.526870966216,35480.67300271132,8922.798033014447,35045.91401660671,8922.798033014447,35045.91401660671,9108.522098626492,35345.84783964015,8806.000266653573,34737.358867490904,8806.000266653573,34737.358867490904
23,5899.8403608098915,22759.06174065277,5766.807444502092,22462.47698280494,5766.807444502092,22462.47698280494,5886.020403329661,22675.200896161015,5692.216172324837,22262.302307022812,5692.216172324837,22262.302307022812
