frame,frametitle,include_exact,relative_path,expected_absolute,exists,size_bytes,extension,valid,validation,sha256,possible_generator,classification,search_candidates
16,Run 3 $|$ x = -400 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
17,Position x=0 mm,\includegraphics[width=\textwidth]{figs/muon_0mm_geometry.png},figs/muon_0mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_0mm_geometry.png,True,84485,.png,True,Pillow:PNG,ec7c96e9f94e4694c4c284c70832e776221499a5944fef4c1497fadacebf00bb,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_0mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_0mm_geometry.png
17,Position x=0 mm,\includegraphics[width=\textwidth]{figs/muon_0mm_top_profile.png},figs/muon_0mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_0mm_top_profile.png,True,128228,.png,True,Pillow:PNG,ec37a1771a62e7baf6524948541efa6ddeb40805dbbd51d144c40e3d3a43fcbb,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_0mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_0mm_top_profile.png
18,Run 4 $|$ x = +0 mm $|$ Photon arrival $\langle N(t)\rangle$,"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]{figs/exec11_arrival_0mm.png}",figs/exec11_arrival_0mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec11_arrival_0mm.png,True,191246,.png,True,Pillow:PNG,0b28ac05dbf87131900dd95bc2eb2f084f7a4ddacb5fcc057bf24cc505014cd2,analysis/exec07/exec11_time_arrival.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec11_arrival_0mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec11_arrival_0mm.png
19,Run 4 $|$ x = +0 mm $|$ Time-to-threshold $t_N$,"\includegraphics[width=\textwidth,height=0.84\textheight,keepaspectratio]{figs/exec13_tN_0mm.png}",figs/exec13_tN_0mm.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tN_0mm.png,True,242394,.png,True,Pillow:PNG,10893a178058a7cfc9f2d8378ca7f50e517dbef08af638baeedf3ed02ac54bbe,analysis/exec13/exec13_tN_analysis.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tN_0mm.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tN_0mm.png
20,Run 4 $|$ x = +0 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.78\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
20,Run 4 $|$ x = +0 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
20,Run 4 $|$ x = +0 mm $|$ $\langle t_n\rangle$ per channel (dispersion),"\includegraphics[width=\textwidth,height=0.37\textheight,keepaspectratio]%\n{figs/exec13_tn_\1mm_\2.png}",figs/exec13_tn_\1mm_\2.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/exec13_tn_\1mm_\2.png,False,0,.png,False,missing,,analysis/exec07/exec12b_tn_dispersion.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/exec13_tn_\1mm_\2.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/exec13_tn_\1mm_\2.png
21,Position x=400 mm,\includegraphics[width=\textwidth]{figs/muon_400mm_geometry.png},figs/muon_400mm_geometry.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_400mm_geometry.png,True,86489,.png,True,Pillow:PNG,00b2190c196afa28cb0f8b85b052d91db1af4b9d2aecb1a40288274e4576fc3c,analysis/exec07_photon_budget.py,STATIC_GEOMETRY,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_400mm_geometry.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_400mm_geometry.png
21,Position x=400 mm,\includegraphics[width=\textwidth]{figs/muon_400mm_top_profile.png},figs/muon_400mm_top_profile.png,/mnt/d/SHiP/ej230/results_ej230_analysis/figs/muon_400mm_top_profile.png,True,127528,.png,True,Pillow:PNG,ef1d14cd8a3f42b0b41156890d74b3e73c02dd22785a382c81154e84a2a8519a,analysis/exec07_photon_budget.py,EJ230_ANALYSIS,/mnt/d/SHiP/ej230/results_ej230_analysis/report/figs/muon_400mm_top_profile.png;/mnt/d/SHiP/ej230/results_ej230_analysis/figs/figs/muon_400mm_top_profile.png
