material_code,material,gun_x_mm,face_type,face,nominal_d_mm,mean_n_scint,se_n_scint,mean_n_scint_low,low_boundary_fraction,mean_min_creation_ns,se_min_creation_ns,mean_detection_selected_creation_ns,fitted_effective_fraction,fitted_n_eff,fitted_n_eff_over_low_boundary
1,EJ-204,500,1,right,200,1266.4392,3.27582019808,85.7549,0.0677133967426,0.234873591949,0.000203264238037,0.286945171564,0.772215402574,977.963856664,11.4041746497
1,EJ-204,650,0,left,1350,136.4707,0.360723836639,2.9007,0.0212551119031,0.312351796731,0.000627944577156,0.460948573593,0.772215402574,105.38477654,36.3308086117
1,EJ-204,650,1,right,50,2324.8902,5.78753030965,645.9043,0.277821421416,0.224541215741,0.000156206199274,0.252376778422,0.772215402574,1795.31602173,2.77953873621
2,EJ-230,-650,0,left,50,2089.8168,5.19173868553,585.6935,0.280260690794,0.21940985827,0.000134009460442,0.244902673142,0.736097685072,1538.3093087,2.6264749544
2,EJ-230,-650,1,right,1350,88.8423,0.239577133281,1.8867,0.0212365055835,0.313228885256,0.000638907145245,0.455486297711,0.736097685072,65.3966113665,34.6619024574
2,EJ-230,-500,0,left,200,1088.5651,2.74198154671,74.6858,0.0686094014956,0.229090108514,0.000178952268558,0.276399951726,0.736097685072,801.29025016,10.7288165911
2,EJ-230,-500,1,right,1200,110.8531,0.29970654721,2.4517,0.0221166570894,0.300125170931,0.000573617387443,0.428188455629,0.736097685072,81.598710293,33.282502057
2,EJ-230,-200,0,left,500,472.1624,1.17945793258,14.9388,0.0316391139998,0.246249740849,0.000265579148507,0.319627334332,0.736097685072,347.557649618,23.2654329409
2,EJ-230,-200,1,right,900,192.5314,0.500518964004,4.7152,0.0244905506323,0.27393990914,0.00042000641777,0.377878081743,0.736097685072,141.721917844,30.0563958779
2,EJ-230,0,0,left,700,295.7937,0.76523333189,7.9052,0.0267253832654,0.259017574655,0.000336904318502,0.34789855666,0.736097685072,217.733057829,27.5430169798
2,EJ-230,0,1,right,700,295.9844,0.765432913075,7.9326,0.0268007367956,0.259565271069,0.000333176085731,0.348526662225,0.736097685072,217.873431657,27.4655764387
