material_code,material,variable,selection_code,selection,bin_low,bin_high,bin_center,count,density
0,EJ-200,path_length_mm,1,random,432.33611847,471.430620649,451.883369559,731,0.000133559152321
0,EJ-200,path_length_mm,1,random,471.430620649,510.525122827,490.977871738,1742,0.000318276393084
0,EJ-200,path_length_mm,1,random,510.525122827,549.619625006,530.072373917,3740,0.000683325895598
0,EJ-200,path_length_mm,1,random,549.619625006,588.714127185,569.166876096,2846,0.000519985427506
0,EJ-200,path_length_mm,1,random,588.714127185,627.808629364,608.261378274,2415,0.000441238512799
0,EJ-200,path_length_mm,1,random,627.808629364,666.903131543,647.355880453,2252,0.000411457197029
0,EJ-200,path_length_mm,1,random,666.903131543,705.997633721,686.450382632,2358,0.000430824187653
0,EJ-200,path_length_mm,1,random,705.997633721,745.0921359,725.544884811,4498,0.000821818149305
0,EJ-200,path_length_mm,1,random,745.0921359,784.186638079,764.639386989,3584,0.000654823532039
0,EJ-200,path_length_mm,1,random,784.186638079,823.281140258,803.733889168,2821,0.000515417741038
0,EJ-200,path_length_mm,1,random,823.281140258,862.375642436,842.828391347,2310,0.000422054229634
0,EJ-200,path_length_mm,1,random,862.375642436,901.470144615,881.922893526,2082,0.000380396929047
0,EJ-200,path_length_mm,1,random,901.470144615,940.564646794,921.017395705,4806,0.00087809204659
0,EJ-200,path_length_mm,1,random,940.564646794,979.659148973,960.111897883,3628,0.000662862660222
0,EJ-200,path_length_mm,1,random,979.659148973,1018.75365115,999.206400062,2999,0.00054793966869
0,EJ-200,path_length_mm,1,random,1018.75365115,1057.84815333,1038.30090224,2567,0.000469010046524
0,EJ-200,path_length_mm,1,random,1057.84815333,1096.94265551,1077.39540442,2188,0.000399763919671
0,EJ-200,path_length_mm,1,random,1096.94265551,1136.03715769,1116.4899066,1869,0.00034148024034
0,EJ-200,path_length_mm,1,random,1136.03715769,1175.13165987,1155.58440878,1673,0.000305669578432
0,EJ-200,path_length_mm,1,random,1175.13165987,1214.22616205,1194.67891096,2650,0.000484174765598
0,EJ-200,path_length_mm,1,random,1214.22616205,1253.32066422,1233.77341313,3484,0.000636552786167
0,EJ-200,path_length_mm,1,random,1253.32066422,1292.4151664,1272.86791531,2705,0.000494223675827
0,EJ-200,path_length_mm,1,random,1292.4151664,1331.50966858,1311.96241749,2347,0.000428814405607
0,EJ-200,path_length_mm,1,random,1331.50966858,1370.60417076,1351.05691967,3500,0.000639476105506
0,EJ-200,path_length_mm,1,random,1370.60417076,1409.69867294,1390.15142185,3802,0.000694653758039
0,EJ-200,path_length_mm,1,random,1409.69867294,1448.79317512,1429.24592403,3009,0.000549766743277
0,EJ-200,path_length_mm,1,random,1448.79317512,1487.8876773,1468.34042621,2502,0.000457134061708
0,EJ-200,path_length_mm,1,random,1487.8876773,1526.98217948,1507.43492839,2228,0.00040707221802
0,EJ-200,path_length_mm,1,random,1526.98217948,1566.07668165,1546.52943057,2109,0.000385330030432
0,EJ-200,path_length_mm,1,random,1566.07668165,1605.17118383,1585.62393274,1905,0.000348057708854
0,EJ-200,path_length_mm,1,random,1605.17118383,1644.26568601,1624.71843492,1604,0.000293062763781
0,EJ-200,path_length_mm,1,random,1644.26568601,1683.36018819,1663.8129371,1392,0.000254328782533
0,EJ-200,path_length_mm,1,random,1683.36018819,1722.45469037,1702.90743928,1198,0.000218883535542
0,EJ-200,path_length_mm,1,random,1722.45469037,1761.54919255,1742.00194146,1238,0.000226191833891
0,EJ-200,path_length_mm,1,random,1761.54919255,1800.64369473,1781.09644364,1134,0.000207190258184
0,EJ-200,path_length_mm,1,random,1800.64369473,1839.73819691,1820.19094582,1028,0.00018782326756
0,EJ-200,path_length_mm,1,random,1839.73819691,1878.83269908,1859.285448,1057,0.000193121783863
0,EJ-200,path_length_mm,1,random,1878.83269908,1917.92720126,1898.37995017,1098,0.00020061278967
0,EJ-200,path_length_mm,1,random,1917.92720126,1957.02170344,1937.47445235,920,0.000168090862019
0,EJ-200,path_length_mm,1,random,1957.02170344,1996.11620562,1976.56895453,725,0.000132462907569
0,EJ-200,path_length_mm,1,random,1996.11620562,2035.2107078,2015.66345671,697,0.000127347098725
0,EJ-200,path_length_mm,1,random,2035.2107078,2074.30520998,2054.75795889,740,0.00013520351945
0,EJ-200,path_length_mm,1,random,2074.30520998,2113.39971216,2093.85246107,698,0.000127529806184
0,EJ-200,path_length_mm,1,random,2113.39971216,2152.49421434,2132.94696325,641,0.000117115481037
0,EJ-200,path_length_mm,1,random,2152.49421434,2191.58871651,2172.04146543,497,9.08056069819e-05
0,EJ-200,path_length_mm,1,random,2191.58871651,2230.68321869,2211.1359676,428,7.81987923305e-05
0,EJ-200,path_length_mm,1,random,2230.68321869,2269.77772087,2250.23046978,391,7.1438616358e-05
0,EJ-200,path_length_mm,1,random,2269.77772087,2308.87222305,2289.32497196,342,6.24859508809e-05
0,EJ-200,path_length_mm,1,random,2308.87222305,2347.96672523,2328.41947414,286,5.22543331928e-05
0,EJ-200,path_length_mm,1,random,2347.96672523,2387.06122741,2367.51397632,277,5.06099660644e-05
0,EJ-200,path_length_mm,1,random,2387.06122741,2426.15572959,2406.6084785,237,4.33016677157e-05
0,EJ-200,path_length_mm,1,random,2426.15572959,2465.25023177,2445.70298068,260,4.75039392662e-05
0,EJ-200,path_length_mm,1,random,2465.25023177,2504.34473395,2484.79748286,251,4.58595721377e-05
0,EJ-200,path_length_mm,1,random,2504.34473395,2543.43923612,2523.89198503,249,4.54941572203e-05
0,EJ-200,path_length_mm,1,random,2543.43923612,2582.5337383,2562.98648721,155,2.8319656101e-05
0,EJ-200,path_length_mm,1,random,2582.5337383,2621.62824048,2602.08098939,157,2.86850710184e-05
0,EJ-200,path_length_mm,1,random,2621.62824048,2660.72274266,2641.17549157,141,2.5761751679e-05
0,EJ-200,path_length_mm,1,random,2660.72274266,2699.81724484,2680.26999375,129,2.35692621744e-05
0,EJ-200,path_length_mm,1,random,2699.81724484,2738.91174702,2719.36449593,153,2.79542411836e-05
0,EJ-200,path_length_mm,1,random,2738.91174702,2778.0062492,2758.45899811,121,2.21076025047e-05
0,EJ-200,path_length_mm,1,random,2778.0062492,2817.10075138,2797.55350029,130,2.37519696331e-05
0,EJ-200,path_length_mm,1,random,2817.10075138,2856.19525355,2836.64800246,96,1.75399160367e-05
0,EJ-200,path_length_mm,1,random,2856.19525355,2895.28975573,2875.74250464,102,1.8636160789e-05
0,EJ-200,path_length_mm,1,random,2895.28975573,2934.38425791,2914.83700682,120,2.19248950459e-05
0,EJ-200,path_length_mm,1,random,2934.38425791,2973.47876009,2953.931509,87,1.58955489083e-05
0,EJ-200,path_length_mm,1,random,2973.47876009,3012.57326227,2993.02601118,91,1.66263787432e-05
0,EJ-200,path_length_mm,1,random,3012.57326227,3051.66776445,3032.12051336,86,1.57128414496e-05
0,EJ-200,path_length_mm,1,random,3051.66776445,3090.76226663,3071.21501554,72,1.31549370276e-05
0,EJ-200,path_length_mm,1,random,3090.76226663,3129.85676881,3110.30951772,63,1.15105698991e-05
0,EJ-200,rho_detour,0,first,1,1.06692889424,1.03346444712,118878,12.6870252535
0,EJ-200,rho_detour,0,first,1.06692889424,1.13385778848,1.10039334136,7158,0.76392374337
0,EJ-200,rho_detour,0,first,1.13385778848,1.20078668272,1.1673222356,695,0.0741725344568
0,EJ-200,rho_detour,0,first,1.20078668272,1.26771557697,1.23425112985,56,0.00597649198501
0,EJ-200,rho_detour,0,first,1.26771557697,1.33464447121,1.30118002409,12619,1.34673843498
0,EJ-200,rho_detour,0,first,1.33464447121,1.40157336545,1.36810891833,0,0
