material_code,material,gun_x_mm,face_type,source_type,source,bin_low_ns,bin_high_ns,bin_center_ns,count,density
0,EJ-200,-650,0,1,scintillation,0.478647515492,0.479409712253,0.479028613873,13,6.58531402352
0,EJ-200,-650,0,1,scintillation,0.479409712253,0.480171909014,0.479790810634,8,4.05250093755
0,EJ-200,-650,0,1,scintillation,0.480171909014,0.480934105775,0.480553007395,7,3.54593832036
0,EJ-200,-650,0,1,scintillation,0.480934105775,0.481696302536,0.481315204156,12,6.07875140633
0,EJ-200,-650,0,1,scintillation,0.481696302536,0.482458499298,0.482077400917,17,8.6115644923
0,EJ-200,-650,0,1,scintillation,0.482458499298,0.483220696059,0.482839597678,12,6.07875140633
0,EJ-200,-650,0,1,scintillation,0.483220696059,0.48398289282,0.483601794439,10,5.06562617194
0,EJ-200,-650,0,1,scintillation,0.48398289282,0.484745089581,0.4843639912,13,6.58531402352
0,EJ-200,-650,0,1,scintillation,0.484745089581,0.485507286342,0.485126187961,15,7.59843925791
0,EJ-200,-650,0,1,scintillation,0.485507286342,0.486269483103,0.485888384722,11,5.57218878914
0,EJ-200,-650,0,1,scintillation,0.486269483103,0.487031679864,0.486650581483,18,9.1181271095
0,EJ-200,-650,0,1,scintillation,0.487031679864,0.487793876625,0.487412778244,10,5.06562617194
0,EJ-200,-650,0,1,scintillation,0.487793876625,0.488556073386,0.488174975006,20,10.1312523439
0,EJ-200,-650,0,1,scintillation,0.488556073386,0.489318270147,0.488937171767,13,6.58531402352
0,EJ-200,-650,0,1,scintillation,0.489318270147,0.490080466908,0.489699368528,23,11.6509401955
0,EJ-200,-650,0,1,scintillation,0.490080466908,0.490842663669,0.490461565289,29,14.6903158986
0,EJ-200,-650,0,1,scintillation,0.490842663669,0.49160486043,0.49122376205,14,7.09187664072
0,EJ-200,-650,0,1,scintillation,0.49160486043,0.492367057191,0.491985958811,18,9.11812710949
0,EJ-200,-650,0,1,scintillation,0.492367057191,0.493129253952,0.492748155572,19,9.62468972669
0,EJ-200,-650,0,1,scintillation,0.493129253952,0.493891450713,0.493510352333,33,16.7165663674
0,EJ-200,-650,0,1,scintillation,0.493891450713,0.494653647475,0.494272549094,25,12.6640654299
0,EJ-200,-650,0,1,scintillation,0.494653647475,0.495415844236,0.495034745855,30,15.1968785158
0,EJ-200,-650,0,1,scintillation,0.495415844236,0.496178040997,0.495796942616,15,7.59843925791
0,EJ-200,-650,0,1,scintillation,0.496178040997,0.496940237758,0.496559139377,24,12.1575028127
0,EJ-200,-650,0,1,scintillation,0.496940237758,0.497702434519,0.497321336138,24,12.1575028127
0,EJ-200,-650,0,1,scintillation,0.497702434519,0.49846463128,0.498083532899,24,12.1575028127
0,EJ-200,-650,0,1,scintillation,0.49846463128,0.499226828041,0.49884572966,30,15.1968785158
0,EJ-200,-650,0,1,scintillation,0.499226828041,0.499989024802,0.499607926421,30,15.1968785158
0,EJ-200,-650,0,1,scintillation,0.499989024802,0.500751221563,0.500370123183,32,16.2100037502
0,EJ-200,-650,0,1,scintillation,0.500751221563,0.501513418324,0.501132319944,27,13.6771906642
0,EJ-200,-650,0,1,scintillation,0.501513418324,0.502275615085,0.501894516705,34,17.2231289846
0,EJ-200,-650,0,1,scintillation,0.502275615085,0.503037811846,0.502656713466,41,20.769067305
0,EJ-200,-650,0,1,scintillation,0.503037811846,0.503800008607,0.503418910227,34,17.2231289846
0,EJ-200,-650,0,1,scintillation,0.503800008607,0.504562205368,0.504181106988,45,22.7953177737
0,EJ-200,-650,0,1,scintillation,0.504562205368,0.505324402129,0.504943303749,44,22.2887551565
0,EJ-200,-650,0,1,scintillation,0.505324402129,0.50608659889,0.50570550051,33,16.7165663674
0,EJ-200,-650,0,1,scintillation,0.50608659889,0.506848795652,0.506467697271,40,20.2625046878
0,EJ-200,-650,0,1,scintillation,0.506848795652,0.507610992413,0.507229894032,49,24.8215682425
0,EJ-200,-650,0,1,scintillation,0.507610992413,0.508373189174,0.507992090793,36,18.236254219
0,EJ-200,-650,0,1,scintillation,0.508373189174,0.509135385935,0.508754287554,52,26.3412560941
0,EJ-200,-650,0,1,scintillation,0.509135385935,0.509897582696,0.509516484315,70,35.4593832036
0,EJ-200,-650,0,1,scintillation,0.509897582696,0.510659779457,0.510278681076,46,23.3018803909
0,EJ-200,-650,0,1,scintillation,0.510659779457,0.511421976218,0.511040877837,59,29.8871944145
0,EJ-200,-650,0,1,scintillation,0.511421976218,0.512184172979,0.511803074598,54,27.3543813285
0,EJ-200,-650,0,1,scintillation,0.512184172979,0.51294636974,0.512565271359,46,23.3018803909
0,EJ-200,-650,0,1,scintillation,0.51294636974,0.513708566501,0.513327468121,46,23.3018803909
0,EJ-200,-650,0,1,scintillation,0.513708566501,0.514470763262,0.514089664882,60,30.3937570316
0,EJ-200,-650,0,1,scintillation,0.514470763262,0.515232960023,0.514851861643,59,29.8871944145
0,EJ-200,-650,0,1,scintillation,0.515232960023,0.515995156784,0.515614058404,58,29.3806317973
0,EJ-200,-650,0,1,scintillation,0.515995156784,0.516757353545,0.516376255165,46,23.3018803909
0,EJ-200,-650,0,1,scintillation,0.516757353545,0.517519550306,0.517138451926,54,27.3543813285
0,EJ-200,-650,0,1,scintillation,0.517519550306,0.518281747067,0.517900648687,56,28.3675065629
0,EJ-200,-650,0,1,scintillation,0.518281747067,0.519043943829,0.518662845448,56,28.3675065629
0,EJ-200,-650,0,1,scintillation,0.519043943829,0.51980614059,0.519425042209,53,26.8478187113
0,EJ-200,-650,0,1,scintillation,0.51980614059,0.520568337351,0.52018723897,53,26.8478187113
0,EJ-200,-650,0,1,scintillation,0.520568337351,0.521330534112,0.520949435731,59,29.8871944145
0,EJ-200,-650,0,1,scintillation,0.521330534112,0.522092730873,0.521711632492,51,25.8346934769
0,EJ-200,-650,0,1,scintillation,0.522092730873,0.522854927634,0.522473829253,50,25.3281308597
0,EJ-200,-650,0,1,scintillation,0.522854927634,0.523617124395,0.523236026014,65,32.9265701176
0,EJ-200,-650,0,1,scintillation,0.523617124395,0.524379321156,0.523998222775,70,35.4593832036
0,EJ-200,-650,0,1,scintillation,0.524379321156,0.525141517917,0.524760419536,59,29.8871944145
0,EJ-200,-650,0,1,scintillation,0.525141517917,0.525903714678,0.525522616298,79,40.0184467583
0,EJ-200,-650,0,1,scintillation,0.525903714678,0.526665911439,0.526284813059,67,33.939695352
0,EJ-200,-650,0,1,scintillation,0.526665911439,0.5274281082,0.52704700982,53,26.8478187113
0,EJ-200,-650,0,1,scintillation,0.5274281082,0.528190304961,0.527809206581,61,30.9003196488
0,EJ-200,-650,0,1,scintillation,0.528190304961,0.528952501722,0.528571403342,25,12.6640654299
0,EJ-200,-650,0,1,scintillation,0.528952501722,0.529714698483,0.529333600103,18,9.11812710949
