selection,material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_cherenkov,mean_v_axial_mm_per_ns,se_v_axial_mm_per_ns,median_v_axial_mm_per_ns,mean_alpha_axial_deg,distance_to_beta1_edge_mm_per_ns,distance_to_finite_beta_edge_mm_per_ns
primary_like_proxy,2,EJ-230,500,3,2772,5.39862914863,145.395236606,0.0500018681493,146.280668899,39.9638770234,-1.50766661719,-1.05458852671
primary_like_proxy,2,EJ-230,500,4,2773,8.77208799135,146.012446743,0.0231835878462,146.351119098,39.6843258949,-0.890456480202,-0.437378389727
primary_like_proxy,2,EJ-230,700,0,2460,1,129.455168044,0.452316425964,137.847709466,45.8193701818,-17.4477351799,-16.9946570894
primary_like_proxy,2,EJ-230,700,1,2461,1.50914262495,133.904842493,0.376854418435,141.178853804,44.3098585404,-12.9980607306,-12.5449826402
primary_like_proxy,2,EJ-230,700,2,2460,2.16382113821,140.211628551,0.200297029253,144.220357074,42.1911467943,-6.69127467232,-6.23819658185
primary_like_proxy,2,EJ-230,700,3,2461,3.2218610321,142.986326105,0.116540370611,145.144249356,41.0334774997,-3.91657711853,-3.46349902806
primary_like_proxy,2,EJ-230,700,4,2461,5.29378301503,144.70640097,0.0610457366084,145.767059849,40.2798348831,-2.19650225404,-1.74342416356
primary_like_proxy,2,EJ-230,900,0,2141,1,132.397731432,0.457461047257,141.975606379,44.1113129004,-14.5051717916,-14.0520937011
primary_like_proxy,2,EJ-230,900,1,2142,1,132.552372526,0.451778631221,142.029492739,44.2416736122,-14.3505306976,-13.8974526071
primary_like_proxy,2,EJ-230,900,2,2142,1.86554621849,140.392867393,0.277564506149,145.770109428,41.7984848064,-6.51003583012,-6.05695773964
primary_like_proxy,2,EJ-230,900,3,2142,2.41596638655,142.74174818,0.182678000727,146.011435336,41.030504352,-4.16115504395,-3.70807695348
primary_like_proxy,2,EJ-230,900,4,2142,4.02380952381,145.230700822,0.071194342348,146.306173621,40.0326340111,-1.6722024012,-1.21912431072
primary_like_proxy,2,EJ-230,1200,0,1457,1,129.666138147,0.501434702654,137.604540893,44.5031809297,-17.2367650761,-16.7836869857
primary_like_proxy,2,EJ-230,1200,1,1458,1,129.531277222,0.502223977232,137.22907419,44.563805533,-17.3716260012,-16.9185479107
primary_like_proxy,2,EJ-230,1200,2,1457,1,130.008065672,0.509814169463,137.679802393,44.4321910326,-16.8948375514,-16.4417594609
primary_like_proxy,2,EJ-230,1200,3,1458,1.75994513032,136.705517494,0.381842166837,143.005194186,42.7321285205,-10.1973857299,-9.74430763942
primary_like_proxy,2,EJ-230,1200,4,1458,2.78943758573,141.874628876,0.221524239666,145.362747071,41.2539432846,-5.02827434715,-4.57519625668
primary_like_proxy,2,EJ-230,1350,0,1468,1,135.102570507,0.396204190698,140.899096952,43.3422918068,-11.8003327164,-11.3472546259
primary_like_proxy,2,EJ-230,1350,1,1469,1,135.205898182,0.375180843434,139.07340821,43.3032469201,-11.6970050418,-11.2439269513
primary_like_proxy,2,EJ-230,1350,2,1469,1,134.562615645,0.401430111998,139.879815281,43.5641832948,-12.3402875783,-11.8872094879
primary_like_proxy,2,EJ-230,1350,3,1469,1.73927842069,140.644423622,0.260131762444,145.015030727,41.418591958,-6.25847960129,-5.80540151082
primary_like_proxy,2,EJ-230,1350,4,1470,2.67891156463,143.526070906,0.140724311574,146.205176838,40.4391494757,-3.37683231797,-2.9237542275
