selection,material_code,material,nominal_d_mm,count_quantile,n_event_ends,mean_n_cherenkov,mean_v_axial_mm_per_ns,se_v_axial_mm_per_ns,median_v_axial_mm_per_ns,mean_alpha_axial_deg,distance_to_beta1_edge_mm_per_ns,distance_to_finite_beta_edge_mm_per_ns
all_source_type_2,1,EJ-204,200,3,4000,41.26475,148.816476839,0.142418681952,146.327202707,37.8692374053,1.91357361543,2.36665170591
all_source_type_2,1,EJ-204,200,4,4001,50.3476630842,156.858911397,0.259288491164,146.422478755,32.2041321376,9.95600817337,10.4090862638
all_source_type_2,1,EJ-204,500,0,3999,10.9817454364,146.620417527,0.0730989388649,146.319764752,39.2911661104,-0.28248569671,0.170592393765
all_source_type_2,1,EJ-204,500,1,4000,14.1975,147.257351952,0.0932687609999,146.345732783,38.8991565477,0.354448728886,0.807526819361
all_source_type_2,1,EJ-204,500,2,4000,16.43425,147.80333405,0.11046482335,146.366753681,38.5553086312,0.900430826016,1.35350891649
all_source_type_2,1,EJ-204,500,3,4000,18.87525,148.789152366,0.138730956889,146.380906901,37.9023223837,1.88624914272,2.3393272332
all_source_type_2,1,EJ-204,500,4,4001,24.0389902524,155.081533055,0.24274141267,146.426409905,33.5005771555,8.17862983166,8.63170792214
all_source_type_2,1,EJ-204,700,0,3999,6.03500875219,145.805234304,0.0777700154839,146.219019951,39.6836910136,-1.09766891914,-0.644590828667
all_source_type_2,1,EJ-204,700,1,4000,8.51925,146.954846407,0.0913877419308,146.318200665,39.0543132334,0.0519431836393,0.505021274114
all_source_type_2,1,EJ-204,700,2,4000,10.24675,147.667750728,0.113920109799,146.345572219,38.5924780733,0.764847504045,1.21792559452
all_source_type_2,1,EJ-204,700,3,4000,12.0585,148.526531705,0.134670310553,146.37277321,38.05206991,1.62362848133,2.0767065718
all_source_type_2,1,EJ-204,700,4,4000,15.92775,154.106959875,0.232159527871,146.430577184,34.1887182519,7.20405665099,7.65713474146
all_source_type_2,1,EJ-204,900,0,3995,3.46933667084,143.910711303,0.143295316313,146.059207635,40.3889230873,-2.99219192015,-2.53911382968
all_source_type_2,1,EJ-204,900,1,3995,5.46257822278,146.446200024,0.0930473202006,146.298338824,39.3015697737,-0.456703199875,-0.00362510939991
all_source_type_2,1,EJ-204,900,2,3996,6.75225225225,147.286315499,0.106558606539,146.344738312,38.8404735452,0.383412275372,0.836490365847
all_source_type_2,1,EJ-204,900,3,3995,8.40625782228,148.249306688,0.129006161224,146.377515764,38.2340695929,1.34640346414,1.79948155461
all_source_type_2,1,EJ-204,900,4,3996,11.4396896897,153.063480241,0.221464248165,146.425558491,34.8756138667,6.16057701735,6.61365510783
all_source_type_2,1,EJ-204,1200,0,3945,1.6948035488,136.113212462,0.256064432935,143.481367443,42.420739305,-10.789690762,-10.3366126716
all_source_type_2,1,EJ-204,1200,1,3946,3.09097820578,143.857508948,0.137241582564,145.970416111,40.275145169,-3.04539427563,-2.59231618515
all_source_type_2,1,EJ-204,1200,2,3946,4.1305119108,145.698104655,0.120814576569,146.184748062,39.5421907041,-1.20479856889,-0.751720478412
all_source_type_2,1,EJ-204,1200,3,3946,5.33375570198,147.239923914,0.13179810052,146.29743441,38.7199002982,0.337020690688,0.790098781163
all_source_type_2,1,EJ-204,1200,4,3946,7.60922453117,151.337431123,0.207428041466,146.369602781,36.011434852,4.43452789953,4.88760599
all_source_type_2,1,EJ-204,1350,0,3911,1.56328304781,138.41841652,0.206062452036,142.703433816,41.9220243577,-8.48448670399,-8.03140861351
all_source_type_2,1,EJ-204,1350,1,3912,2.7663599182,143.614460187,0.118119565814,145.709617442,40.105524915,-3.28844303629,-2.83536494581
all_source_type_2,1,EJ-204,1350,2,3911,3.78880081821,145.536580204,0.113281351249,146.229427619,39.3956246657,-1.36632301915,-0.913244928678
all_source_type_2,1,EJ-204,1350,3,3912,4.82975460123,147.220162604,0.137348052364,146.334531458,38.5550513838,0.317259380458,0.770337470933
all_source_type_2,1,EJ-204,1350,4,3912,7.04933537832,150.434199899,0.191971112022,146.405646365,36.5761557892,3.53129667519,3.98437476566
all_source_type_2,2,EJ-230,50,0,3999,54.9257314329,146.318279173,0.0766871058768,146.013560083,39.3663964053,-0.584624050805,-0.13154596033
all_source_type_2,2,EJ-230,50,1,4000,62.0145,146.793207527,0.0966447102476,146.032817428,39.0574105643,-0.109695697036,0.343382393439
all_source_type_2,2,EJ-230,50,2,4000,66.66475,147.500350338,0.120198649787,146.072686318,38.6106354379,0.59744711473,1.0505252052
all_source_type_2,2,EJ-230,50,3,4000,71.692,148.685543633,0.151854436368,146.121992344,37.8215850709,1.78264040911,2.23571849959
all_source_type_2,2,EJ-230,50,4,4001,86.087728068,158.329443975,0.277501962866,146.345445239,31.0311426054,11.426540751,11.8796188415
all_source_type_2,2,EJ-230,200,0,3999,26.4378594649,146.710769433,0.0706847264375,146.260326834,39.2530906262,-0.192133790429,0.260944300046
all_source_type_2,2,EJ-230,200,1,4000,31.40925,147.264446108,0.0949130227707,146.290177079,38.8882318711,0.361542884059,0.814620974534
all_source_type_2,2,EJ-230,200,2,4000,34.66125,148.090230265,0.124625266339,146.311204146,38.3281802283,1.18732704136,1.64040513184
all_source_type_2,2,EJ-230,200,3,4000,38.2475,148.638873113,0.138260372973,146.324739318,37.9778818794,1.73596988984,2.18904798031
all_source_type_2,2,EJ-230,200,4,4001,46.9775056236,157.198987955,0.26293274342,146.42486137,31.9459555867,10.2960847316,10.749162822
all_source_type_2,2,EJ-230,500,0,3999,8.903975994,146.361866115,0.073137363573,146.28634217,39.4107040205,-0.541037108174,-0.0879590176994
all_source_type_2,2,EJ-230,500,1,4000,11.8445,147.110217275,0.0920275864555,146.331942941,38.9727952043,0.20731405105,0.660392141525
all_source_type_2,2,EJ-230,500,2,4000,13.85375,147.93612933,0.119669359185,146.358315456,38.4245894523,1.0332261062,1.48630419667
all_source_type_2,2,EJ-230,500,3,4000,16.0055,148.539249754,0.13210090877,146.372865161,38.0690006866,1.63634653008,2.08942462055
all_source_type_2,2,EJ-230,500,4,4001,20.5901024744,154.205075657,0.23404143582,146.420123164,34.0784098011,7.3021724336,7.75525052407
all_source_type_2,2,EJ-230,700,0,3999,4.37634408602,144.737674574,0.10303702182,146.039994694,40.1554666563,-2.16522864997,-1.7121505595
all_source_type_2,2,EJ-230,700,1,3999,6.5216304076,146.674617134,0.0910696864879,146.258558671,39.197194859,-0.228286089534,0.224792000941
all_source_type_2,2,EJ-230,700,2,3999,8.0592648162,147.293588079,0.104449120102,146.317404047,38.8452514445,0.390684855908,0.843762946383
all_source_type_2,2,EJ-230,700,3,3999,9.68342085521,148.37093662,0.133800741765,146.352887052,38.145877964,1.46803339615,1.92111148663
all_source_type_2,2,EJ-230,700,4,4000,13.1835,153.722443399,0.23005723576,146.416745694,34.4123380891,6.81954017516,7.27261826564
all_source_type_2,2,EJ-230,900,0,3977,2.33190847372,141.671845116,0.200481522366,145.758091234,41.1412638424,-5.23105810768,-4.77798001721
all_source_type_2,2,EJ-230,900,1,3977,3.84008046266,145.623725224,0.100931458306,146.181713697,39.6988109664,-1.27917799979,-0.826099909311
all_source_type_2,2,EJ-230,900,2,3977,5.13980387227,146.926455055,0.109224240349,146.304684699,38.9882406617,0.0235518311403,0.476629921615
all_source_type_2,2,EJ-230,900,3,3977,6.41035956751,147.915143141,0.128596410035,146.348700905,38.406852713,1.01223991741,1.46531800788
all_source_type_2,2,EJ-230,900,4,3978,9.00779286073,152.236228898,0.214014006279,146.41071182,35.4163525507,5.33332567407,5.78640376454
all_source_type_2,2,EJ-230,1200,0,3779,1.16856311193,131.95345432,0.314343405914,141.166971155,43.3932968525,-14.9494489037,-14.4963708133
all_source_type_2,2,EJ-230,1200,1,3780,2,140.926392045,0.188913547512,145.03008963,41.1171451506,-5.97651117888,-5.5234330884
all_source_type_2,2,EJ-230,1200,2,3780,2.93253968254,144.044917999,0.145250373884,145.983903847,40.1267954259,-2.85798522496,-2.40490713448
all_source_type_2,2,EJ-230,1200,3,3780,3.81084656085,146.240110547,0.141636234358,146.202563559,39.1428641747,-0.662792676231,-0.209714585756
