material_code,material,nominal_d_mm,bin_low_deg,bin_high_deg,bin_center_deg,count,density_per_deg
0,EJ-200,50,41.66,41.68,41.67,10,0.033866160932
0,EJ-200,50,41.68,41.7,41.69,5,0.016933080466
0,EJ-200,50,41.7,41.72,41.71,5,0.016933080466
0,EJ-200,50,41.72,41.74,41.73,10,0.033866160932
0,EJ-200,50,41.74,41.76,41.75,7,0.0237063126524
0,EJ-200,50,41.76,41.78,41.77,8,0.0270929287456
0,EJ-200,50,41.78,41.8,41.79,16,0.0541858574912
0,EJ-200,50,41.8,41.82,41.81,3,0.0101598482796
0,EJ-200,50,41.82,41.84,41.83,5,0.016933080466
0,EJ-200,50,41.84,41.86,41.85,6,0.0203196965592
0,EJ-200,50,41.86,41.88,41.87,5,0.016933080466
0,EJ-200,50,41.88,41.9,41.89,9,0.0304795448388
0,EJ-200,50,41.9,41.92,41.91,5,0.016933080466
0,EJ-200,50,41.92,41.94,41.93,6,0.0203196965592
0,EJ-200,50,41.94,41.96,41.95,12,0.0406393931184
0,EJ-200,50,41.96,41.98,41.97,10,0.033866160932
0,EJ-200,50,41.98,42,41.99,5,0.016933080466
0,EJ-200,50,42,42.02,42.01,7,0.0237063126524
0,EJ-200,50,42.02,42.04,42.03,8,0.0270929287456
0,EJ-200,50,42.04,42.06,42.05,6,0.0203196965592
0,EJ-200,50,42.06,42.08,42.07,6,0.0203196965592
0,EJ-200,50,42.08,42.1,42.09,6,0.0203196965592
0,EJ-200,50,42.1,42.12,42.11,7,0.0237063126524
0,EJ-200,50,42.12,42.14,42.13,3,0.0101598482796
0,EJ-200,50,42.14,42.16,42.15,2,0.0067732321864
0,EJ-200,50,42.16,42.18,42.17,0,0
0,EJ-200,50,42.18,42.2,42.19,1,0.0033866160932
0,EJ-200,50,42.2,42.22,42.21,1,0.0033866160932
0,EJ-200,50,42.22,42.24,42.23,0,0
0,EJ-200,50,42.24,42.26,42.25,0,0
0,EJ-200,50,42.26,42.28,42.27,0,0
0,EJ-200,50,42.28,42.3,42.29,0,0
0,EJ-200,50,42.3,42.32,42.31,0,0
0,EJ-200,50,42.32,42.34,42.33,0,0
0,EJ-200,50,42.34,42.36,42.35,0,0
0,EJ-200,50,42.36,42.38,42.37,0,0
0,EJ-200,50,42.38,42.4,42.39,0,0
0,EJ-200,50,42.4,42.42,42.41,0,0
0,EJ-200,50,42.42,42.44,42.43,0,0
0,EJ-200,50,42.44,42.46,42.45,0,0
0,EJ-200,50,42.46,42.48,42.47,0,0
0,EJ-200,50,42.48,42.5,42.49,0,0
0,EJ-200,50,42.5,42.52,42.51,0,0
0,EJ-200,50,42.52,42.54,42.53,1,0.0033866160932
0,EJ-200,50,42.54,42.56,42.55,1,0.0033866160932
0,EJ-200,50,42.56,42.58,42.57,2,0.0067732321864
0,EJ-200,50,42.58,42.6,42.59,3,0.0101598482796
0,EJ-200,50,42.6,42.62,42.61,3,0.0101598482796
0,EJ-200,50,42.62,42.64,42.63,4,0.0135464643728
0,EJ-200,50,42.64,42.66,42.65,5,0.016933080466
0,EJ-200,50,42.66,42.68,42.67,5,0.016933080466
0,EJ-200,50,42.68,42.7,42.69,2,0.0067732321864
0,EJ-200,50,42.7,42.72,42.71,5,0.016933080466
0,EJ-200,50,42.72,42.74,42.73,9,0.0304795448388
0,EJ-200,50,42.74,42.76,42.75,4,0.0135464643728
0,EJ-200,50,42.76,42.78,42.77,5,0.016933080466
0,EJ-200,50,42.78,42.8,42.79,2,0.0067732321864
0,EJ-200,50,42.8,42.82,42.81,5,0.016933080466
0,EJ-200,50,42.82,42.84,42.83,3,0.0101598482796
0,EJ-200,50,42.84,42.86,42.85,6,0.0203196965592
0,EJ-200,50,42.86,42.88,42.87,3,0.0101598482796
0,EJ-200,50,42.88,42.9,42.89,4,0.0135464643728
0,EJ-200,50,42.9,42.92,42.91,3,0.0101598482796
0,EJ-200,50,42.92,42.94,42.93,3,0.0101598482796
0,EJ-200,50,42.94,42.96,42.95,3,0.0101598482796
0,EJ-200,50,42.96,42.98,42.97,5,0.016933080466
0,EJ-200,50,42.98,43,42.99,4,0.0135464643728
0,EJ-200,50,43,43.02,43.01,4,0.0135464643728
0,EJ-200,50,43.02,43.04,43.03,2,0.0067732321864
0,EJ-200,50,43.04,43.06,43.05,5,0.016933080466
0,EJ-200,50,43.06,43.08,43.07,5,0.016933080466
0,EJ-200,50,43.08,43.1,43.09,4,0.0135464643728
0,EJ-200,50,43.1,43.12,43.11,3,0.0101598482796
0,EJ-200,50,43.12,43.14,43.13,5,0.016933080466
0,EJ-200,50,43.14,43.16,43.15,4,0.0135464643728
0,EJ-200,50,43.16,43.18,43.17,2,0.0067732321864
0,EJ-200,50,43.18,43.2,43.19,4,0.0135464643728
0,EJ-200,50,43.2,43.22,43.21,6,0.0203196965592
0,EJ-200,50,43.22,43.24,43.23,3,0.0101598482796
0,EJ-200,50,43.24,43.26,43.25,2,0.0067732321864
0,EJ-200,50,43.26,43.28,43.27,1,0.0033866160932
0,EJ-200,50,43.28,43.3,43.29,6,0.0203196965592
0,EJ-200,50,43.3,43.32,43.31,2,0.0067732321864
0,EJ-200,50,43.32,43.34,43.33,3,0.0101598482796
0,EJ-200,50,43.34,43.36,43.35,4,0.0135464643728
0,EJ-200,50,43.36,43.38,43.37,2,0.0067732321864
0,EJ-200,50,43.38,43.4,43.39,5,0.016933080466
0,EJ-200,50,43.4,43.42,43.41,5,0.016933080466
0,EJ-200,50,43.42,43.44,43.43,1,0.0033866160932
0,EJ-200,50,43.44,43.46,43.45,1,0.0033866160932
0,EJ-200,50,43.46,43.48,43.47,1,0.0033866160932
0,EJ-200,50,43.48,43.5,43.49,4,0.0135464643728
0,EJ-200,50,43.5,43.52,43.51,3,0.0101598482796
0,EJ-200,50,43.52,43.54,43.53,7,0.0237063126524
0,EJ-200,50,43.54,43.56,43.55,3,0.0101598482796
0,EJ-200,50,43.56,43.58,43.57,6,0.0203196965592
0,EJ-200,50,43.58,43.6,43.59,2,0.0067732321864
0,EJ-200,50,43.6,43.62,43.61,2,0.0067732321864
