x_mm,group,N_nominal,N_eff,reach_min,minimum_threshold,reach_nominal,reach_effective,npe_mean,reduced_threshold,starvation,sigma_fit_ns,sigma_fit_err_ns,resolution_limited
-350,end_far,20,19,0.95,4,0.9405,0.9585,31.3415,True,False,0.663657,0.022106,False
-350,end_near,4,4,0.95,4,1.0,1.0,249.451,False,False,0.030154,0.007001,False
-350,top_nearest,4,4,0.95,4,1.0,1.0,318.9415,False,False,0.00785,0.001543,True
-300,end_far,20,20,0.95,4,0.9795,0.9795,34.237,False,False,0.616433,0.018872,False
-300,end_near,4,4,0.95,4,1.0,1.0,201.8235,False,False,0.047207,0.009861,False
-300,top_nearest,4,4,0.95,4,1.0,1.0,370.5675,False,False,0.007151,0.000127,True
-250,end_far,20,20,0.95,4,0.9955,0.9955,38.731,False,False,0.507223,0.013441,False
-250,end_near,4,4,0.95,4,1.0,1.0,171.687,False,False,0.067002,0.007493,False
-250,top_nearest,4,4,0.95,4,1.0,1.0,318.0885,False,False,0.008354,0.001611,True
-200,end_far,20,20,0.95,4,0.9995,0.9995,44.3715,False,False,0.421825,0.014208,False
-200,end_near,4,4,0.95,4,1.0,1.0,145.669,False,False,0.080741,0.005684,False
-200,top_nearest,4,4,0.95,4,1.0,1.0,370.098,False,False,0.008593,0.007579,True
-150,end_far,20,20,0.95,4,1.0,1.0,50.2115,False,False,0.35673,0.009655,False
-150,end_near,4,4,0.95,4,1.0,1.0,127.0485,False,False,0.095046,0.006888,False
-150,top_nearest,4,4,0.95,4,1.0,1.0,318.16,False,False,0.008263,0.001455,True
-100,end_far,20,20,0.95,4,1.0,1.0,59.573,False,False,0.292698,0.009081,False
-100,end_near,4,4,0.95,4,1.0,1.0,102.654,False,False,0.103389,0.006695,False
-100,top_nearest,4,4,0.95,4,1.0,1.0,372.455,False,False,0.006648,0.000118,True
-50,end_far,20,20,0.95,4,1.0,1.0,66.6125,False,False,0.266787,0.006658,False
-50,end_near,4,4,0.95,4,1.0,1.0,89.284,False,False,0.115462,0.006481,False
-50,top_nearest,4,4,0.95,4,1.0,1.0,318.1685,False,False,0.009234,0.001032,True
0,end_far,20,20,0.95,4,1.0,1.0,76.051,False,False,0.221022,0.007124,False
0,end_near,4,4,0.95,4,1.0,1.0,75.906,False,False,0.127719,0.004441,False
0,top_nearest,4,4,0.95,4,1.0,1.0,365.9995,False,False,0.009594,0.007037,True
50,end_far,20,20,0.95,4,1.0,1.0,66.171,False,False,0.251263,0.006693,False
50,end_near,4,4,0.95,4,1.0,1.0,89.4345,False,False,0.114943,0.005356,False
50,top_nearest,4,4,0.95,4,1.0,1.0,316.171,False,False,0.007906,0.001811,True
100,end_far,20,20,0.95,4,1.0,1.0,58.9925,False,False,0.291183,0.007176,False
100,end_near,4,4,0.95,4,1.0,1.0,101.784,False,False,0.106173,0.006589,False
100,top_nearest,4,4,0.95,4,1.0,1.0,369.322,False,False,0.009044,0.006539,True
150,end_far,20,20,0.95,4,1.0,1.0,50.2905,False,False,0.36443,0.011122,False
150,end_near,4,4,0.95,4,1.0,1.0,126.876,False,False,0.087948,0.005405,False
150,top_nearest,4,4,0.95,4,1.0,1.0,317.7435,False,False,0.008321,0.001716,True
200,end_far,20,20,0.95,4,0.9985,0.9985,44.4075,False,False,0.445345,0.013363,False
200,end_near,4,4,0.95,4,1.0,1.0,146.177,False,False,0.078633,0.006375,False
200,top_nearest,4,4,0.95,4,1.0,1.0,371.486,False,False,0.008136,0.000144,True
250,end_far,20,20,0.95,4,0.997,0.997,38.77,False,False,0.520174,0.01594,False
250,end_near,4,4,0.95,4,1.0,1.0,172.473,False,False,0.064486,0.008943,False
250,top_nearest,4,4,0.95,4,1.0,1.0,317.4615,False,False,0.008611,0.001218,True
300,end_far,20,20,0.95,4,0.9785,0.9785,34.0425,False,False,0.638449,0.022625,False
300,end_near,4,4,0.95,4,1.0,1.0,202.019,False,False,0.048242,0.010431,False
300,top_nearest,4,4,0.95,4,1.0,1.0,369.9095,False,False,0.007067,0.000125,True
350,end_far,20,20,0.95,4,0.9545,0.9545,31.5085,False,False,0.693617,0.021533,False
350,end_near,4,4,0.95,4,1.0,1.0,248.824,False,False,0.021601,0.003475,False
350,top_nearest,4,4,0.95,4,1.0,1.0,317.5865,False,False,0.008281,0.001269,True
400,end_far,20,17,0.95,4,0.885,0.9675,27.773,True,False,0.687172,0.023648,False
400,end_near,4,4,0.95,4,1.0,1.0,300.04,False,False,0.017164,0.003006,True
400,top_nearest,4,4,0.95,4,1.0,1.0,366.2775,False,False,0.009029,0.00688,True
