x_mm,group,side_role,N,n_events,n_reached,reach,frac_excluded,npe_mean,mean_ns,rms_ns,fit_mu_ns,sigma_fit_ns,sigma_fit_err_ns,fit_valid,fit_method,display_bin_width_ns,channels
-400,end_right,far,20,2000,1767,0.8835,0.1165,27.9975,7.120261,1.333095,6.633014,0.794335,0.02781,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-400,top_nearest,top,20,2000,2000,1.0,0.0,367.1865,0.680787,0.069444,0.678888,0.072088,0.004478,True,fixed-25ps-gaussian-core,0.025,"(31,)"
-350,end_left,near,4,2000,2000,1.0,0.0,249.451,1.719493,0.058641,1.727746,0.029688,0.005344,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-350,end_right,far,4,2000,2000,1.0,0.0,31.3415,4.609695,0.239107,4.569031,0.218549,0.006964,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-350,top_nearest,top,4,2000,2000,1.0,0.0,318.9415,0.364008,0.044701,0.341014,0.007842,,False,mean-rms-ultrafine,0.025,"(33,)"
-350,end_left,near,20,2000,2000,1.0,0.0,249.451,2.014756,0.088949,2.014345,0.085095,0.002533,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-350,end_right,far,20,2000,1881,0.9405,0.0595,31.3415,6.62044,1.213565,6.208368,0.692682,0.024702,True,fixed-25ps-gaussian-core,0.025,"(8, 9, 10, 11)"
-350,top_nearest,top,20,2000,2000,1.0,0.0,318.9415,0.66483,0.066575,0.660496,0.062948,0.008225,True,fixed-25ps-gaussian-core,0.025,"(33,)"
-300,end_left,near,4,2000,2000,1.0,0.0,201.8235,1.926944,0.065091,1.93652,0.044972,0.010673,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
-300,end_right,far,4,2000,2000,1.0,0.0,34.237,4.412308,0.219555,4.372811,0.199234,0.007625,True,fixed-25ps-gaussian-core,0.025,"(12, 13, 14, 15)"
-300,top_nearest,top,4,2000,2000,1.0,0.0,370.5675,0.372992,0.049111,0.348122,0.012547,,False,mean-rms-ultrafine,0.025,"(36,)"
-300,end_left,near,20,2000,2000,1.0,0.0,201.8235,2.267294,0.102373,2.262737,0.092956,0.003102,True,fixed-25ps-gaussian-core,0.025,"(0, 1, 2, 3)"
