scenario,wavelength_nm_created,folded_exit_angle_deg,finite_beta_edge_deg,d_axial_mm,group_velocity_mm_ns,propagation_time_ns,predicted_angular_penalty_ps,observed_edge_excess_ps,is_upper_5pct_angle_tail
visible_lower_764mm,511.20732097,39.5326450063,39.1368673029,49.6910459753,171.226872126,0.347388753666,2.1240183169,-26.7612676644,0
visible_lower_764mm,480.491268959,55.2340484537,38.8401367384,49.5000880188,169.158090514,0.467347426869,137.484099188,91.6552535568,1
visible_lower_764mm,610.650066823,40.107308705,39.8935331232,49.500903592,177.262784469,0.34651855666,1.14130591537,-17.4515466427,0
visible_lower_764mm,736.57184261,42.6178422072,40.5147402556,49.5000122639,192.515394531,0.35340461817,11.1924264979,15.192022036,0
visible_lower_764mm,522.955816429,40.7382247327,39.2417498343,49.500903179,171.993777402,0.35087270402,8.23195128489,-20.7378873211,0
visible_lower_764mm,739.760429086,43.9322011159,40.5267833711,49.5003261283,192.515394531,0.361190911384,18.7611598685,22.915404095,0
visible_lower_764mm,677.137245579,40.2102552546,40.25970555,49.5000647954,183.640789523,0.343959445295,-0.25784455287,-9.25793706449,0
visible_lower_764mm,724.946107874,40.3846075563,40.4695010347,49.5725059706,192.515394531,0.341818860634,-0.426962158017,3.33921605667,0
visible_lower_764mm,439.745944466,41.7542434483,38.3917605633,49.6358539159,166.281801766,0.361831319531,19.2846946055,-19.0196468641,0
visible_lower_764mm,680.67071344,44.7200898181,40.2766131273,49.5002296244,184.362808254,0.368804607137,25.9425523298,16.8813948191,0
visible_lower_764mm,545.344196656,40.815764637,39.4293016227,49.4999566044,173.416387728,0.352060289621,7.61420566637,-17.4847975147,0
visible_lower_764mm,758.042598762,45.0887074664,40.5929284874,49.4999221896,192.515394531,0.368403542137,25.582399821,29.7963891146,0
visible_lower_764mm,502.132564814,43.5558135329,39.0526656184,49.4993369894,170.625158053,0.367982662473,26.7350097571,-5.59189374146,0
visible_lower_764mm,431.267896512,40.9452731859,38.2899785614,49.4993054651,165.666074107,0.353286434731,14.8922590283,-27.3931850681,0
visible_lower_764mm,425.498332739,42.6740987211,38.2189526155,49.4991289599,165.244027378,0.364570647732,26.15307393,-16.7070520856,0
visible_lower_764mm,504.953329447,39.64994148,39.0791419077,49.500110257,170.812998226,0.345637155848,3.06354052728,-27.672411212,0
visible_lower_764mm,762.981884913,40.3822481122,40.6099779561,49.4998757688,192.515394531,0.341431185963,-1.14764403701,2.73797410993,0
visible_lower_764mm,611.255124272,40.5080812247,39.8973124272,49.5009912121,177.296260706,0.346954066547,3.29351274049,-16.9680250775,0
visible_lower_764mm,494.080739818,39.1179579775,38.9755570104,49.9947434671,170.084523106,0.347961630332,0.763008279312,-30.1386384648,0
visible_lower_764mm,460.263445387,39.1132720563,38.6257484997,49.500801508,167.747960682,0.344284554462,2.59946375381,-33.4358942438,0
visible_lower_764mm,584.42551499,39.7941589629,39.720938269,49.5001372293,175.773395156,0.34529988481,0.38945190007,-20.8282833369,0
visible_lower_764mm,448.601382771,43.2355614008,38.4948563805,49.4993845652,166.918807845,0.368604856756,28.1465253489,-10.2903797947,0
visible_lower_764mm,625.330770227,40.002376088,39.9827706287,49.9914982896,178.063883482,0.34929403561,0.105189581931,-17.10708714,0
visible_lower_764mm,509.411513134,39.5546301605,39.1204283106,49.5001677133,171.108453952,0.345059138068,2.32321434123,-27.8245579383,0
visible_lower_764mm,510.651784491,71.2772382021,39.1317935574,49.4992976604,171.190282272,0.821661126119,528.043122712,448.902076876,1
visible_lower_764mm,571.465721808,40.0260527321,39.6289996356,49.5001515588,175.00986612,0.347070738155,2.12856754103,-20.1657519769,0
visible_lower_764mm,431.907660644,44.9666135618,38.2977659048,49.4992473704,165.712793662,0.38004960715,41.5740956309,-0.563084070626,0
visible_lower_764mm,597.824562878,40.1233149742,39.8113039408,49.5000027627,176.543720904,0.346436180368,1.6697586401,-18.5721953192,0
visible_lower_764mm,631.373557679,40.0882814822,40.0180456057,49.7158323927,178.386805398,0.347589412226,0.375219045561,-16.3196176472,0
visible_lower_764mm,661.560112339,40.1480595947,40.1822864235,49.4997704745,180.365855112,0.345103835933,-0.181070402855,-14.114118653,0
visible_lower_764mm,603.981909169,39.9772231425,39.851290323,49.5002794839,176.891175351,0.345867573138,0.670831389179,-18.6380001364,0
visible_lower_764mm,615.57915844,40.1009159015,39.924064423,49.9984805111,177.534384157,0.350132651733,0.952781387471,-17.0972535068,0
visible_lower_764mm,510.752149787,39.4689607595,39.132710973,49.5824529228,171.196886606,0.346223476433,1.79786725971,-27.1522411056,0
visible_lower_764mm,615.044924603,40.3621799028,39.9207834809,49.5002574246,177.50505054,0.347288474348,2.37001737176,-16.3247293532,0
visible_lower_764mm,766.356418753,40.2272135959,40.6214321453,49.4999213684,192.515394531,0.34105056703,-1.97953785207,2.29897206469,0
visible_lower_764mm,423.298379458,38.7564671756,38.1914890328,49.8894853502,165.082410101,0.348536963426,3.02504475565,-35.9786666711,0
visible_lower_764mm,488.487572345,43.363730511,38.9206348672,49.4999505086,169.705305655,0.367585337063,26.3035296555,-7.3188507082,0
visible_lower_764mm,675.140956178,40.2495406936,40.2500482163,49.499921071,183.229532402,0.344474276598,-0.00265423635176,-9.48435259343,0
visible_lower_764mm,408.251635798,44.7273461398,37.9978890272,49.4999412059,163.968232384,0.380220613815,41.8264388339,-2.86895197117,0
visible_lower_764mm,578.577284869,39.7201403461,39.6800144793,49.9843375302,175.431080093,0.349110157632,0.215312937237,-21.1012097263,0
visible_lower_764mm,743.234673614,42.2168130202,40.5397308189,49.5003195191,192.515394531,0.351215354949,8.83897655512,12.8745221005,0
visible_lower_764mm,633.722145057,42.263403498,40.031532559,49.5009572996,178.511247036,0.356554694159,12.5421427815,-5.60049713786,0
visible_lower_764mm,522.043246458,39.2202843729,39.2337663929,49.4998857333,171.934770233,0.343700017826,-0.0713927653799,-27.9881695118,0
visible_lower_764mm,600.996069128,40.0104890795,39.8320187862,49.4998977526,176.723163037,0.345330191097,0.95192488823,-19.4167258883,0
visible_lower_764mm,395.207688041,37.9749615908,37.8217019503,49.9531083769,162.990268968,0.344349188792,0.80871348052,-43.63693147,0
visible_lower_764mm,493.917548636,39.0094357457,38.973970466,49.5004091568,170.073501377,0.342818526701,0.187646322689,-31.5590638102,0
visible_lower_764mm,514.175248527,39.5150364693,39.1637970607,49.5000368975,171.421964387,0.345707599551,1.87604117223,-26.7225224157,0
visible_lower_764mm,516.218698102,40.3415369641,39.1821666693,49.8347985013,171.555743479,0.35281900249,6.36322636603,-21.9353105979,0
visible_lower_764mm,411.351309803,46.3593343731,38.038603751,49.4998209958,164.198970997,0.390417404433,54.0547642599,7.65451445789,0
visible_lower_764mm,449.997952835,38.5741365816,38.5108205819,49.5006524166,167.018737927,0.342008544384,0.333591276036,-36.7536364103,0
visible_lower_764mm,489.66858924,40.8042210443,38.9323258513,49.4999518515,169.785632519,0.353556340503,10.3689624162,-21.2322476028,0
visible_lower_764mm,484.342549186,42.6304355355,38.8792007872,49.4999903459,169.422400535,0.364260746557,21.7991095896,-11.0507023429,0
visible_lower_764mm,431.328730216,38.434059181,38.2907197976,49.5002326756,165.670522525,0.338014792147,0.754565343914,-42.665624705,0
visible_lower_764mm,580.380316415,41.3958643993,39.6927294134,49.5001784223,175.537017411,0.354042544435,9.43919263997,-12.4290952013,0
visible_lower_764mm,562.244994451,40.8706143274,39.5607589364,49.5000986836,174.455667233,0.352016458057,7.18396537405,-16.0235073816,0
visible_lower_764mm,526.112018387,39.6866736646,39.2691524641,49.4996165862,172.197505296,0.345869362599,2.23541897397,-25.437018257,0
visible_lower_764mm,404.841926546,44.4388223143,37.9525947494,49.6136597334,163.713537914,0.379805658838,40.1132581804,-4.52411394159,0
visible_lower_764mm,432.870722537,40.2830993823,38.3094554278,49.4991594414,165.782862018,0.351627010554,10.8812737565,-28.8854517465,0
visible_lower_764mm,413.231034395,57.3220147737,38.0630819271,49.8555419053,164.338594641,0.501920857479,176.569489047,116.606025859,1
visible_lower_764mm,633.857375874,40.333305234,40.0323053706,49.4998736828,178.518395174,0.347065222336,1.61030415469,-15.0716434093,0
visible_lower_764mm,636.122427329,40.1433670116,40.0451890422,49.5000549925,178.637799621,0.345835357021,0.522558943608,-16.129159632,0
visible_lower_764mm,589.297686063,40.2921876265,39.7543374376,49.4997954542,176.055736845,0.347460845017,2.89449154907,-18.2548205453,0
visible_lower_764mm,708.994828677,40.1814453578,40.4038992281,49.6182064423,189.890417145,0.34221662521,-1.12769047643,-0.923427981221,0
visible_lower_764mm,583.735440297,43.76459525,39.7161570087,49.4990122954,175.733200934,0.367296884342,23.8469146793,1.11868334875,0
visible_lower_764mm,680.406678576,42.3127774886,40.2753578932,49.5008382201,184.30911537,0.354629947221,11.1705224563,2.60641949453,0
visible_lower_764mm,378.374757088,37.577505753,37.5824137468,49.4999609838,161.713921008,0.337438787891,-0.0254608462541,-48.8133061041,0
visible_lower_764mm,461.18079369,38.8620781503,38.6358141168,49.5007145979,167.812625875,0.342701748039,1.19872657351,-34.9255001994,0
visible_lower_764mm,423.254763224,40.6181941253,38.1909423972,49.5621559251,165.079194335,0.361756564994,13.53233858,-20.2407975254,0
visible_lower_764mm,408.625185444,47.7391585788,38.0028188561,49.6902249768,163.996029635,0.4052349375,66.0249658343,20.7120638153,1
visible_lower_764mm,419.338893358,44.7063085209,38.1415239545,49.5000340863,164.79072425,0.378617193648,40.7148820383,-3.31022586835,0
visible_lower_764mm,614.578088453,39.9639658758,39.917910876,49.5000537216,177.479434321,0.345232183143,0.244842534579,-18.4167504061,0
visible_lower_764mm,674.008404692,40.3332120854,40.2445353144,49.5001320381,182.995131502,0.344620054869,0.465268559989,-9.76461039559,0
visible_lower_764mm,449.696024212,38.783681806,38.5073759744,49.689839512,166.997145811,0.349552173361,1.46903834367,-30.6885725511,0
visible_lower_764mm,516.197048024,40.2289998742,39.1819727762,49.5001489903,171.554328974,0.348813972787,5.69185252618,-23.4258410849,0
visible_lower_764mm,409.078033972,38.222763256,38.0087866719,49.5007754057,164.029707864,0.341004417513,1.12384906634,-42.0049445184,0
visible_lower_764mm,389.031257954,37.7536434233,37.7354868082,49.500942969,162.523647143,0.337605622739,0.0944899772023,-47.5229545348,0
visible_lower_764mm,543.774275398,46.0189784108,39.4166584955,49.5003324997,173.318348793,0.382138544282,41.5936644076,12.4486823603,0
visible_lower_764mm,575.8372552,43.6476553085,39.6605229985,49.5000358172,175.269447646,0.367271216064,23.4440846043,0.412271316096,0
visible_lower_764mm,523.35133146,39.3645494757,39.2452014843,49.5000670036,172.019390804,0.343910177761,0.634146468863,-27.6570889778,0
visible_lower_764mm,531.630204203,43.0170136343,39.3162919197,49.4998979792,172.551132066,0.364287139172,21.5580386283,-6.5099392957,0
visible_lower_764mm,391.904529227,48.3952501028,37.7758201218,49.4999862728,162.741117373,0.406424055892,73.2701938218,21.6078257326,1
visible_lower_764mm,450.576930355,38.5581561765,38.5174155696,49.5006839606,167.060061961,0.341220703003,0.214545845358,-37.482717653,0
visible_lower_764mm,455.689631478,38.8198523668,38.5750640956,49.4995911811,167.424142628,0.342744113609,1.29652155497,-35.4304821037,0
visible_lower_764mm,598.767880876,40.3486629122,39.8174917939,49.4996087461,176.59719632,0.347133113163,2.85832388446,-17.7946815665,0
visible_lower_764mm,425.781043357,38.273825409,38.2224665579,49.5009409871,165.264794283,0.340949107945,0.269496144338,-40.313050572,0
visible_lower_764mm,596.437074274,39.8185128612,39.8021614464,49.4991871348,176.464850674,0.344654841937,0.08685774616,-20.4621000426,0
visible_lower_764mm,495.45957466,39.0379105319,38.9889241328,49.6431070925,170.177521237,0.344753742655,0.260055888294,-30.552852899,0
visible_lower_764mm,513.765373264,39.1609188716,39.1600956578,49.5000642834,171.395078585,0.343559807685,0.00435851191424,-28.9093429117,0
visible_lower_764mm,554.253107843,39.6263956793,39.4996451268,49.4997051106,173.967992694,0.344971073283,0.674569918341,-23.7729470363,0
