estimator,x_mm,sigma_fit_ps,sigma_fit_err_ps,bootstrap_err_ps,mu_fit_ns,chi2_ndf,n_events,flag
TOP_THR3,-100,148.14275816277146,1.93420395152559,3.1834432932750505,0.8096814942235024,6.75865654590109,5000,ok
TOP_THR3,-50,143.21998442273085,1.8954128344647603,2.877463586839299,0.7852228452957405,3.6224253420685617,5000,ok
TOP_THR3,0,180.34071512351275,2.842046721486441,3.240145362147339,0.8431735428244319,5.496869667273171,5000,ok
TOP_THR3,50,155.04390584614018,2.371260492523064,3.019893531408003,0.7860094549320362,4.118005229020583,5000,ok
TOP_THR3,100,161.03167010752114,2.3325769865413513,3.1731312069481374,0.8169661925093002,6.613685774040293,5000,ok
TOP_THR3,150,137.17446443001577,1.705206718113292,2.710036093523862,0.7848775241178807,5.098914683805637,5000,ok
TOP_THR3,200,153.69636151782444,2.2286678563368385,2.8137821083203307,0.8086670208073004,4.563022461665206,5000,ok
TOP_THR3,250,141.39009628335376,1.8451472968779443,2.8334523383453902,0.786352796668716,6.391088255895976,5000,ok
TOP_THR3,300,156.80179117386987,2.1865207665957427,2.606765086359585,0.8116644512043657,3.3946567632747158,5000,ok
TOP_THR3,350,150.93141660986598,2.166142704543128,2.7922796424495053,0.7848774711238998,3.463532144051079,5000,ok
TOP_THR3,400,157.0009012461148,2.238459318561925,2.9889689182237147,0.8109022152123064,5.933598733852389,5000,ok
TOP_THR3,450,145.1349548631008,1.8796678302005487,2.5821183942769266,0.7873595320314086,5.750493469768709,5000,ok
TOP_THR3,500,145.4592891781907,1.8152237837206902,2.725999156416059,0.8131523426999286,6.7922835897510945,5000,ok
TOP_THR3,550,156.35764947362037,2.1727459860697156,2.6971356165580542,0.791271025728647,4.310654996412441,5000,ok
TOP_THR3,600,138.8410610785736,1.7876786339780653,2.7939046839146338,0.7997650389823877,6.917600095194678,5000,ok
TOP_THR3,650,140.70621759792613,1.8508848286126478,2.6726357876269553,0.784479896690828,5.052002244707488,5000,ok
TOP_THR3,670,146.0725478581764,1.9988761302984492,2.539871693394217,0.7870299598742433,5.096416685033129,5000,ok
TOP_THR3,690,133.0099844336787,1.6811738771264766,2.7756705147235463,0.7780486162076845,5.665458427715607,5000,ok
TOP_THR5,-690,174.24873473977937,2.3390870591935427,3.153935920139197,0.9610594142981529,4.43835996785589,5000,ok
TOP_THR5,-670,190.69548771195699,3.063785062029742,3.7492717007612355,0.9567343808551751,3.79991267841177,5000,ok
TOP_THR5,-650,176.04920399158726,2.338066259435154,3.4765711591407973,0.9609936557448451,3.7687213362733067,5000,ok
TOP_THR5,-600,183.13382283983248,2.4513880233408,3.886170643736231,0.9960540208915992,4.762320472954895,5000,ok
TOP_THR5,-550,178.96898184561584,2.4109275593604265,3.0832494363485994,0.9637866509642502,4.767950181543428,5000,ok
TOP_THR5,-500,188.94734986489337,2.54888021728622,3.6670796274741693,0.999280388071671,4.630342280533059,5000,ok
TOP_THR5,-450,177.79387779029315,2.3294528112071946,3.4502678160971594,0.9688076383660399,6.524834968192952,5000,ok
TOP_THR5,-400,181.036326301207,2.3639108690812485,3.919215862909028,1.000214004041883,6.938439433354829,5000,ok
TOP_THR5,-350,176.81054369169829,2.5164392279819756,3.1304702591959814,0.9601551557002551,2.9774112633632317,5000,ok
TOP_THR5,-300,170.39018545107305,2.0301148793259727,3.513365932448797,0.9991216534361618,8.27183327646272,5000,ok
TOP_THR5,-250,169.14559551111054,2.3839247069350615,3.6095901334088065,0.9579638683803369,5.742153469301483,5000,ok
TOP_THR5,-200,185.7237559985882,2.681607878013206,3.7193258619226435,0.9962252132143579,5.162456760929865,5000,ok
TOP_THR5,-150,184.56666381204917,2.8305788906018843,3.3104027153195728,0.9614405476236134,2.436100053126992,5000,ok
TOP_THR5,-100,191.46554790390775,2.5919393246351534,3.6279758905696435,1.003906056016567,5.242097494889209,5000,ok
TOP_THR5,-50,174.16202307747835,2.3082371651668154,3.501555487731185,0.9635405831703885,3.4569592920184578,5000,ok
TOP_THR5,0,208.7338303154181,2.9902421798705254,4.1819857611085345,1.0521480926174618,5.998579159319451,5000,ok
TOP_THR5,50,172.42633053774264,2.410869742180438,3.4113288126928776,0.9589934635135161,3.1096063519644805,5000,ok
TOP_THR5,100,178.80712299355775,2.4062937162288995,3.262958517209797,0.9915243648586828,5.727232931680372,5000,ok
TOP_THR5,150,169.59865630285924,2.403975652224555,3.3923313062292313,0.9581990927047528,3.605947355575573,5000,ok
TOP_THR5,200,172.75918675502373,2.288438760642275,3.17416314718719,0.9891736573388322,4.062053072233406,5000,ok
TOP_THR5,250,206.4117753283971,3.9781954090979816,4.462293173675626,0.9529174631196433,2.2984970160020066,5000,ok
TOP_THR5,300,174.64699532380268,2.4395624457750205,3.3295549308482144,0.9879952236396816,3.9007513561715377,5000,ok
TOP_THR5,350,189.05090776483013,3.0034504042238677,3.6507119905573866,0.9617093206208134,4.152676297811676,5000,ok
TOP_THR5,400,178.21406780531996,2.335749413571592,3.6577618862918144,0.9841288728838604,3.684697122508795,5000,ok
TOP_THR5,450,177.7556065155767,2.494367013973972,3.346034455256516,0.9634876471493424,5.957482225561915,5000,ok
TOP_THR5,500,185.55797646464654,2.474095320530667,3.737595668849135,1.0054892620298483,5.924638368783622,5000,ok
TOP_THR5,550,186.85629693538,2.7153816168067197,3.165809705007759,0.9624883532257329,2.330945527574784,5000,ok
TOP_THR5,600,167.01828637662348,1.974113976809272,3.909792950664276,0.989271791155848,8.396794254693502,5000,ok
TOP_THR5,650,174.3989360407276,2.33720286247284,3.5899733592127503,0.9649847661892418,6.052920523615981,5000,ok
TOP_THR5,670,174.9890033206974,2.4455702097043592,3.317500016201397,0.961602149342209,3.022220787856035,5000,ok
TOP_THR5,690,169.1322843802449,2.109238899624319,3.332246790516048,0.9599280851292404,6.416502339906515,5000,ok
END_L_SUM4,-690,30.028167972365583,0.8936476358402979,7.02736675480331,0.2996116610780749,21.083407692751493,5000,ok
END_L_SUM4,-670,61.62455773558869,1.0677479519007014,1.3735996431519737,0.45693757803658425,3.0948700118419756,5000,ok
END_L_SUM4,-650,95.93362449182472,2.0465905220415705,2.3469155069310483,0.6170499455070296,2.4663964584832216,5000,ok
END_L_SUM4,-600,217.63729965314755,4.1254496568347845,5.422092139632858,1.067353803185026,12.682669280272009,5000,ok
END_L_SUM4,-550,316.2406307256139,5.571969093872642,8.294924922740503,1.5377845801924386,45.00001372628484,4974,ok
END_L_SUM4,-500,346.79124933490215,5.775777885137195,16.671414220915707,2.041449912529769,82.1512178616571,4732,ok
END_L_SUM4,-450,620.4428056947165,13.260607995192796,23.741515755494667,2.5012738596410022,44.31538462275618,4203,ok|sigma_outlier
END_L_SUM4,-400,770.8971464832604,20.455881902554484,31.432866068296374,2.915674260613552,36.33697791175891,3588,ok|sigma_outlier
END_L_SUM4,-350,874.1209511393055,27.18359910646395,41.33898423390451,3.2664923190782753,21.989803223576118,3009,ok|sigma_outlier
END_L_SUM4,-300,671.5442730910501,15.015785555774263,54.973101066716445,3.765041273391604,54.119816500326806,2448,ok|sigma_outlier
END_L_SUM4,-250,896.2365023310326,30.548334655531693,50.89161808373744,3.9932206496076748,23.933783747792294,2023,ok|sigma_outlier
END_L_SUM4,-200,1004.544059300114,36.96053130946464,60.31135855277899,4.329265159894597,20.376506185974897,1728,ok|sigma_outlier
END_L_SUM4,-150,986.2967615217125,35.56200958709482,68.46606753659398,4.665672652944794,16.758055563212416,1420,ok|sigma_outlier
END_L_SUM4,-100,933.4861444304023,38.497160932851045,70.47628937306285,4.823697832588294,12.856580792335981,1220,ok|sigma_outlier
END_L_SUM4,-50,1057.2579108030072,51.557689757104285,88.87921560910436,5.100187491103662,9.660744403711972,1028,ok|sigma_outlier
END_L_SUM4,0,909.4073883424493,43.45492682735092,96.43532002369231,5.325228218101871,8.698624548314134,861,ok|sigma_outlier
END_L_SUM4,50,998.6674502547796,54.23446195215648,124.17610973179602,5.636049432778167,11.983661431508002,771,ok|sigma_outlier
END_L_SUM4,100,977.2097142939938,51.85797052706415,108.15471888391218,6.026689158044983,8.344111844201846,626,ok|sigma_outlier
END_L_SUM4,150,1046.8256890680166,62.35733421168166,102.54554895773623,6.274040422613187,3.9609857964399167,531,ok|sigma_outlier
END_L_SUM4,200,1224.72660225399,100.8506018355223,236.7718909153809,6.5844833970557675,6.599433740745502,510,ok|sigma_outlier
