event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,V2_encounters,V2_escaped,V5_incident,V5_matched,V5_expected_PDE_sum,SD_detected,SD_orphan,npe_left,npe_right
3340,23583.0,2.279244468011559,0.035471097802361296,2.243773370209198,23253,5959,10468.0,6347.0,6421.046262675637,6441.0,94.0,748,326
3341,17533.0,1.6894201612342488,0.02681174361848205,1.6626084176157667,17289,4481,7895.0,4886.0,4828.231058493068,4949.0,63.0,536,254
3342,19731.0,1.9077542031492616,0.029947031898142615,1.877807171251119,19459,5045,8879.0,5423.0,5445.9001147845875,5502.0,79.0,618,275
3343,17456.0,1.6799524155768137,0.026571180027647474,1.6533812355491662,17184,4293,7966.0,4915.0,4877.886617701125,4989.0,74.0,553,250
3344,17504.0,1.6841581017268976,0.026628563987418922,1.6575295377394788,17261,4417,8027.0,4885.0,4910.687171517623,4958.0,73.0,542,271
3345,22369.0,2.13550512051773,0.03422558440465147,2.1012795361130783,22059,5504,9993.0,6140.0,6137.440446965514,6223.0,83.0,697,268
3346,15841.0,1.5306321309601103,0.02380367859716192,1.5068284523629485,15617,4030,7201.0,4342.0,4404.649825681951,4418.0,76.0,481,214
3347,17384.0,1.6709924026752379,0.026743361932664283,1.6442490407425736,17103,4372,7828.0,4792.0,4790.1203754885455,4883.0,91.0,512,253
3348,32704.0,3.133539103689894,0.04903660983514979,3.0845024938547443,32216,8334,14620.0,8916.0,8975.786688171343,9060.0,144.0,983,429
3349,14948.0,1.43498772105326,0.02312504162214386,1.4118626794311162,14710,3744,6884.0,4236.0,4206.183799054432,4304.0,68.0,466,210
3350,17019.0,1.6256225695189133,0.025862816212927478,1.5997597533059857,16760,4331,7750.0,4677.0,4738.079936159178,4757.0,80.0,509,223
3351,22452.0,2.157082887492044,0.0340328667792192,2.1230500207128244,22153,5663,10030.0,6142.0,6157.7068457730375,6236.0,94.0,687,309
3352,16171.0,1.5552602801672686,0.024773123453562983,1.5304871567137055,15938,4102,7380.0,4566.0,4510.72733384064,4628.0,62.0,538,231
3353,17164.0,1.6514352208826504,0.026196008022822678,1.6252392128598276,16921,4266,7788.0,4761.0,4770.991997156423,4832.0,71.0,520,239
3354,21255.0,2.0295946483669725,0.03229119150048758,1.997303456866485,20919,5308,9643.0,5899.0,5910.201540390225,5997.0,98.0,678,297
3355,27868.0,2.6958383560007433,0.0421417037239163,2.653696652276827,27493,7186,12485.0,7716.0,7664.795603055478,7828.0,112.0,852,392
3356,18794.0,1.8044292832331277,0.02885509929511935,1.7755741839380084,18529,4717,8635.0,5330.0,5288.130653057328,5404.0,74.0,581,290
3357,29035.0,2.7836854916311906,0.04354418036603921,2.7401413112651514,28605,7406,12969.0,7970.0,7957.141969928988,8095.0,125.0,901,391
3358,16235.0,1.5666290929463098,0.024572575068877316,1.5420565178774326,16004,4107,7386.0,4431.0,4517.2487112794,4511.0,80.0,477,221
3359,16198.0,1.5796051926740946,0.02467243476793439,1.5549327579061603,15977,4105,7427.0,4501.0,4543.594417616317,4579.0,78.0,491,197
3360,16604.0,1.5895785003230165,0.025343391888985507,1.564235108434031,16381,4247,7427.0,4512.0,4543.740310778668,4584.0,72.0,491,248
3361,16866.0,1.60089347970536,0.0260166789591342,1.5748768007462257,16645,4226,7627.0,4648.0,4668.187594197504,4715.0,67.0,542,248
