sample,material,material_code,source_type,source,nominal_d_mm,mean_d_direct_mm,mean_tprop_ns,se_tprop_ns,mirror_low_ns,mirror_high_ns,mirror_delta_ns,mirror_pull,n_total,var_tprop_ns2
all_photons,EJ-230,2,2,Cherenkov,1350,1349.61433251,10.122263367,0.00773049885117,10.1149166969,10.1296100371,0.0146933401674,0.950348771164,52663,2.97425153142
first_by_source,EJ-200,0,1,scintillation,50,51.7070028664,0.287793684644,0.000172057271178,0.287628674351,0.287958694938,-0.000330020587146,-0.959042837558,20000,0.000592014883893
first_by_source,EJ-200,0,1,scintillation,200,200.245610643,1.09692940165,0.000282319827329,1.09675631589,1.09710248741,-0.000346171517848,-0.613083964247,20000,0.00159393028909
first_by_source,EJ-200,0,1,scintillation,500,499.799240815,2.69955340715,0.00042120592187,2.6995032379,2.69960357641,-0.000100338501883,-0.119108607777,20000,0.00354793374352
first_by_source,EJ-200,0,1,scintillation,700,699.656308729,3.76456897655,0.000544723878739,3.76450871107,3.76462924204,-0.000120530974454,-0.110634928226,20000,0.00593388863317
first_by_source,EJ-200,0,1,scintillation,900,899.641801908,4.83028823396,0.000584633449859,4.83011079046,4.83046567745,-0.000354886981961,-0.303512382029,20000,0.00683524182133
first_by_source,EJ-200,0,1,scintillation,1200,1199.58043976,6.42783994112,0.000725381528272,6.42743352287,6.42824635937,-0.000812836501096,-0.56028205118,20000,0.0105225148744
first_by_source,EJ-200,0,1,scintillation,1350,1349.60383489,7.22699220775,0.000753983163572,7.2258842937,7.2281001218,0.00221582810419,1.46941484323,20000,0.0113686752378
first_by_source,EJ-200,0,2,Cherenkov,50,49.9014025191,0.332668396641,0.00015756331783,0.332358897736,0.332977895547,-0.000618997811119,-1.96428273929,20000,0.000496474330114
first_by_source,EJ-200,0,2,Cherenkov,200,199.897394508,1.33780190958,0.000564018705676,1.33716870416,1.338435115,-0.00126641084278,-1.12266741336,20000,0.00636170577285
first_by_source,EJ-200,0,2,Cherenkov,500,499.767419951,3.35424512479,0.00133846728942,3.35354153266,3.35494871691,-0.00140718424239,-0.525670015814,20000,0.0358263107075
