material,source_type,nominal_d_mm,angle_low_deg,angle_high_deg,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-200,2,1200,90,120,0,Cherenkov,1935,17.2940523494,49.5448154144
EJ-200,2,1200,120,180.0000001,0,Cherenkov,13052,9.88940806154,10.4179202481
EJ-200,2,1350,0,15,0,Cherenkov,861,7.22464502962,0.0102507502957
EJ-200,2,1350,15,30,0,Cherenkov,1667,7.75937119489,0.25264277204
EJ-200,2,1350,30,39.2652479139,0,Cherenkov,1287,8.80356101561,1.07962579748
EJ-200,2,1350,39.2652479139,45,0,Cherenkov,101396,9.85793212166,5.57572323979
EJ-200,2,1350,45,60,0,Cherenkov,34745,11.6668484347,5.14651871894
EJ-200,2,1350,60,90,0,Cherenkov,7396,19.9862452028,62.9974565916
EJ-200,2,1350,90,120,0,Cherenkov,1283,20.1860990163,67.2317564867
EJ-200,2,1350,120,180.0000001,0,Cherenkov,11088,10.7383081197,9.27151783433
EJ-204,1,50,0,15,1,scintillation,2042165,0.287302717269,0.27980379516
EJ-204,1,50,15,30,1,scintillation,6059399,0.296413302966,0.146502832055
EJ-204,1,50,30,39.2652479139,1,scintillation,5259150,0.334829121116,0.27473765401
EJ-204,1,50,39.2652479139,45,1,scintillation,4098789,0.417535546702,1.25617977986
EJ-204,1,50,45,60,1,scintillation,11432954,0.455837124165,0.592634157583
EJ-204,1,50,60,90,1,scintillation,13333232,1.00394009773,0.503812756684
EJ-204,1,50,90,120,1,scintillation,2547554,0.962937883925,0.254478181246
EJ-204,1,50,120,180.0000001,1,scintillation,1830222,0.449375575844,0.736657302744
EJ-204,1,200,0,15,1,scintillation,1720005,1.08878593568,0.311078208144
EJ-204,1,200,15,30,1,scintillation,4719868,1.15525999525,0.190906958885
EJ-204,1,200,30,39.2652479139,1,scintillation,4107552,1.29748078273,0.362138701958
EJ-204,1,200,39.2652479139,45,1,scintillation,2840636,1.50666266292,1.76047603225
EJ-204,1,200,45,60,1,scintillation,6584721,1.73841279153,0.891602298674
EJ-204,1,200,60,90,1,scintillation,3566577,2.8618965698,2.10423882551
EJ-204,1,200,90,120,1,scintillation,674809,2.99976471484,1.69593511278
EJ-204,1,200,120,180.0000001,1,scintillation,1101196,1.67896736054,1.15941759012
EJ-204,1,500,0,15,1,scintillation,1208605,2.69607288322,0.368660735324
EJ-204,1,500,15,30,1,scintillation,2963754,2.87464064712,0.29852699114
EJ-204,1,500,30,39.2652479139,1,scintillation,2311669,3.22509655826,0.599922978685
EJ-204,1,500,39.2652479139,45,1,scintillation,1454337,3.71905687427,2.92927820221
EJ-204,1,500,45,60,1,scintillation,2646123,4.26707727592,2.15717556899
EJ-204,1,500,60,90,1,scintillation,665644,5.68236903371,9.05946300324
EJ-204,1,500,90,120,1,scintillation,113687,6.23646988877,7.0223332833
EJ-204,1,500,120,180.0000001,1,scintillation,476716,4.08200599857,2.60576528399
EJ-204,1,700,0,15,1,scintillation,963934,3.76679445076,0.382805456852
EJ-204,1,700,15,30,1,scintillation,2179422,4.01987858986,0.365260604257
EJ-204,1,700,30,39.2652479139,1,scintillation,1563422,4.51261077507,0.798754697052
EJ-204,1,700,39.2652479139,45,1,scintillation,938016,5.22180755213,3.66085301748
EJ-204,1,700,45,60,1,scintillation,1480412,5.94674815639,3.4344480693
EJ-204,1,700,60,90,1,scintillation,293695,7.11981005471,18.9087205393
EJ-204,1,700,90,120,1,scintillation,46919,8.22557698293,13.79375204
EJ-204,1,700,120,180.0000001,1,scintillation,285879,5.68737803449,3.96910811295
EJ-204,1,900,0,15,1,scintillation,774630,4.83566862143,0.358688227218
