material_code,material,gun_x_mm,face_type,face,source_type,source,nominal_d_mm,n_events,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
1,EJ-204,-650,0,left,1,scintillation,50,10000,51.6147802358,2.23863301575,0.284764025878,0.000212640723854,0.000452115558334,54.0316799291,1.04684132485,181.857024278
1,EJ-204,-650,0,left,2,Cherenkov,50,10000,49.9254479252,0.955876996274,0.332799646999,0.000218294995686,0.000476479398712,63.1460912629,1.26527410909,150.810171544
1,EJ-204,-650,1,right,1,scintillation,1350,10000,1349.49147572,10.2456192245,7.23177342452,0.00122946655907,0.0151143686108,1372.17160167,1.01681568074,186.647486643
1,EJ-204,-650,1,right,2,Cherenkov,1350,9775,1349.60074202,0.676582227319,9.35190959866,0.00771359038124,0.58154788399,1774.45061112,1.31478756304,145.129974453
1,EJ-204,-500,0,left,1,scintillation,200,10000,200.245189464,1.02155904625,1.09225294432,0.000361250677574,0.00130489001842,207.246325908,1.03497399119,183.522377079
1,EJ-204,-500,0,left,2,Cherenkov,200,10000,199.90474032,1.19335547672,1.33897066909,0.000785122113142,0.00616355090871,254.059055744,1.27086606959,149.907515273
1,EJ-204,-500,1,right,1,scintillation,1200,10000,1199.61377322,0.932300498412,6.43165050774,0.00103123830883,0.0106334610435,1220.35462956,1.01728945787,186.564004431
1,EJ-204,-500,1,right,2,Cherenkov,1200,9855,1199.58920754,2.42588251027,8.35784533856,0.00927704647798,0.848070629208,1585.83461849,1.32196264183,144.7856458
1,EJ-204,-200,0,left,1,scintillation,500,10000,499.791446641,0.942888054545,2.69385638588,0.000548183857951,0.00300475491563,511.137865457,1.02270239762,185.604346464
1,EJ-204,-200,0,left,2,Cherenkov,500,10000,499.777770548,0.700584704017,3.36123954931,0.00181185829203,0.0328250218735,637.767871576,1.27608141952,149.206694699
1,EJ-204,-200,1,right,1,scintillation,900,10000,899.644257334,1.08933973724,4.82952893422,0.000803297829021,0.0064522287337,916.36477859,1.01858544735,186.330024597
1,EJ-204,-200,1,right,2,Cherenkov,900,9990,899.657927521,0.769086057643,6.11568712659,0.00446799551878,0.199410246735,1160.4030861,1.28981359781,147.749878368
1,EJ-204,0,0,left,1,scintillation,700,10000,699.701262011,1.10622099769,3.76090214928,0.000677415869473,0.00458846370987,713.60132888,1.01986560206,186.104529396
1,EJ-204,0,0,left,2,Cherenkov,700,10000,699.703601502,0.668325558057,4.72275502921,0.00254164483666,0.0645931247987,896.105277683,1.28067533293,148.655964643
1,EJ-204,0,1,right,1,scintillation,700,10000,699.689135505,1.32337033939,3.76117268509,0.000684048184704,0.00467875126804,713.652660902,1.0199566899,186.088869462
1,EJ-204,0,1,right,2,Cherenkov,700,9999,699.686563938,0.989459952686,4.72230279522,0.00250133446424,0.0625542276719,896.019469872,1.28057901578,148.660633637
1,EJ-204,200,0,left,1,scintillation,900,10000,899.662205969,0.361089145201,4.82725475444,0.000784268328301,0.00615015303095,915.933271028,1.01808583087,186.419506008
1,EJ-204,200,0,left,2,Cherenkov,900,9987,899.646296552,0.905873771712,6.10756332971,0.00390875584913,0.152569825669,1158.86166013,1.2881142598,147.888331047
1,EJ-204,200,1,right,1,scintillation,500,10000,499.793526061,0.835514583038,2.69529690594,0.000559463403064,0.00312967999438,511.411192703,1.0232452132,185.509079347
1,EJ-204,200,1,right,2,Cherenkov,500,10000,499.760334856,0.924516657189,3.36149154008,0.00182345079357,0.0332464029928,637.816336295,1.27621360253,149.196065452
1,EJ-204,500,0,left,1,scintillation,1200,10000,1199.63059099,0.408301081279,6.43259642642,0.00101289815488,0.0102586007589,1220.53411012,1.01742499478,186.537666867
1,EJ-204,500,0,left,2,Cherenkov,1200,9874,1199.63092093,0.579664731111,8.34207870331,0.00827721790146,0.676422295186,1582.84321474,1.31943263263,144.944776931
1,EJ-204,500,1,right,1,scintillation,200,10000,200.225124851,1.58846906794,1.09187769055,0.000365745447435,0.00133756355346,207.175124484,1.0347241914,183.565276837
1,EJ-204,500,1,right,2,Cherenkov,200,10000,199.906517046,1.33616854157,1.33845021218,0.000794207622692,0.00630702671367,253.960303177,1.27035117416,149.979093487
1,EJ-204,650,0,left,1,scintillation,1350,10000,1349.52077754,9.04798076822,7.23144449729,0.00122857843316,0.0150925402593,1372.10919034,1.01673724681,186.662918814
1,EJ-204,650,0,left,2,Cherenkov,1350,9783,1349.61152188,0.587422334282,9.3650077513,0.00841203974308,0.692197920436,1776.93570573,1.31662016342,144.985016037
1,EJ-204,650,1,right,1,scintillation,50,10000,51.5873872038,2.3057208404,0.284387799094,0.000210971452429,0.000445045028448,53.9603274149,1.04601066133,181.971031737
1,EJ-204,650,1,right,2,Cherenkov,50,10000,49.90898448,1.20293157043,0.332706153396,0.000223611861274,0.00049997264276,63.1283515939,1.2652763125,150.80945138
2,EJ-230,-650,0,left,1,scintillation,50,10000,51.5183412599,2.24076786538,0.282037398344,0.000185843973853,0.000345345288192,53.5144816358,1.03888653974,183.083001492
2,EJ-230,-650,0,left,2,Cherenkov,50,10000,49.9226467677,0.96280410349,0.332927897134,0.000216942011083,0.000470591297893,63.1704257079,1.26581955918,150.73223186
2,EJ-230,-650,1,right,1,scintillation,1350,10000,1349.6028908,0.740836858399,7.23415115409,0.00114444258805,0.0130961786246,1372.62275698,1.01705671956,186.605519416
2,EJ-230,-650,1,right,2,Cherenkov,1350,9241,1349.59861328,0.927010235711,9.49150975576,0.0100882684372,0.94038399896,1800.93863279,1.33441521634,143.273654111
2,EJ-230,-500,0,left,1,scintillation,200,10000,200.235237778,1.27494806245,1.08805983248,0.000325549714187,0.00105972018146,206.450716221,1.0310563262,184.183731439
