cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns
EJ204_xm650,EJ-204,-650,left,1,scintillation,50.0,23354563,52.24765797974394,17.005548430472114,0.5949230805330948,0.00016225870419520177,0.5917804214060272,112.87419942720157,2.1682629579707418,122.39459805535424
EJ204_xm650,EJ-204,-650,right,1,scintillation,1350.0,1368124,1319.9642444482329,189.0360805784835,8.664502110656144,0.001940846523748685,5.067245834241007,1644.0345433894697,1.2600455277853229,157.8649030035281
EJ204_xm650,EJ-204,-650,left,2,Cherenkov,50.0,702620,52.57353579312641,2.5851870288686647,0.7252019103567928,0.0013088270938327155,1.1607665499343294,137.60007715773068,2.618808668925715,105.04534971291567
EJ204_xm650,EJ-204,-650,right,2,Cherenkov,1350.0,39179,1349.6230633412083,0.5245736266086234,10.254213491009164,0.010918375276359023,4.4181607569286285,1945.6556122318968,1.4416179033571785,134.80371006796813
EJ204_xm500,EJ-204,-500,left,1,scintillation,200.0,12650972,197.44570396427025,31.41333135602917,1.6773144054456024,0.000348023878055443,1.2795889374449976,318.2420674203716,1.6211332450732956,135.72561117860315
EJ204_xm500,EJ-204,-500,right,1,scintillation,1200.0,1648929,1174.2039163123106,166.70576699358367,7.841880921897347,0.0017589468467072921,5.026459321643898,1487.9476080534218,1.2845891172279928,156.55216554499614
EJ204_xm500,EJ-204,-500,left,2,Cherenkov,200.0,385874,200.30538050866193,0.9912732355575287,2.0831257999383537,0.0028513510857057296,2.9139082284803477,395.2548959963556,1.9730452602053195,115.54839379906876
EJ204_xm500,EJ-204,-500,right,2,Cherenkov,1200.0,42988,1199.5021377841222,4.885597150483805,9.599253354841554,0.012086571103495125,5.62726289050498,1821.381576855245,1.5184049340708043,129.91696786150635
EJ204_xm200,EJ-204,-200,left,1,scintillation,500.0,5922156,490.91015603050454,69.3042042592001,3.5785360434266567,0.0006360533032582148,2.4134507835312338,678.9959919906023,1.395015875871947,148.00168048673177
EJ204_xm200,EJ-204,-200,right,1,scintillation,900.0,2662631,881.5595196942465,124.80962765240601,6.023201700123583,0.001212857170268023,4.096986824611463,1142.8638712259735,1.3109679887541934,154.77843642606337
