material,source_type,nominal_d_mm,boundary_category,material_code,source,n_photons,mean_tprop_ns,var_tprop_ns2
EJ-230,1,500,3-5,2,scintillation,425881,2.68183152469,0.114377192219
EJ-230,1,500,6-10,2,scintillation,972561,2.84478715817,0.118511569383
EJ-230,1,500,>10,2,scintillation,7746363,3.7195897006,1.7336471162
EJ-230,1,700,0,2,scintillation,97971,0.234730277533,0.781675311177
EJ-230,1,700,1-2,2,scintillation,60407,3.43171096,0.852451607745
EJ-230,1,700,3-5,2,scintillation,185826,3.67143496021,0.29562543474
EJ-230,1,700,6-10,2,scintillation,447377,3.84005195646,0.201432583479
EJ-230,1,700,>10,2,scintillation,5126200,4.92309488184,2.24779777243
EJ-230,1,900,0,2,scintillation,63334,0.243858018672,1.05721117756
EJ-230,1,900,1-2,2,scintillation,30620,4.32629410263,1.70894147899
EJ-230,1,900,3-5,2,scintillation,92062,4.64775130573,0.641961606595
EJ-230,1,900,6-10,2,scintillation,229086,4.83751800862,0.354206253781
EJ-230,1,900,>10,2,scintillation,3435265,6.1248502139,2.81064713842
EJ-230,1,1200,0,2,scintillation,35632,0.249296350518,1.45697805514
EJ-230,1,1200,1-2,2,scintillation,13272,5.61576187369,3.74519512018
EJ-230,1,1200,3-5,2,scintillation,39235,6.08638022812,1.51334636126
EJ-230,1,1200,6-10,2,scintillation,98746,6.3219418739,0.753935719711
EJ-230,1,1200,>10,2,scintillation,2032313,7.94418797976,3.32408505742
EJ-230,1,1350,0,2,scintillation,28419,0.235675326758,1.55378354
EJ-230,1,1350,1-2,2,scintillation,9540,6.16655986904,5.44636217372
EJ-230,1,1350,3-5,2,scintillation,27347,6.77912043297,2.14064240253
EJ-230,1,1350,6-10,2,scintillation,68326,7.05387296744,0.990394902463
EJ-230,1,1350,>10,2,scintillation,1642943,8.78345335204,3.13112153803
EJ-230,2,50,0,2,Cherenkov,3169,0.265411154038,0.00092752933443
EJ-230,2,50,1-2,2,Cherenkov,11725,0.309162061614,0.00332569247643
EJ-230,2,50,3-5,2,Cherenkov,480344,0.356583289412,0.000397324691298
EJ-230,2,50,6-10,2,Cherenkov,495357,0.503242375874,0.00823729452358
EJ-230,2,50,>10,2,Cherenkov,374975,1.37603939066,1.77111919143
EJ-230,2,200,0,2,Cherenkov,191,1.04931509507,0.000702341579504
EJ-230,2,200,1-2,2,Cherenkov,1477,1.09054778117,0.00297041089212
EJ-230,2,200,3-5,2,Cherenkov,3297,1.18625336414,0.0190836046812
EJ-230,2,200,6-10,2,Cherenkov,5541,1.25003808113,0.0244434459581
EJ-230,2,200,>10,2,Cherenkov,700448,2.00426722851,1.91790566067
EJ-230,2,500,0,2,Cherenkov,23,2.62870341207,2.63006214061e-05
EJ-230,2,500,1-2,2,Cherenkov,219,2.64621741925,0.000772840081931
EJ-230,2,500,3-5,2,Cherenkov,606,2.71986844122,0.00989883677077
EJ-230,2,500,6-10,2,Cherenkov,1105,2.89110166205,0.0727185314529
EJ-230,2,500,>10,2,Cherenkov,282850,4.2133663896,3.01037916903
EJ-230,2,700,0,2,Cherenkov,15,3.6801310278,0.000121631636594
EJ-230,2,700,1-2,2,Cherenkov,89,3.69477629579,0.000323568179898
EJ-230,2,700,3-5,2,Cherenkov,267,3.7480078996,0.00575749549622
EJ-230,2,700,6-10,2,Cherenkov,615,3.8893075882,0.128971846799
EJ-230,2,700,>10,2,Cherenkov,166282,5.70685224228,3.83488972009
EJ-230,2,900,0,2,Cherenkov,5,4.73328348954,5.10235288012e-05
EJ-230,2,900,1-2,2,Cherenkov,48,4.74220037185,9.96593585505e-05
EJ-230,2,900,3-5,2,Cherenkov,137,4.80196332571,0.202435458547
EJ-230,2,900,6-10,2,Cherenkov,347,4.87792216405,0.0252131007974
EJ-230,2,900,>10,2,Cherenkov,105777,7.18853104466,4.22320587523
EJ-230,2,1200,0,2,Cherenkov,3,6.32149796022,1.58111390647e-06
EJ-230,2,1200,1-2,2,Cherenkov,19,6.32359213516,4.00667312448e-05
EJ-230,2,1200,3-5,2,Cherenkov,61,6.3597437132,0.00240395176035
EJ-230,2,1200,6-10,2,Cherenkov,145,6.50325893842,0.141324970202
EJ-230,2,1200,>10,2,Cherenkov,59132,9.40743041523,3.85877169498
EJ-230,2,1350,0,2,Cherenkov,1,7.10900746767,0
EJ-230,2,1350,1-2,2,Cherenkov,15,7.11753190741,8.67663785584e-05
EJ-230,2,1350,3-5,2,Cherenkov,37,7.13792383703,0.00102026808241
EJ-230,2,1350,6-10,2,Cherenkov,111,7.20064715148,0.0147955151329
EJ-230,2,1350,>10,2,Cherenkov,52499,10.1314781445,2.95640288272
