cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,angle_low_deg,angle_high_deg,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,0.0,15.0,387513,4.835554197656934,0.0009571448889835976,0.3600376449204852
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,15.0,30.0,807513,5.16317985779371,0.0007303507790687205,0.43300281521296924
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,30.0,39.2652479139,536211,5.808511410541123,0.001364333608162073,1.0104635403142268
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,39.2652479139,45.0,325672,6.774834231471328,0.0036315499612857554,4.2122657457463575
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,45.0,60.0,436150,7.659212374612965,0.0033881214976442045,5.05793769376745
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,60.0,90.0,73772,8.167882346823898,0.021198730905378646,33.32563535366249
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,90.0,120.0,10959,9.99164407197061,0.04772591600780206,24.340024119812412
EJ204_xp200,EJ-204,200,left,1,scintillation,900.0,2664893,881.7011173609693,124.45674064268644,6.022453185775614,0.0012307459699725431,4.103676361545531,1142.7217590089238,1.313178049785094,154.81680499149354,120.0,180.0000001,87103,7.260736374711188,0.007615812018501888,5.011825210337996
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,0.0,15.0,603390,2.6964153468923144,0.0007837434155045984,0.3703679317770989
EJ204_xp200,EJ-204,200,right,1,scintillation,500.0,5918379,490.8570097099318,69.35733768205459,3.5783942250588883,0.0006433207719639164,2.418803656968361,678.9692525140058,1.395242399657919,147.99950062779504,15.0,30.0,1481718,2.874306397222841,0.0004466536161911384,0.29757838551544324
