cell_id,material,x_mm,face,source_type,source,nominal_d_mm,n_photons,mean_d_direct_mm,sd_d_direct_mm,mean_tprop_ns,se_tprop_cluster_ns,var_tprop_ns2,mean_path_length_mm,mean_rho_detour,mean_v_apparent_mm_per_ns,boundary_category,stratum_n,stratum_mean_tprop_ns,stratum_se_cluster_ns,stratum_var_tprop_ns2
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292,0,1610,0.26859286873082794,0.0007143479728886958,0.0002640420853714104
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292,1-2,6109,0.3092858225496737,0.0011312931088746862,0.0032305726628815284
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292,3-5,248395,0.3566062607492675,4.760052889154922e-05,0.0004030580319097643
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292,6-10,261001,0.5047226819192713,0.00018831445817065693,0.009051252787164399
EJ200_xm650,EJ-200,-650,left,2,Cherenkov,50.0,739134,52.57266889518696,2.5885513778196056,0.8742594676325333,0.002354043271893036,3.9075126785582612,165.88257146923976,3.15667581034301,102.9527314929292,>10,222019,1.9077677986932033,0.007281571464249248,11.457588031582143
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156,0,2,7.112416164402328,0.0001254251021401482,3.145976279483875e-08
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156,1-2,6,7.1107511071918585,0.0027633637651679633,4.581249409341126e-05
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156,3-5,39,7.137441239651025,0.0051485139809729465,0.0011596325631799687
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156,6-10,97,7.228905370233951,0.013728839451166694,0.017929904020469678
EJ200_xm650,EJ-200,-650,right,2,Cherenkov,1350.0,79940,1349.6285637701776,0.5637869314822008,10.817881053095212,0.013715738088124133,14.3776737994678,2052.6068150193396,1.5208547368008407,131.34926837414156,>10,79796,10.824414231492806,0.013682234149919224,14.379899028392785
EJ200_xm500,EJ-200,-500,left,1,scintillation,200.0,13350698,197.83469879324682,31.21004852114962,1.8142466607394656,0.0004963122724916336,3.2187388865180764,344.22022708614475,1.7518479899355237,133.3557637305582,0,258003,0.26116013861500953,0.0008772578506466017,0.20242681075509272
