material_code,material,source_type,source,face_type,face,d_low_mm,d_high_mm,d_center_mm,n_photons,mean_tprop_ns,var_tprop_ns2,iid_se_tprop_ns
0,EJ-200,1,scintillation,0,left,1210,1220,1215,2157,8.22892954592,4.65768753911,0.0464686550408
0,EJ-200,1,scintillation,0,left,1220,1230,1225,803,8.42545178911,6.46951092275,0.0897589890651
0,EJ-200,1,scintillation,0,left,1230,1240,1235,1356,8.33814078855,4.7217778071,0.0590096350259
0,EJ-200,1,scintillation,0,left,1240,1250,1245,921,8.46067950971,5.07288443332,0.0742160214705
0,EJ-200,1,scintillation,0,left,1250,1260,1255,1122,8.38868782649,4.71321962941,0.0648130427267
0,EJ-200,1,scintillation,0,left,1260,1270,1265,672,8.55963892704,5.52270717635,0.0906549185126
0,EJ-200,1,scintillation,0,left,1270,1280,1275,1120,8.60723244825,4.41316214966,0.0627719949333
0,EJ-200,1,scintillation,0,left,1280,1290,1285,656,8.74781999788,4.94940234527,0.0868609270517
0,EJ-200,1,scintillation,0,left,1290,1300,1295,1009,8.77696525198,4.57532174937,0.0673387789393
0,EJ-200,1,scintillation,0,left,1300,1310,1305,661,8.74230976737,5.0091379426,0.0870524034241
0,EJ-200,1,scintillation,0,left,1310,1320,1315,1098,8.78254356095,5.11956393929,0.0682834279933
0,EJ-200,1,scintillation,0,left,1320,1330,1325,724,8.95997729273,7.15842094445,0.099435012679
0,EJ-200,1,scintillation,0,left,1330,1340,1335,1423,8.95735097288,5.95495200057,0.0646899302053
0,EJ-200,1,scintillation,0,left,1340,1350,1345,2180746,9.16132738966,7.26999205007,0.00182584718259
0,EJ-200,1,scintillation,0,left,1350,1360,1355,126910,9.98905607436,12.8122214359,0.0100476453158
0,EJ-200,1,scintillation,0,left,1360,1370,1365,1125,9.16009899278,5.51254395364,0.0700002790702
0,EJ-200,1,scintillation,0,left,1370,1380,1375,1114,9.11442689885,6.0929503033,0.0739556268491
0,EJ-200,1,scintillation,0,left,1380,1390,1385,730,9.17175227799,4.96312250375,0.0824548236936
0,EJ-200,1,scintillation,0,left,1390,1400,1395,16688,9.3010379003,6.86615644731,0.0202840513737
0,EJ-200,1,scintillation,0,left,1400,1410,1405,367,10.3877767256,22.6643604263,0.24850704312
0,EJ-200,1,scintillation,1,right,0,10,5,847692,0.0117876530688,0.110748991144,0.000361452178896
0,EJ-200,1,scintillation,1,right,10,20,15,9735,0.451516541244,6.62990922369,0.0260967132233
0,EJ-200,1,scintillation,1,right,20,30,25,8378,0.522688738944,5.17356975434,0.0248499189438
