event_id,track_id,global_id,time_alive_ns,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary
0,4316,4,6.6200259506,36,0,36,1,0
0,4313,12,3.13749544802,23,0,23,1,0
0,4306,6,5.6556726697,48,21,43,1,1
0,4300,13,8.28698204728,96,0,96,1,0
0,4286,13,6.32212375401,15,0,15,1,0
0,4280,4,4.96067256623,76,0,76,1,0
0,4276,3,3.18030376945,29,0,29,1,0
0,4275,15,4.12805179758,56,0,56,1,0
0,4242,2,4.88776634162,9,18,8,1,1
0,4196,15,13.0884312356,43,0,43,1,0
0,4186,5,4.04333850601,25,0,25,1,0
0,4181,3,5.1746741803,27,0,27,1,0
0,4178,13,4.2560833693,47,0,47,1,0
0,4172,10,5.54262920714,40,0,40,1,0
0,4163,4,4.38452235088,55,0,55,1,0
0,4150,10,5.50815364259,63,0,63,1,0
0,4125,2,4.32699726997,15,0,15,1,0
0,4115,4,3.09090340408,16,0,16,1,0
0,4108,7,4.90428028067,44,0,44,1,0
0,4100,14,8.43971416016,109,0,109,1,0
0,4079,2,9.74163143945,34,0,34,1,0
0,4075,7,4.25145056346,34,0,34,1,0
0,4073,2,4.05664066524,53,0,53,1,0
0,4070,9,4.00412105433,19,0,19,1,0
0,4057,8,3.31533177902,29,0,29,1,0
0,4023,9,4.61719693001,22,0,22,1,0
0,4011,7,5.90271916097,57,0,57,1,0
0,3997,13,5.15364774381,94,0,94,1,0
0,3994,4,9.31606202298,34,0,34,1,0
0,3993,1,7.77081287384,67,0,67,1,0
0,3984,7,4.79495441645,56,0,56,1,0
0,3974,8,9.95928056081,73,0,73,1,0
0,3971,3,3.81646301522,8,0,8,1,0
0,3958,3,4.0112392858,73,0,73,1,0
0,3945,3,4.21294609391,8,0,8,1,0
0,3938,10,4.62007656376,20,0,20,1,0
0,3931,7,6.88151564459,20,0,20,1,0
0,3917,2,5.38728265294,55,0,55,1,0
0,3914,0,15.1367527755,345,0,345,1,0
0,3912,12,4.40077986501,44,0,44,1,0
0,3900,10,4.37715869427,11,0,11,1,0
0,3892,13,8.21242824701,6,30,6,1,1
0,3885,4,4.12076937956,29,0,29,1,0
0,3849,3,3.63771595524,54,0,54,1,0
0,3844,11,3.57379049376,10,0,10,1,0
0,3843,7,6.47835431473,45,0,45,1,0
0,3829,2,7.99372320713,59,0,59,1,0
0,3827,11,4.59461760271,29,0,29,1,0
0,3815,5,6.42068423686,41,0,41,1,0
0,3809,9,6.93701629051,106,0,106,1,0
0,3799,6,5.3225307627,83,0,83,1,0
0,3771,10,6.78117082023,44,0,44,1,0
0,3759,6,5.95216563598,42,18,39,1,1
0,3757,8,6.46115650716,104,0,104,1,0
0,3751,3,4.24632528676,39,0,39,1,0
0,3749,14,3.78241974784,9,0,9,1,0
0,3748,6,4.26582803564,15,0,15,1,0
0,3704,11,9.17259126321,11,0,11,1,0
0,4726,7,16.4805458525,7,0,7,1,0
0,3693,9,5.24963250086,23,0,23,1,0
0,3669,8,8.38843801007,50,0,50,1,0
0,3660,1,4.2765379628,28,0,28,1,0
0,3647,12,7.75246289214,92,0,92,1,0
0,3637,15,4.38891055381,23,0,23,1,0
0,3635,8,5.43045900041,76,0,76,1,0
0,3622,12,12.1400091262,82,0,82,1,0
0,3613,15,4.33949239055,10,0,10,1,0
0,3610,3,6.88932512049,124,0,124,1,0
0,3588,7,8.2308836323,59,0,59,1,0
0,3575,10,4.69693663551,42,0,42,1,0
0,3573,0,5.53924818323,9,0,9,1,0
0,3570,6,3.68907686102,19,0,19,1,0
0,3564,14,5.85401841723,57,0,57,1,0
0,3563,6,4.2740825978,38,0,38,1,0
0,3540,1,3.06220096732,14,0,14,1,0
0,3529,5,10.6172965532,38,0,38,1,0
0,3498,13,3.72245428371,48,0,48,1,0
0,3493,1,6.35477730058,92,0,92,1,0
0,3492,15,4.81015445697,65,0,65,1,0
0,3472,6,4.22803028167,47,0,47,1,0
0,3467,2,4.49534463752,28,0,28,1,0
0,3450,10,3.44350965165,52,0,52,1,0
0,3441,6,3.95201905924,36,0,36,1,0
0,3429,6,4.37230466323,22,0,22,1,0
0,4732,8,6.31924458713,63,0,63,1,0
0,3404,8,7.17938138,141,0,141,1,0
0,3395,6,5.50822204236,14,0,14,1,0
0,3390,1,5.24387540137,32,0,32,1,0
0,3380,3,5.53666215931,21,0,21,1,0
0,3362,14,7.10662130814,17,0,17,1,0
0,3359,10,7.18882287663,32,0,32,1,0
0,3349,0,4.72576052543,37,0,37,1,0
0,3348,4,4.78042877418,27,0,27,1,0
0,3341,10,5.01254070677,36,0,36,1,0
0,3331,3,4.19918975007,35,0,35,1,0
0,3301,5,4.68813410929,25,0,25,1,0
0,3294,12,3.78008430964,69,0,69,1,0
0,3283,6,6.27541248085,80,0,80,1,0
0,3281,4,5.41533462335,57,0,57,1,0
0,3278,5,4.70622397004,18,0,18,1,0
0,3263,3,9.24803719319,164,0,164,1,0
0,3261,11,5.74951261063,51,0,51,1,0
0,3260,9,4.46824337599,8,0,8,1,0
0,3235,2,4.18749329473,24,0,24,1,0
0,3231,6,5.74691479257,14,0,14,1,0
0,3215,15,17.1625836028,46,0,46,1,0
0,4737,15,5.39062102547,2,8,0,1,1
0,3207,12,6.9585584483,97,0,97,1,0
0,3189,4,4.21464942039,86,0,86,1,0
0,3188,7,4.10651052161,83,0,83,1,0
0,3183,9,4.43451660297,91,0,91,1,0
0,3175,15,3.68778594458,73,0,73,1,0
0,3170,3,4.56991195922,95,0,95,1,0
0,3146,2,9.34494590674,207,0,207,1,0
0,3140,11,5.54216420532,118,0,118,1,0
0,3137,10,9.98171130697,222,0,222,1,0
0,3135,10,3.85754305854,77,0,77,1,0
0,3113,15,4.27212158643,87,0,87,1,0
0,6324,13,8.24146280043,19,0,19,1,0
0,6311,11,4.13989217081,41,0,41,1,0
0,6310,5,5.87367243935,11,0,11,1,0
0,6309,12,7.71632279003,108,0,108,1,0
0,6308,14,6.59617124099,25,0,25,1,0
0,6290,7,6.40528668947,81,0,81,1,0
0,6282,1,3.86138569144,4,0,4,1,0
0,6279,7,6.57972076544,109,0,109,1,0
0,6273,2,5.6047003273,58,0,58,1,0
0,6265,9,9.87411292347,48,0,48,1,0
