event_id,n_gen_estimated,edep_mev_estimated,n_rows_raw,n_unique_tracks,sum_pde,collection_eff_raw,collection_eff_unique,collection_eff_pde
34,20937.72,2.0132423076923076,2488,2488,1534.488040340879,0.11882860215916537,0.11882860215916537,0.07328821095806415
35,20937.72,2.0132423076923076,2747,2747,1697.7382884080448,0.13119862143538072,0.13119862143538072,0.08108515580531427
36,20937.72,2.0132423076923076,1712,1712,1054.680667345552,0.08176630502270543,0.08176630502270543,0.050372278707784414
37,20937.72,2.0132423076923076,1685,1685,1037.3769632415795,0.08047676633367912,0.08047676633367912,0.049545841822394195
38,20937.72,2.0132423076923076,1667,1667,1026.5255499160944,0.07961707387432825,0.07961707387432825,0.049027570810770915
39,20937.72,2.0132423076923076,2065,2065,1270.6194352456325,0.09862582936441981,0.09862582936441981,0.06068566373251875
40,20937.72,2.0132423076923076,1968,1968,1210.115703385253,0.09399304222236232,0.09399304222236232,0.05779596361902122
41,20937.72,2.0132423076923076,2408,2408,1484.160321018317,0.11500774678427259,0.11500774678427259,0.07088452424706783
42,20937.72,2.0132423076923076,1783,1783,1100.235362807199,0.08515731416792277,0.08515731416792277,0.052548002495362386
43,20937.72,2.0132423076923076,1557,1557,958.986367879953,0.07436339773385067,0.07436339773385067,0.04580185272703775
44,20937.72,2.0132423076923076,1681,1681,1034.9304826456066,0.08028572356493448,0.08028572356493448,0.04942899621571052
45,20937.72,2.0132423076923076,1656,1656,1017.5723483207687,0.07909170626028049,0.07909170626028049,0.048599959705295924
46,20937.72,2.0132423076923076,1532,1532,944.5335066640417,0.07316938042919668,0.07316938042919668,0.04511157407129533
47,20937.72,2.0132423076923076,1591,1591,976.6195075414485,0.0759872612681801,0.0759872612681801,0.046644023682686005
48,20937.72,2.0132423076923076,2007,2007,1234.6619774235478,0.09585570921762254,0.09585570921762254,0.058968310657681336
49,20937.72,2.0132423076923076,1616,1616,996.7944598149736,0.07718127857283409,0.07718127857283409,0.0476075933680923
