x_beam_mm,channel,mean,mean_error,fano,fano_error
-670,16,282.756,1.487011733220961,19.58376290511961,1.6216444709181943
-670,17,318.4955,1.8917092626010144,22.04137885700112,2.572951634953536
-670,18,344.6255,1.8573737082518638,22.04444026849435,2.3528540171902392
-670,19,233.2385,1.458959844871453,16.22775664287843,1.9065166826506816
-670,20,186.221,1.0058601713014181,12.652671605243231,1.3522490670275855
-670,21,136.527,0.7568595433903629,10.227019351483591,1.1582759696140663
-670,22,107.353,0.6221753433677131,8.407025336972419,1.072446874419945
-670,23,112.757,0.5944019993591093,8.055109226034748,0.7602534452144527
-670,24,75.2995,0.4923704611901767,6.053848959820451,0.6988475204375283
-670,25,75.967,0.5775698180625707,6.153302236497427,0.6630133789659367
-670,26,52.983,0.33078542894148166,5.0971577864598085,0.5275861947499262
-670,27,55.4685,0.37615735439195946,4.8039339039274545,0.4659532099928265
-670,28,49.58,0.3002218477971551,4.03264622831787,0.32317459743107124
-670,29,52.649,0.25069576865406445,4.143512678303481,0.3176530075723408
-670,30,44.559,0.2775370055932762,3.8305060481608653,0.38555516645631355
-670,31,27.948,0.22397673751389577,2.9984004579934163,0.2702326959901465
-670,32,33.071,0.27257727055103265,3.2369737534395697,0.2769439332890141
-670,33,27.309,0.13878400484205625,2.7831674173349445,0.27235311880837854
-670,34,27.333,0.19292772030778402,2.941137489481579,0.26295283927426266
-670,35,23.674,0.13790042173898498,2.5057752808988765,0.2129004787094616
-670,36,20.0745,0.10161453221805784,2.3001793195347333,0.19647701052942193
-670,37,20.6455,0.13998209471966577,2.531003354241845,0.17286405124087476
-670,38,20.395,0.1295914633315839,2.2944827163520474,0.12961068153079697
-670,39,20.0725,0.14586741456397637,2.2090045460206746,0.13272100391552685
-670,40,15.755,0.15895464430889877,2.1848286258330685,0.14228800895277413
-670,41,15.9045,0.12378137560783686,2.0403269357728946,0.1306725015447301
-670,42,9.8395,0.09367489974430303,1.7753686416992736,0.13105059267107455
-670,43,10.62,0.08797128718178879,1.8747269303201506,0.11226110752225518
-670,44,12.4265,0.0879451832857147,1.795324327043013,0.09705363650083526
-670,45,11.739,0.05683725612844478,1.7410238521168755,0.09914425157650503
-670,46,8.6205,0.08906377076655758,1.690096833130329,0.1068673094244959
-670,47,7.6505,0.07612135394431595,1.5420364355270895,0.07874611297943296
-670,48,9.483,0.08324377643877978,1.635316988294843,0.14887435008102923
-670,49,8.559,0.09471536306217701,1.566131440588854,0.07789733867219559
-670,50,7.9625,0.07874634494441816,1.4770604395604396,0.07038823791419895
-670,51,6.5475,0.07382366971728205,1.3540654830087822,0.059139537132594316
-670,52,5.48,0.06091408963277288,1.4105109489051095,0.0703708516306322
-670,53,5.8295,0.06777080181720861,1.5195865425851272,0.07793741971098947
-670,54,6.423,0.06365656207129702,1.3889258913280398,0.07976114677445671
-670,55,5.7695,0.054865745233250496,1.3823329144639915,0.07211838522802189
-670,56,3.4615,0.048342391770631966,1.3391644518272428,0.06989235714747383
-670,57,4.443,0.04308559412440112,1.2981658789106463,0.05341609078437218
-670,58,4.5315,0.06493427851540191,1.2752968663797861,0.05466400778572264
-670,59,4.773,0.053871679895255584,1.2888059920385502,0.055644428199676556
-670,60,3.6735,0.048118685505080215,1.2418395943922689,0.04711273654842621
-670,61,2.4585,0.03235717605269774,1.3098546878177753,0.06766788939293807
-670,62,3.26,0.05352815294678824,1.227116564417178,0.04918294944787759
-670,63,3.0025,0.058055667477997105,1.2777664446294756,0.052787528376657455
-670,64,3.1465,0.04292143986401198,1.17973549976164,0.04215466429323621
-670,65,3.1115,0.05553697203807465,1.21454852964808,0.04169634766073798
-670,66,2.3145,0.03258571692273208,1.2489046230287322,0.04535390580613651
-670,67,1.8435,0.029516052724255955,1.2579374830485492,0.04486692829918896
-670,68,1.9165,0.027599342097421913,1.1560280459170362,0.0513245699190764
-670,69,2.2215,0.03381275841422781,1.108457236101733,0.037646209176671275
-670,70,1.9835,0.024444082267386084,1.1798476178472397,0.046753602824516446
-670,71,1.517,0.02924578242197815,1.1791107448912326,0.0372695591805169
-670,72,1.654,0.030585514287167517,1.153738814993954,0.031580990757070306
-670,73,2.097,0.03238826948140332,1.1223609918931807,0.038633898292449974
-670,74,1.9225,0.02252337966600361,1.174249024707412,0.04159692325924787
-670,75,1.667,0.03725516566089932,1.1728320335932811,0.0406358145807068
-670,76,1.3665,0.032194107012243525,1.1219742041712404,0.028825087443619928
-670,77,1.3505,0.03017034968309118,1.0630505368382077,0.04402897382594574
-670,78,1.385,0.026232763764743653,1.1825090252707582,0.05890255766213831
-670,79,1.107,0.018975052874206852,1.1242556458897923,0.03468506361792441
-670,80,1.004,0.019458457774124093,1.1294661354581672,0.036298112237738184
-670,81,1.13,0.02201674004264171,1.1646902654867257,0.055291647851314234
-670,82,0.808,0.023648745376758058,1.1511584158415844,0.04263361358511181
-670,83,1.1025,0.022063007859071976,1.0848015873015875,0.03153527733652931
-670,84,1.107,0.018723753559807942,1.1459358626919602,0.02406238550922132
-670,85,0.8555,0.020944475468045946,1.072612215078901,0.031972027164870104
-650,0,287.701,1.548415132014868,17.65232862937564,1.1916484340678126
-650,1,272.733,1.6212977420637689,17.370933150737162,1.2131829618571162
-650,2,259.1155,1.445686046393492,16.79472343317941,1.2756087209722402
-650,3,252.126,1.4615232500806576,16.46185289894735,1.32949319305196
-650,4,271.9735,1.5257969919115486,16.79280076091972,1.1789911409784595
-650,5,269.294,1.538211435743696,16.623046053755374,1.168153821424589
-650,6,267.114,1.4691296026810232,16.778222047515296,1.0532165933274549
-650,7,244.2255,1.4557236353894754,15.815472380034025,1.0854270912524133
-650,8,3.836,0.04990200924126993,1.2445526590198124,0.05176355906585385
-650,9,3.7895,0.0598483829971071,1.2529858160707217,0.03709441206927655
-650,10,3.593,0.05052409534594686,1.2082802671861954,0.0338516654513181
-650,11,3.7875,0.06676697497542032,1.323655115511551,0.039484924004161974
-650,12,3.8895,0.0521812378058183,1.3177245789947294,0.044272232807282194
-650,13,3.645,0.04686205961733797,1.2705006858710564,0.04435626976439014
-650,14,3.77,0.04889839088946532,1.3257559681697613,0.05550946281335163
-650,15,3.5965,0.060711895132060656,1.2408418601418045,0.04687041570326732
-650,16,216.893,1.2915040395641493,14.333872236540598,1.0405359367013636
-650,17,281.9955,1.7788381002334213,19.279621411511886,1.4953231173062695
-650,18,317.989,1.7859947692503093,19.915641355518584,1.317677299604297
-650,19,342.948,2.083176547082801,19.95304913864493,1.3341338261452322
-650,20,232.128,1.3614898186603466,14.625024193548388,0.9140405389808888
-650,21,185.629,1.1587711049574028,12.058301014388917,0.7270677528723
-650,22,136.621,0.7292934215642075,9.539392618997079,0.6380538984355298
-650,23,107.201,0.7213758418904612,7.6871633566851045,0.49638020515179115
-650,24,112.126,0.5941944569175815,7.288382034496904,0.4053877256953893
-650,25,75.302,0.41194506532073166,5.660510955884306,0.327607551475911
-650,26,75.2495,0.5426433717897675,5.708918328360986,0.29227927035547197
-650,27,52.3045,0.2770013062861071,4.367880005544457,0.25730203996047846
-650,28,55.4995,0.3453796347575598,4.518310971270012,0.24697511566745767
-650,29,49.6225,0.30105068204190066,3.6612624061665575,0.17212619146644895
-650,30,52.385,0.2895536492421962,4.113310585091153,0.22118908661023776
-650,31,44.322,0.3116784780574522,3.446264067505979,0.17406911413647694
-650,32,27.67,0.22803508501982905,2.8201698590531263,0.16154107557296818
-650,33,32.828,0.19219726708172932,2.790344096502985,0.1400813993892194
-650,34,27.2785,0.2469511724591496,2.6729086185090827,0.13199271982085384
-650,35,27.1915,0.1603487564161649,2.7433877406542484,0.15121084611624705
-650,36,23.3655,0.15675571843846195,2.373238738738739,0.1349301589481581
-650,37,19.9575,0.15610366832063235,2.157920268069648,0.10292119867919158
-650,38,20.399,0.15561237266462907,2.375596793960488,0.11424942737076868
-650,39,20.4035,0.15336793564565687,2.1466752150366357,0.09481643965265953
-650,40,19.972,0.1393926676316708,2.0760672942118967,0.10309211093367483
-650,41,15.786,0.11522380967399741,1.9229192955783607,0.08815057019899729
-650,42,16.04,0.10019454759826617,1.9013341645885289,0.09661238604013613
-650,43,9.934,0.09894017331062699,1.7822270988524263,0.1015899107219968
-650,44,10.539,0.10354734487942681,1.7643494638960053,0.1051849377798281
-650,45,12.35,0.08999707597589227,1.7678947368421054,0.06912956706000897
-650,46,11.7525,0.12400313026609276,1.7306312486704958,0.062376366757814224
-650,47,8.6815,0.07466512960510652,1.5973112653343318,0.05705407078696446
-650,48,7.563,0.11097676380784899,1.5251925161972761,0.06805526002880853
-650,49,9.617,0.10196000247775178,1.6148810439846104,0.06575954636612312
-650,50,8.429,0.06573031023972599,1.4841569581207732,0.05963004625920743
-650,51,8.5765,0.08472952322103064,1.4975978254532736,0.06697483705782063
-650,52,6.367,0.07370317425143139,1.3722806659337206,0.05415365827736666
-650,53,5.3805,0.047030085555614484,1.3141380447913762,0.04412939634850233
-650,54,5.8815,0.06107921948282888,1.3522838986653065,0.06790997780901534
-650,55,6.478,0.059270122055054185,1.4178011732016056,0.05878879661894374
-650,56,5.546,0.07949975173744758,1.3636646231518212,0.05188000434710852
-650,57,3.3915,0.03440681542032633,1.318952602093469,0.05393787423352714
-650,58,4.12,0.041039134083405704,1.3139805825242719,0.04438228632520164
-650,59,4.481,0.0560305367869304,1.2454003570631553,0.03657272111536902
-650,60,4.5175,0.07054627074331721,1.2898049252905368,0.04578097008851768
-650,61,3.6625,0.0406776480715342,1.2446672354948805,0.048211831630562245
-650,62,2.5325,0.03348900055084859,1.1987931885488647,0.03204223772372365
-650,63,3.167,0.04192788294704439,1.2147492895484686,0.05507217913456406
-650,64,3.0,0.054449397077518294,1.207,0.03379263309543364
-650,65,3.0875,0.05463695972893299,1.2135526315789473,0.040720786604386126
-650,66,2.9955,0.04066858997465143,1.1468802370221998,0.032394155291938585
-650,67,2.2365,0.030875599291008787,1.1837995752291528,0.03017657186532994
-650,68,1.879,0.03468580780604499,1.1454811069717936,0.04659670067565193
-650,69,1.8165,0.03225127496459787,1.1840505092210296,0.035135557343010715
-650,70,2.049,0.030615613491708462,1.159394338701806,0.030747260085662167
-650,71,2.0935,0.03992278731963012,1.2413459517554333,0.052094003204111644
-650,72,1.56,0.026832815729997395,1.1476923076923076,0.040690299046614156
-650,73,1.623,0.032331343762263993,1.1120585335797906,0.040795244484255117
-650,74,2.0975,0.03797419483918299,1.1523212157330156,0.034193392106792106
-650,75,1.861,0.03432737130997115,1.1228796346050511,0.04147242902137216
-650,76,1.5825,0.03592298047651097,1.1767417061611374,0.03324774964019763
-650,77,1.5855,0.029606853758440622,1.1571679280983918,0.0333992385969171
-650,78,1.2165,0.031096412045528016,1.0897063296341964,0.03687482497347632
-650,79,1.302,0.028659525834399648,1.075112135176651,0.03992757480325051
-650,80,1.2235,0.0177152179599468,1.156148549243972,0.03179897529807583
-650,81,1.0205,0.030205219137723536,1.148534786869182,0.08224067836848808
-650,82,1.1435,0.02228139417352038,1.0580741145605597,0.033044159126535966
