x_beam_mm,side,distance_cm,mean_ns,mean_ns_error,t50_ns,t50_ns_error,fpt_mean_ns,fpt_mean_ns_error,frac_gt10,frac_gt10_error
-100,left,60.0,4.659011759627971,0.0028997367022076267,4.227670143850723,0.0028415208351687355,2.453393916351382,0.0016314861912170625,0.014745623887273102,0.00020116433739443245
-100,right,80.0,5.35540114823879,0.0032617471441067,4.920481197854949,0.0035360600038488927,3.1760567789376473,0.001870569635129785,0.022389998095205112,0.0003847119404573826
-50,left,65.0,4.836815817184272,0.0034096900411414786,4.397610905086331,0.0030959181328706407,2.63435337171678,0.0017618279389699438,0.016590301316663544,0.00022961739983474777
-50,right,75.0,5.180857089117553,0.00318994853363736,4.7439388765839094,0.0033431871392724964,2.994303330563608,0.00317970632325899,0.020677839339408092,0.0003379462959351794
0,left,70.0,5.003894249589325,0.002666522889438459,4.5759427437143305,0.0032375625058360265,2.8130679170599397,0.001383602901357686,0.017563960765873462,0.0001868985211761651
0,right,70.0,5.0051238913805935,0.002391762849349693,4.570330329766209,0.003751234461856573,2.814851957569681,0.002465071150335002,0.018219420591982265,0.00021421114575202927
50,left,75.0,5.181398744622773,0.0040496210792875,4.746418856199208,0.0039164260905071874,2.9979006230142327,0.0022251942170820444,0.020477973288596286,0.00034388574631023696
50,right,65.0,4.8318255214200585,0.0019581114443101007,4.397381238085539,0.002453970221031222,2.6361564743302885,0.002285875915180438,0.016244168559545368,0.00020599159628399257
100,left,80.0,5.352434061480412,0.0036335192771640695,4.91728936904361,0.004746736304124999,3.176011309836538,0.0025801418863587045,0.022377585686740035,0.000269109400134931
100,right,60.0,4.655343019511359,0.0026407314196807623,4.230575473202347,0.00264932062599211,2.4519315217278272,0.0016303366795889457,0.014181732801127025,0.00016121360435291014
150,left,85.0,5.510612467319523,0.005217145299313042,5.071326665530377,0.00484830605928911,3.358203777817937,0.00277532327129966,0.02519407794946265,0.000429286972535558
150,right,55.0,4.482764058005248,0.002917057703118823,4.050244504356472,0.002637429185518049,2.2744357225668845,0.0019427996173209592,0.012864049909020016,0.00013716870147300426
200,left,90.0,5.695998353160898,0.0040371003964736986,5.252285322341632,0.00339500978447517,3.540744358690019,0.002650880993281722,0.0286714717719015,0.00028985297829331404
200,right,50.0,4.303713347619112,0.002024375962236173,3.8737300862048407,0.0023830036449870476,2.0960946955482656,0.0013606424438816834,0.011478839336513632,0.00015312565593271452
250,left,95.0,5.858079162679404,0.00471950032455817,5.420929163922901,0.00408080175128071,3.718892041661653,0.003040586151922811,0.03099096748948381,0.0004618001978939631
