gid,face,local_id,mean_x,mean_y,mean_z,pred_x,pred_y,delta_x
30,TOP,14,-412.3885833133778,29.621573135170507,-0.028045338154188665,-412.0,29.75,-0.3885833133778078
31,TOP,15,-392.2540850841786,29.63281361165703,-0.055781579544192064,-392.0,29.75,-0.2540850841785982
32,TOP,16,-372.21772261756087,29.629024993962137,-0.09842021118268343,-372.0,29.75,-0.21772261756086664
33,TOP,17,-352.00807639945907,29.634217272708113,-0.09806855371227105,-352.0,29.75,-0.008076399459071126
34,TOP,18,-331.76821620190344,29.640389542061023,-0.03401982477298692,-332.0,29.75,0.2317837980965578
35,TOP,19,-311.6476864798718,29.63664347386643,-0.07354529300815976,-312.0,29.75,0.3523135201281775
36,TOP,20,-291.6456959540935,29.63594188219586,-0.01414123035487142,-292.0,29.75,0.35430404590647413
37,TOP,21,-271.4364936918238,29.608740994494607,-0.076974539591694,-272.0,29.75,0.5635063081762155
38,TOP,22,-251.3150367986797,29.606101857915977,-0.08646454763092255,-252.0,29.75,0.6849632013203006
39,TOP,23,-230.97442218320208,29.61672711063036,-0.018217620630241845,-232.0,29.75,1.0255778167979201
40,TOP,24,-211.11701511028343,29.609742814428436,0.0676055512564275,-212.0,29.75,0.8829848897165675
41,TOP,25,-191.06192589486608,29.600710738914348,-0.03935413814565982,-192.0,29.75,0.9380741051339214
42,TOP,26,-171.10813364725277,29.59659083268869,-0.036971128696374866,-172.0,29.75,0.891866352747229
43,TOP,27,-151.10859557604542,29.584433560370464,0.05963497970887365,-152.0,29.75,0.8914044239545831
44,TOP,28,-131.22505611410196,29.574420166518035,-0.019216399660731874,-132.0,29.75,0.7749438858980398
45,TOP,29,-111.29210268561589,29.562399764994673,-0.01886016482992929,-112.0,29.75,0.7078973143841125
46,TOP,30,-91.27645763900398,29.559715677028407,0.0005288313643584472,-92.0,29.75,0.7235423609960208
47,TOP,31,-71.39835509171274,29.549757532587613,-0.01653953128362406,-72.0,29.75,0.6016449082872555
48,TOP,32,-51.47154640922262,29.541173746446184,0.004381453585816395,-52.0,29.75,0.5284535907773815
49,TOP,33,-31.60425499908402,29.52729557559684,6.876289788608775e-05,-32.0,29.75,0.39574500091597997
50,TOP,34,-11.81946661987308,29.51302420491777,0.003296700880342898,-12.0,29.75,0.18053338012692066
51,TOP,35,11.814258776531359,29.513182055660902,-0.0029392110715027037,12.0,29.75,-0.18574122346864108
52,TOP,36,31.605320441038625,29.52809076695151,0.0005174862582721163,32.0,29.75,-0.39467955896137497
53,TOP,37,51.49141406561187,29.539214327238422,0.012526494744244724,52.0,29.75,-0.5085859343881296
54,TOP,38,71.37492982660868,29.55113216379397,0.0031331508436277873,72.0,29.75,-0.6250701733913218
55,TOP,39,91.32021761114696,29.559212203065012,0.028737299377349514,92.0,29.75,-0.6797823888530417
56,TOP,40,111.16634165202287,29.56939324389656,-0.024808407655315567,112.0,29.75,-0.8336583479771349
57,TOP,41,131.22350110654494,29.572536391913932,0.03302502236021667,132.0,29.75,-0.7764988934550558
58,TOP,42,151.1317905463137,29.582254081461382,0.03497242447900651,152.0,29.75,-0.8682094536862905
59,TOP,43,171.0698632653178,29.593443272506782,-0.001528971158979765,172.0,29.75,-0.9301367346822076
60,TOP,44,191.09242848707765,29.59551136829929,0.03456468887158006,192.0,29.75,-0.9075715129223454
61,TOP,45,211.1672538155738,29.609933056288966,0.10296230479070528,212.0,29.75,-0.8327461844262132
62,TOP,46,231.21066954668538,29.599436501510652,0.043298492385890175,232.0,29.75,-0.7893304533146193
63,TOP,47,251.24592993678147,29.61313026955162,0.06397270619342685,252.0,29.75,-0.7540700632185349
64,TOP,48,271.3450000688946,29.616080629597747,0.062309191750352134,272.0,29.75,-0.654999931105408
65,TOP,49,291.52923475410347,29.617308198466855,-0.024833194337001718,292.0,29.75,-0.4707652458965299
66,TOP,50,311.67305232961195,29.630152482480433,-0.02706254505491024,312.0,29.75,-0.3269476703880514
67,TOP,51,331.6172962289602,29.625135620278137,-0.0997217927409838,332.0,29.75,-0.38270377103981446
68,TOP,52,351.9407067814674,29.62572197803713,-0.09955287883778105,352.0,29.75,-0.059293218532616265
69,TOP,53,372.11173010163594,29.625718661772158,0.12899255515913924,372.0,29.75,0.11173010163594199
70,TOP,54,392.4601201878363,29.609661025605046,0.025564490295145438,392.0,29.75,0.4601201878363099
71,TOP,55,412.5977532889977,29.632619204656365,0.10723046908839494,412.0,29.75,0.5977532889976942
72,TOP,56,432.77215939868165,29.618914692706117,0.025555041902880223,432.0,29.75,0.7721593986816515
73,TOP,57,452.64054078546377,29.610341541681056,-0.07974531209967435,452.0,29.75,0.6405407854637701
74,TOP,58,472.6995086934249,29.61118538705879,0.015233512476113724,472.0,29.75,0.6995086934248889
75,TOP,59,492.81158764790405,29.59386718994666,-0.015992950088951807,492.0,29.75,0.811587647904048
76,TOP,60,512.9279525948343,29.59240475158172,0.10876161961034772,512.0,29.75,0.9279525948343235
77,TOP,61,532.9066131425399,29.586540354623292,-0.0017162031416766426,532.0,29.75,0.906613142539868
78,TOP,62,552.9194359474836,29.577226868561063,-0.001908673488221601,552.0,29.75,0.9194359474836347
79,TOP,63,572.794469847687,29.569523297801236,0.03685239607774529,572.0,29.75,0.7944698476869689
80,TOP,64,592.6942502179046,29.559380907884172,0.036015310126988206,592.0,29.75,0.694250217904596
81,TOP,65,612.6008322507456,29.551685056173636,-0.012147212173350151,612.0,29.75,0.6008322507456114
82,TOP,66,632.5513147039728,29.54345085303783,-0.018277034524109267,632.0,29.75,0.551314703972821
83,TOP,67,652.4385089747796,29.532421733759602,-0.009291428820282392,652.0,29.75,0.43850897477955186
84,TOP,68,672.2614449184729,29.517714176201192,0.002041407325052383,672.0,29.75,0.26144491847287554
85,TOP,69,691.9812973883738,29.506588288571354,-0.0006980143281678303,692.0,29.75,-0.01870261162616771
