estimator,x_mm,sigma_ps,boot_ps,flag
END_R_SUM8,-500,1106.3593681206385,142.01916870717895,ok
END_R_SUM8,-450,1049.8330911149847,91.52992711130526,ok
END_R_SUM8,-400,1070.6090930540674,120.83889094775824,ok
END_R_SUM8,-350,1050.5557409342664,99.1057344472673,ok
END_R_SUM8,-300,1085.8093711611377,103.93322115358208,ok
END_R_SUM8,-250,1012.7508029535102,95.70420994300157,ok
END_R_SUM8,-200,898.4299427183003,89.2288043487785,ok
END_R_SUM8,-150,1068.4438794615553,78.58809631288004,ok
END_R_SUM8,-100,991.1890069315383,78.3450595101765,ok
END_R_SUM8,-50,985.3012626310972,79.02342560549543,ok
END_R_SUM8,0,1036.9926390870132,84.36427072868354,ok
END_R_SUM8,50,933.4877257862063,46.89084942550847,ok
END_R_SUM8,100,928.5975132016712,57.11157139014741,ok
END_R_SUM8,150,764.9872813448574,49.0317362136854,ok
END_R_SUM8,200,808.0641952765822,37.221739835195464,ok
END_R_SUM8,250,849.4141592570847,40.888920468992815,ok
END_R_SUM8,300,704.3777305347359,27.619969679884807,ok
END_R_SUM8,350,509.2655613013342,25.762563716382836,ok
END_R_SUM8,400,515.9824476510144,16.49117041941066,ok
END_R_SUM8,450,469.01962067711554,17.647227576754975,ok
END_R_SUM8,500,242.51987425635443,9.527728687880265,ok
END_R_SUM8,550,218.93749168106095,5.306323236498059,ok
END_R_SUM8,600,145.29295755880148,3.464630861014796,ok
END_R_SUM8,650,78.829565307384,1.7048757395880614,ok
END_R_SUM8,670,45.10938176512393,0.8889517803207697,ok
END_R_SUM8,690,25.000634972085134,3.056833561503919,ok
END_COMBINED_SUM4,-690,563.8731399393929,85.49313759037622,ok
END_COMBINED_SUM4,-670,659.3279794454659,134.82392109730412,ok
END_COMBINED_SUM4,-650,644.109385019945,119.40867557558272,ok
END_COMBINED_SUM4,-600,795.9111617148801,162.5476496543887,ok
END_COMBINED_SUM4,-550,675.2022360470366,132.44299344377808,ok
END_COMBINED_SUM4,-500,666.1185149246531,102.49811075571868,ok
END_COMBINED_SUM4,-450,732.3547765743787,103.34204759070548,ok
END_COMBINED_SUM4,-400,841.9243403233613,90.15192049547181,ok
END_COMBINED_SUM4,-350,808.1704463539669,95.07267064283566,ok
END_COMBINED_SUM4,-300,855.2290068823033,130.5304144219462,ok
END_COMBINED_SUM4,-250,966.6816567933918,175.4530258354327,ok
END_COMBINED_SUM4,-200,889.1475288236738,195.4353171447918,ok
END_COMBINED_SUM4,-150,813.3897569571246,161.42862656556431,ok
END_COMBINED_SUM4,-100,1263.6409944443767,221.0381308303546,ok
END_COMBINED_SUM4,-50,818.7025781288343,270.3450595378258,ok
END_COMBINED_SUM4,0,1026.1213481451564,717.5216075773435,ok
END_COMBINED_SUM4,50,777.9185667727002,142.3480108133932,ok
END_COMBINED_SUM4,100,1128.514476557861,315.96652287734526,ok
END_COMBINED_SUM4,150,705.4046159167282,115.48261232011026,ok
END_COMBINED_SUM4,200,1241.8223267673013,417.3968207338027,ok
END_COMBINED_SUM4,250,897.911647541714,158.2075153343598,ok
END_COMBINED_SUM4,300,860.5167167703975,136.56689595494555,ok
END_COMBINED_SUM4,350,853.6812281722908,137.44646999101028,ok
END_COMBINED_SUM4,400,774.922955190235,143.2368767829515,ok
END_COMBINED_SUM4,450,931.3561625712031,238.17243366162282,ok
END_COMBINED_SUM4,500,643.7321487688936,55.454136933069734,ok
END_COMBINED_SUM4,550,701.1768627274904,125.99046888372368,ok
END_COMBINED_SUM4,600,782.4755216445886,196.03899370022503,ok
END_COMBINED_SUM4,650,495.41167880014143,162.72760005922999,ok
END_COMBINED_SUM4,670,558.1091062334821,100.78923058478375,ok
END_COMBINED_SUM4,690,739.7523980351825,228.99621971161807,ok
END_COMBINED_SUM8,-690,519.1245548353972,76.64598298176769,ok
END_COMBINED_SUM8,-670,491.506846388496,83.24020564960254,ok
END_COMBINED_SUM8,-650,755.8180693854239,106.56184142341708,ok
END_COMBINED_SUM8,-600,655.1752061196479,94.37141029745516,ok
END_COMBINED_SUM8,-550,650.421426125725,63.99942155007182,ok
END_COMBINED_SUM8,-500,552.3031367567287,74.37481000246366,ok
END_COMBINED_SUM8,-450,600.0149214689937,58.53537700512694,ok
END_COMBINED_SUM8,-400,696.5193846069401,61.719726255243835,ok
END_COMBINED_SUM8,-350,662.0766047506754,49.06908173757202,ok
END_COMBINED_SUM8,-300,737.9015077766915,64.39656497357281,ok
END_COMBINED_SUM8,-250,759.9130441813164,79.60639802729611,ok
END_COMBINED_SUM8,-200,939.2326770678827,89.78331346707319,ok
END_COMBINED_SUM8,-150,744.6964556340869,67.28919462053274,ok
END_COMBINED_SUM8,-100,958.1250905074164,98.24226954515716,ok
END_COMBINED_SUM8,-50,774.9463529950099,79.85856768265064,ok
END_COMBINED_SUM8,0,916.7277429885946,119.02276267607895,ok
END_COMBINED_SUM8,50,753.816394634465,54.72823534139898,ok
END_COMBINED_SUM8,100,832.9929136941845,81.42587892274771,ok
END_COMBINED_SUM8,150,810.1877150396105,70.97341026820935,ok
END_COMBINED_SUM8,200,850.013658809081,91.74796258144133,ok
END_COMBINED_SUM8,250,982.2905267519967,103.8781880578899,ok
END_COMBINED_SUM8,300,759.7693052636375,48.657022294027584,ok
END_COMBINED_SUM8,350,641.9347516976455,50.608547513668256,ok
END_COMBINED_SUM8,400,538.4494693125937,47.91215369329243,ok
END_COMBINED_SUM8,450,649.3319551897064,53.91893175450403,ok
END_COMBINED_SUM8,500,720.3266864397153,70.06341205082828,ok
END_COMBINED_SUM8,550,611.5735927634498,76.86776831270424,ok
END_COMBINED_SUM8,600,693.9095025613326,172.84953821777464,ok
END_COMBINED_SUM8,650,498.98430476437153,91.74386625917042,ok
END_COMBINED_SUM8,670,586.8668901392954,513.6672939347592,ok
END_COMBINED_SUM8,690,662.2232972072719,131.5457932844409,ok
