event_id,opsc-101_world_y_30mm_numerator,opsc-101_world_y_30mm_denominator,opsc-101_world_near_x_numerator,opsc-101_world_near_x_denominator,opsc-101_world_far_x_numerator,opsc-101_world_far_x_denominator,opsc-106_world_y_30mm_numerator,opsc-106_world_y_30mm_denominator,opsc-106_world_near_x_numerator,opsc-106_world_near_x_denominator,opsc-106_world_far_x_numerator,opsc-106_world_far_x_denominator
61,4703.771034156159,18463.506733343467,4674.7130698179035,18400.023377811176,4538.174231771405,18134.421439362948,4692.771669069065,18393.931648599697,4648.152990007519,18298.137165598044,4462.849126563919,17956.16638565628
62,5015.51624455012,19235.516295111836,4984.458694353848,19169.492757675696,4838.621391013909,18895.228859217306,5003.7987861738,19164.595771715754,4956.1134978679775,19065.145966675434,4758.273031699831,18711.589204910426
63,4133.891838183762,15974.15836071425,4106.39982540648,15916.7308293737,3977.259395436821,15674.788288404468,4124.10592661084,15915.556496627665,4081.8933572635547,15828.706181284526,3906.6635261093857,15516.900735728843
64,4525.776701742909,17312.4599204919,4497.600751750194,17253.08074167195,4365.148080740674,17004.420566975517,4515.351631298105,17249.085956819436,4472.085045484242,17159.435683534764,4292.276621296382,16838.712377295218
65,4612.952928085054,18129.566223130638,4584.8486761996,18065.871972835856,4452.731320785303,17800.162459746014,4602.057841751134,18062.813000861228,4558.901323340361,17966.90249330599,4379.545079277311,17624.46850468278
66,4377.817446853426,16926.80050382733,4348.407217781129,16865.162992221172,4210.324714879531,16610.157319241516,4367.417445345655,16863.61905889436,4322.26217475702,16770.82057114997,4134.95861660244,16443.35242541752
67,4578.1861297697615,17732.075636862122,4550.5636236478695,17669.04268072644,4420.677383594965,17406.19031673169,4567.424144802183,17666.750506815457,4525.006129243338,17571.686198164214,4348.648474613935,17233.54922599697
68,5630.123546273702,22269.672949278487,5596.24713919158,22192.572614423385,5437.103263592111,21874.8290153844,5617.037260740634,22184.222829981918,5565.021244292297,22068.084252721983,5349.069054838737,21661.22506042137
69,3777.2349160771982,14853.169021270609,3753.8212952298163,14801.068837057814,3643.9229191506383,14585.924034182044,3768.217643449162,14797.677483759504,3732.2704708796473,14719.186713453342,3583.2230574856417,14443.356193132318
70,4441.837047084408,17293.539303258858,4414.942342843626,17232.346889682136,4288.791135882946,16982.43577417668,4431.4475016323095,17229.638522906418,4390.159098505994,17137.59751854812,4219.144675203214,16818.630153716786
71,4386.902108873556,16968.390565214668,4358.928057220857,16911.473804509616,4227.493555754501,16675.36436338562,4376.550019668772,16905.2999828549,4333.596175838942,16819.664113455736,4155.227198269694,16515.34296685738
72,4603.165991260026,17851.390860414776,4574.098244193588,17787.386997646165,4437.526787114762,17524.519588177503,4592.39244382162,17786.098960445255,4547.759271854869,17690.21449691841,4362.422018996752,17352.151101315052
73,5181.18685920809,20244.825012552326,5147.1871901415425,20172.099352842823,4987.536426009523,19868.379615580736,5168.710608351034,20168.227825819566,5116.508137602513,20058.485873606853,4899.9289111236385,19667.242709473707
74,4429.8769378953175,17290.475780084056,4401.935284708773,17232.760906163174,4270.686905249707,16987.1669628335,4419.510009020553,17226.045144055668,4376.607208562059,17138.664863737784,4198.520379420217,16820.46245553187
75,4364.525499245108,16776.800076412317,4339.592572741037,16714.555549382138,4222.398985093086,16460.518405297094,4354.5287101596105,16715.185287457523,4316.242625614254,16621.579078218452,4157.159753012819,16297.45324847856
