event_id,detected,matched_boundary_detection,orphan_standard_SD,orphan_fraction_of_detected
56,6744,6649,95,0.014086595492289442
57,5415,5339,76,0.014035087719298246
58,5094,5038,56,0.01099332548095799
59,4484,4412,72,0.016057091882247992
60,6323,6227,96,0.0151826664557963
61,6355,6259,96,0.015106215578284815
62,5613,5525,88,0.015677890611081418
63,5266,5179,87,0.016521078617546526
64,4786,4712,74,0.015461763476807356
65,4724,4645,79,0.01672311600338696
66,5558,5452,106,0.019071608492263404
67,4761,4680,81,0.017013232514177693
68,6268,6173,95,0.015156349712827057
69,4673,4601,72,0.015407661031457309
70,5854,5744,110,0.018790570550051247
71,10536,10381,155,0.014711465451784358
72,4784,4723,61,0.012750836120401338
73,5851,5774,77,0.01316014356520253
74,4928,4858,70,0.014204545454545454
75,5876,5778,98,0.016678012253233492
76,6808,6715,93,0.013660399529964748
77,5437,5349,88,0.01618539635828582
78,4457,4384,73,0.016378730087502805
79,4924,4846,78,0.015840779853777416
80,7418,7304,114,0.015368023726071718
81,4516,4445,71,0.015721877767936227
82,4883,4805,78,0.015973786606594306
83,4693,4615,78,0.01662049861495845
84,5182,5093,89,0.017174835970667695
85,4657,4585,72,0.015460596950826713
86,5584,5506,78,0.013968481375358166
87,4842,4764,78,0.0161090458488228
88,4516,4451,65,0.014393268379096545
89,5122,5038,84,0.016399843811011325
90,5321,5236,85,0.01597444089456869
91,5435,5355,80,0.014719411223551058
92,4827,4745,82,0.016987777087217732
93,5577,5489,88,0.015779092702169626
94,5334,5247,87,0.016310461192350956
95,6702,6606,96,0.01432408236347359
96,5934,5846,88,0.01482979440512302
97,5467,5384,83,0.015182001097494055
98,6253,6165,88,0.014073244842475612
99,4962,4888,74,0.014913341394598953
100,4415,4364,51,0.011551528878822197
101,4711,4637,74,0.01570791763956697
102,5782,5690,92,0.015911449325492908
103,5409,5327,82,0.015159918654095026
104,10833,10652,181,0.016708206406350963
105,4315,4254,61,0.014136732329084589
106,6215,6123,92,0.014802896218825422
107,4287,4235,52,0.01212969442500583
