event_id,produced_scint,edep_total_MeV,edep_optical_MeV,edep_nonoptical_MeV,photon_equivalent_energy_MeV,equivalent_minus_nonoptical_MeV
21,19535,1.8752730516570086,0.02975154870975029,1.8455215029472583,1.8783653846153847,0.03284388166812646
22,17569,1.7050448516622236,0.026663171414305954,1.6783816802479177,1.689326923076923,0.01094524282900533
23,20595,1.9856045324729195,0.03080581922040369,1.9547987132525158,1.9802884615384615,0.025489748285945746
24,20532,1.9733828102092443,0.031031006099603582,1.9423518041096408,1.9742307692307692,0.03187896512112842
25,21314,2.064486601685915,0.03234206948268636,2.0321445322032288,2.049423076923077,0.01727854471984802
26,17283,1.661600848022097,0.02618137063305194,1.635419477389045,1.6618269230769231,0.026407445687878228
27,19211,1.8499770432461742,0.029243765864583934,1.8207332773815903,1.8472115384615384,0.026478261079948107
28,25032,2.420648760111283,0.03776368888276453,2.3828850712285186,2.4069230769230767,0.024038005694558162
29,16972,1.6438660754014611,0.026306782515772557,1.6175592928856886,1.631923076923077,0.014363784037388472
30,24986,2.4103757812222737,0.03739029380492867,2.372985487417345,2.4025,0.029514512582654806
31,21360,2.0508503360732986,0.032264566943595835,2.018585769129703,2.0538461538461537,0.035260384716450766
32,17006,1.6431297123223971,0.02608014880622387,1.6170495635161732,1.6351923076923076,0.018142744176134373
33,16656,1.5979955188119028,0.025521314572675955,1.5724742042392268,1.6015384615384616,0.029064257299234786
34,23060,2.236518400430338,0.03496427549527898,2.201554124935059,2.2173076923076924,0.015753567372633448
35,19605,1.8787934000997468,0.02956772579691125,1.8492256743028355,1.885096153846154,0.035870479543318456
36,23809,2.2986836953797654,0.03625005509194137,2.262433640287824,2.289326923076923,0.026893282789099082
37,21715,2.0899869610028525,0.03286252086732714,2.0571244401355253,2.0879807692307693,0.03085632909524394
38,17215,1.6509481354739366,0.025956157352934058,1.6249919781210025,1.6552884615384615,0.030296483417459052
39,19649,1.8713401274501806,0.029874542705286278,1.8414655847448944,1.8893269230769232,0.04786133833202877
40,19451,1.866571503559114,0.029873380619999793,1.8366981229391142,1.8702884615384616,0.03359033859934746
41,17787,1.7248655036647134,0.02757163445770389,1.6972938692070094,1.7102884615384615,0.01299459233145206
42,16559,1.602345970074454,0.02518911460203849,1.5771568554724156,1.5922115384615385,0.015054682989122936
43,23204,2.2225314237604397,0.035043647965001125,2.1874877757954385,2.231153846153846,0.04366607035840753
44,16389,1.5901558566593468,0.02545950788599186,1.564696348773355,1.5758653846153847,0.011169035842029773
45,18134,1.7337864982798523,0.02751989735243196,1.7062666009274203,1.7436538461538462,0.03738724522642589
46,18645,1.7944277590294244,0.028318915587520036,1.7661088434419043,1.7927884615384615,0.026679618096557167
47,16368,1.576907209746915,0.024948593320498987,1.551958616426416,1.573846153846154,0.021887537419737813
48,16571,1.6085437937370823,0.025016297587210853,1.5835274961498715,1.5933653846153846,0.009837888465513034
49,15962,1.5313752313510456,0.02418819861552693,1.5071870327355186,1.5348076923076923,0.027620659572173745
50,16923,1.6097623242184695,0.025665812952395402,1.584096511266074,1.6272115384615384,0.04311502719546434
51,16982,1.6391330383792253,0.02586820476838028,1.613264833610845,1.6328846153846155,0.01961978177377044
52,21062,2.0025983685393256,0.03205867155879469,1.9705396969805309,2.0251923076923077,0.05465261071177685
53,20857,2.021550184197148,0.03170266744683974,1.9898475167503085,2.0054807692307692,0.01563325248046077
54,27442,2.62156439622711,0.041597311807712596,2.5799670844193976,2.6386538461538462,0.058686761734448645
55,18886,1.8402015579730293,0.029006127564512194,1.8111954304085172,1.8159615384615384,0.004766108053021245
56,24476,2.3410612542878377,0.036705324705019735,2.304355929582818,2.3534615384615383,0.049105608878720286
57,19702,1.890301656915612,0.029898489515833564,1.8604031673997783,1.894423076923077,0.0340199095232987
58,18612,1.7909312929494212,0.028135037399861673,1.7627962555495595,1.7896153846153846,0.026819129065825065
59,16148,1.5430736739635356,0.02447646257457816,1.5185972113889574,1.5526923076923076,0.03409509630335017
60,23021,2.200958967200653,0.03453300462920686,2.166425962571446,2.2135576923076923,0.04713172973624635
61,23104,2.21077018581581,0.03477587913162129,2.1759943066841885,2.2215384615384615,0.04554415485427299
62,20367,1.9310234556845955,0.0309078329997487,1.9001156226848468,1.9583653846153846,0.05824976193053777
63,19138,1.845417714618154,0.028953490793589103,1.816464223824565,1.8401923076923077,0.023728083867742722
64,16861,1.6270416525037803,0.025872662237937372,1.601168990265843,1.62125,0.02008100973415705
65,17227,1.6737661768804633,0.026068835523635422,1.6476973413568279,1.6564423076923076,0.00874496633547972
66,20245,1.9303727186311808,0.030721816281449967,1.8996509023497308,1.9466346153846155,0.04698371303488469
67,17431,1.663164243897481,0.02631316193892736,1.6368510819585536,1.6760576923076924,0.03920661034913886
68,22712,2.197831027171964,0.034116205810549555,2.1637148213614146,2.183846153846154,0.020131332484739417
69,16557,1.5772155471941056,0.02587764427424272,1.5513379029198628,1.5920192307692307,0.04068132784936784
70,21045,2.016255344379776,0.03207115377189277,1.9841841906078832,2.0235576923076923,0.03937350169980913
71,37827,3.6564633710725056,0.057276669151317045,3.5991867019211887,3.6372115384615387,0.03802483654034994
72,17614,1.6628474468313728,0.02660005717165846,1.6362473896597143,1.6936538461538462,0.0574064564941319
73,21243,2.0591804397888747,0.03220232378454166,2.026978116004333,2.0425961538461537,0.015618037841820698
74,17598,1.7074567516341739,0.027202550017153077,1.6802542016170208,1.6921153846153847,0.011861182998363917
75,21530,2.066671120509615,0.03226018580735253,2.0344109347022625,2.0701923076923077,0.035781372990045135
76,24620,2.3876751200438338,0.037165056702701156,2.3505100633411327,2.3673076923076923,0.016797628966559675
77,19886,1.8985413637403135,0.030095720985197274,1.8684456427551162,1.9121153846153847,0.04366974186026851
78,15866,1.5331214517391807,0.02442764879543172,1.5086938029437489,1.5255769230769232,0.01688312013317428
79,17676,1.6849069753123318,0.026962233715182807,1.6579447415971489,1.6996153846153845,0.04167064301823564
80,26689,2.5662461850442595,0.04032195745627323,2.525924227587986,2.56625,0.04032577241201407
81,16109,1.5551636267748108,0.02460973030281459,1.5305538964719962,1.5489423076923077,0.01838841122031143
82,17707,1.669147091599503,0.027170457611984805,1.6419766339875181,1.7025961538461538,0.06061951985863567
83,16834,1.6207791403731189,0.025762258728722672,1.5950168816443961,1.6186538461538462,0.023636964509450076
84,18379,1.7583541821477802,0.028328557353344795,1.7300256247944354,1.7672115384615386,0.03718591366710311
85,16834,1.619368986810529,0.025501601093482894,1.593867385717046,1.6186538461538462,0.024786460436800217
86,19828,1.9345442048867945,0.030239820524538184,1.9043043843622562,1.9065384615384615,0.0022340771762052736
87,17105,1.6170863170420047,0.026579585664956273,1.5905067313770485,1.6447115384615385,0.05420480708449005
