run_tag,event_id,track_id,global_id,detected_end_side,n_reflections_scint_air,n_reflections_air_reflector,n_total_internal_reflections,visited_air_gap,visited_reflector_boundary,first_detection_time_ns,gun_x_mm
x0mm,0,1573,13,1,37,0,37,1,0,4.11203953986,0
x0mm,0,1559,5,0,17,0,17,1,0,4.99642065171,0
x0mm,0,1555,4,0,10,0,10,1,0,5.76963370573,0
x0mm,0,3069,4,0,0,0,0,0,0,6.0508515893,0
x0mm,0,1547,10,1,29,0,29,1,0,4.78383066282,0
x0mm,0,1540,6,0,56,0,56,1,0,5.46641059894,0
x0mm,0,1528,1,0,26,0,26,1,0,8.16060196291,0
x0mm,0,1526,8,1,61,0,61,1,0,4.43486905432,0
x0mm,0,1506,9,1,154,0,154,1,0,8.97277525483,0
x0mm,0,1501,6,0,21,22,21,1,1,6.76157411064,0
x0mm,0,1465,7,0,36,0,36,1,0,7.08572129858,0
x0mm,0,1451,14,1,9,0,9,1,0,4.06225549281,0
x0mm,0,1447,4,0,25,0,25,1,0,3.64729789825,0
x0mm,0,1411,3,0,24,0,24,1,0,6.40744049203,0
x0mm,0,1408,8,1,10,0,10,1,0,3.66487802713,0
x0mm,0,1378,1,0,5,0,5,1,0,4.16755028672,0
x0mm,0,1359,13,1,12,0,12,1,0,6.14946220641,0
x0mm,0,1357,6,0,65,0,65,1,0,12.1591497703,0
x0mm,0,1352,12,1,41,0,41,1,0,8.27744803072,0
x0mm,0,1347,10,1,11,0,11,1,0,6.23746203688,0
x0mm,0,1316,11,1,72,0,72,1,0,6.07026636358,0
x0mm,0,1300,5,0,8,0,8,1,0,4.11030586221,0
x0mm,0,1286,0,0,15,0,15,1,0,3.68950398007,0
x0mm,0,1284,7,0,77,0,77,1,0,6.15520741676,0
x0mm,0,1265,10,1,30,0,30,1,0,8.39545186837,0
x0mm,0,1263,1,0,93,0,93,1,0,7.89873206009,0
x0mm,0,1261,3,0,72,0,72,1,0,7.18692641555,0
