event_id,produced_scint,produced_optical,detected_left,detected_right,detected_top,edep_total_MeV,edep_nonionizing_MeV,edep_ionizing_MeV,edep_optical_MeV,gun_x_mm
33,16656,17692,286,334,4080,1.5979955188119028,0.0,1.5979955188119028,0.025521314572675955,0.0
34,23060,24113,433,424,5541,2.236518400430338,0.0,2.236518400430338,0.03496427549527898,0.0
35,19605,20621,418,388,4552,1.8787934000997468,0.0,1.8787934000997468,0.02956772579691125,0.0
36,23809,24931,494,478,5650,2.2986836953797654,0.0,2.2986836953797654,0.03625005509194137,0.0
37,21715,22729,443,440,5082,2.0899869610028525,0.0,2.0899869610028525,0.03286252086732714,0.0
38,17215,18211,367,334,4080,1.6509481354739366,0.0,1.6509481354739366,0.025956157352934058,0.0
39,19649,20677,419,410,4671,1.8713401274501806,0.0,1.8713401274501806,0.029874542705286278,0.0
40,19451,20574,373,410,4709,1.866571503559114,0.0,1.866571503559114,0.029873380619999793,0.0
41,17787,18832,384,350,4305,1.7248655036647134,0.0,1.7248655036647134,0.02757163445770389,0.0
42,16559,17595,333,337,3961,1.602345970074454,0.0,1.602345970074454,0.02518911460203849,0.0
43,23204,24211,508,464,5492,2.2225314237604397,0.0,2.2225314237604397,0.035043647965001125,0.0
44,16389,17427,317,306,4041,1.5901558566593468,0.0,1.5901558566593468,0.02545950788599186,0.0
45,18134,19174,351,368,4255,1.7337864982798523,0.0,1.7337864982798523,0.02751989735243196,0.0
46,18645,19609,372,403,4427,1.7944277590294244,0.0,1.7944277590294244,0.028318915587520036,0.0
47,16368,17358,320,330,3948,1.576907209746915,0.0,1.576907209746915,0.024948593320498987,0.0
48,16571,17578,300,306,3902,1.6085437937370823,0.0,1.6085437937370823,0.025016297587210853,0.0
49,15962,16942,315,361,3698,1.5313752313510456,0.0,1.5313752313510456,0.02418819861552693,0.0
50,16923,17971,321,346,3990,1.6097623242184695,0.0,1.6097623242184695,0.025665812952395402,0.0
51,16982,17998,349,372,4029,1.6391330383792253,0.0,1.6391330383792253,0.02586820476838028,0.0
52,21062,22102,390,388,5058,2.0025983685393256,0.0,2.0025983685393256,0.03205867155879469,0.0
53,20857,21922,429,385,4910,2.021550184197148,0.0,2.021550184197148,0.03170266744683974,0.0
54,27442,28825,557,573,6546,2.62156439622711,0.0,2.62156439622711,0.041597311807712596,0.0
55,18886,19961,382,398,4405,1.8402015579730293,0.0,1.8402015579730293,0.029006127564512194,0.0
56,24476,25632,519,472,5753,2.3410612542878377,0.0,2.3410612542878377,0.036705324705019735,0.0
57,19702,20671,396,369,4650,1.890301656915612,0.0,1.890301656915612,0.029898489515833564,0.0
58,18612,19612,357,354,4383,1.7909312929494212,0.0,1.7909312929494212,0.028135037399861673,0.0
59,16148,17154,345,289,3850,1.5430736739635356,0.0,1.5430736739635356,0.02447646257457816,0.0
60,23021,24065,494,440,5389,2.200958967200653,0.0,2.200958967200653,0.03453300462920686,0.0
61,23104,24138,446,458,5451,2.21077018581581,0.0,2.21077018581581,0.03477587913162129,0.0
62,20367,21509,414,375,4824,1.9310234556845955,0.0,1.9310234556845955,0.0309078329997487,0.0
63,19138,20174,371,388,4507,1.845417714618154,0.0,1.845417714618154,0.028953490793589103,0.0
64,16861,17932,323,364,4099,1.6270416525037803,0.0,1.6270416525037803,0.025872662237937372,0.0
65,17227,18218,315,361,4048,1.6737661768804633,0.0,1.6737661768804633,0.026068835523635422,0.0
66,20245,21281,363,392,4803,1.9303727186311808,0.0,1.9303727186311808,0.030721816281449967,0.0
67,17431,18471,326,331,4104,1.663164243897481,0.0,1.663164243897481,0.02631316193892736,0.0
68,22712,23814,456,475,5337,2.197831027171964,0.0,2.197831027171964,0.034116205810549555,0.0
69,16557,17519,306,354,4013,1.5772155471941056,0.0,1.5772155471941056,0.02587764427424272,0.0
70,21045,22230,463,440,4951,2.016255344379776,0.0,2.016255344379776,0.03207115377189277,0.0
71,37827,39518,791,732,9013,3.6564633710725056,0.0,3.6564633710725056,0.057276669151317045,0.0
72,17614,18605,361,367,4056,1.6628474468313728,0.0,1.6628474468313728,0.02660005717165846,0.0
73,21243,22267,386,395,5070,2.0591804397888747,0.0,2.0591804397888747,0.03220232378454166,0.0
74,17598,18643,391,350,4187,1.7074567516341739,0.0,1.7074567516341739,0.027202550017153077,0.0
75,21530,22580,413,433,5030,2.066671120509615,0.0,2.066671120509615,0.03226018580735253,0.0
76,24620,25855,496,454,5858,2.3876751200438338,0.0,2.3876751200438338,0.037165056702701156,0.0
77,19886,20918,430,361,4646,1.8985413637403135,0.0,1.8985413637403135,0.030095720985197274,0.0
78,15866,16879,327,308,3822,1.5331214517391807,0.0,1.5331214517391807,0.02442764879543172,0.0
79,17676,18723,371,375,4178,1.6849069753123318,0.0,1.6849069753123318,0.026962233715182807,0.0
80,26689,27843,517,519,6382,2.5662461850442595,0.0,2.5662461850442595,0.04032195745627323,0.0
81,16109,17075,339,330,3847,1.5551636267748108,0.0,1.5551636267748108,0.02460973030281459,0.0
82,17707,18798,349,373,4161,1.669147091599503,0.0,1.669147091599503,0.027170457611984805,0.0
83,16834,17831,333,331,4029,1.6207791403731189,0.0,1.6207791403731189,0.025762258728722672,0.0
84,18379,19439,339,356,4487,1.7583541821477802,0.0,1.7583541821477802,0.028328557353344795,0.0
85,16834,17828,355,321,3981,1.619368986810529,0.0,1.619368986810529,0.025501601093482894,0.0
86,19828,20876,396,372,4816,1.9345442048867945,0.0,1.9345442048867945,0.030239820524538184,0.0
87,17105,18197,341,352,4149,1.6170863170420047,0.0,1.6170863170420047,0.026579585664956273,0.0
88,16272,17335,320,357,3839,1.5812227607056046,0.0,1.5812227607056046,0.02490740728740696,0.0
89,18293,19336,360,355,4407,1.7525685410381127,0.0,1.7525685410381127,0.02784395788841293,0.0
90,19161,20162,405,372,4544,1.8352189092072306,0.0,1.8352189092072306,0.029257714903293104,0.0
91,19859,20888,392,403,4640,1.9116484478841749,0.0,1.9116484478841749,0.030088497182714242,0.0
92,17556,18615,332,341,4154,1.6721736799703288,0.0,1.6721736799703288,0.026461928420016385,0.0
93,20124,21120,397,375,4805,1.9429461129640764,0.0,1.9429461129640764,0.03028535375466192,0.0
94,19218,20304,346,361,4627,1.8497382488301435,0.0,1.8497382488301435,0.029343167994655243,0.0
95,24125,25217,458,502,5742,2.3237020423103867,0.0,2.3237020423103867,0.0363924211963997,0.0
96,21630,22678,442,425,5067,2.0696143318656604,0.0,2.0696143318656604,0.032342005169448386,0.0
97,19809,20883,380,388,4699,1.9141691713492295,0.0,1.9141691713492295,0.030266987822883302,0.0
98,22288,23293,493,461,5299,2.1596797811963877,0.0,2.1596797811963877,0.03387729588170248,0.0
99,17950,18973,329,347,4286,1.7359213986822544,0.0,1.7359213986822544,0.027398106388665546,0.0
100,15628,16704,305,315,3795,1.512880880554052,0.0,1.512880880554052,0.024185263303645795,0.0
101,17208,18222,329,361,4021,1.646160970801961,0.0,1.646160970801961,0.026187893740375934,0.0
102,20641,21679,402,430,4950,1.9676375373806467,0.0,1.9676375373806467,0.031435772582609926,0.0
103,19245,20253,408,367,4634,1.8426149524500373,0.0,1.8426149524500373,0.029281099840334078,0.0
104,38990,41014,748,797,9288,3.749623539034435,0.0,3.749623539034435,0.059322224616974874,0.0
105,15272,16328,309,304,3702,1.4600782735324576,0.0,1.4600782735324576,0.023537040738661197,0.0
106,22477,23484,429,458,5328,2.1534769316700664,0.0,2.1534769316700664,0.03405181135705919,0.0
107,15661,16750,299,311,3677,1.5241344874907312,0.0,1.5241344874907312,0.023959674592607793,0.0
108,16364,17414,328,347,3903,1.5697182620790295,0.0,1.5697182620790295,0.02513407551802664,0.0
109,20491,21611,391,405,4859,1.972634068000973,0.0,1.972634068000973,0.030877171449704977,0.0
110,15321,16341,286,315,3661,1.4518830773751628,0.0,1.4518830773751628,0.0232905589971323,0.0
111,16271,17308,350,353,3878,1.5766336294826888,0.0,1.5766336294826888,0.024962354486862893,0.0
112,34722,36181,665,697,8203,3.3580645823409156,0.0,3.3580645823409156,0.052203837150049885,0.0
113,16687,17738,314,332,3992,1.6112634365853071,0.0,1.6112634365853071,0.025614412843397775,0.0
114,21700,22687,462,410,5009,2.105752527024345,0.0,2.105752527024345,0.03251947526370616,0.0
115,25987,27047,529,524,6151,2.500817393863958,0.0,2.500817393863958,0.03891149858253271,0.0
116,17309,18395,357,350,4092,1.6497584333232753,0.0,1.6497584333232753,0.026512136289460433,0.0
117,19587,20589,375,408,4608,1.8886277063818095,0.0,1.8886277063818095,0.029827746528185005,0.0
118,15679,16710,325,292,3710,1.5076558399178466,0.0,1.5076558399178466,0.02382281966972535,0.0
119,17125,18193,338,360,4018,1.6602764242747565,0.0,1.6602764242747565,0.025879351031249116,0.0
120,18250,19265,379,368,4280,1.717963269642574,0.0,1.717963269642574,0.02746404570763646,0.0
121,17625,18655,388,362,4152,1.7154189726619609,0.0,1.7154189726619609,0.02697079686798985,0.0
122,18838,19883,417,372,4536,1.8103512765918506,0.0,1.8103512765918506,0.028532211733852102,0.0
123,18828,19872,372,383,4407,1.7917322726818132,0.0,1.7917322726818132,0.0285025918297608,0.0
124,16723,17752,331,305,4018,1.6128105653877542,0.0,1.6128105653877542,0.025770796176124388,0.0
125,17206,18212,348,341,4102,1.645372591187022,0.0,1.645372591187022,0.026060783895268495,0.0
126,31008,32439,620,619,7337,2.9796667060639255,0.0,2.9796667060639255,0.04688122869201124,0.0
