material,x_mm,variant,bins,mean_npe,derivative_ns_pe,derivative_se_ns_pe,p0_ns,p1_ns_pe,p2_ns_pe2,chi2,ndf,chi2_ndf,unreliable,status,covariance_status
EJ-230,-650,quantile_pol1,40,2249.6033,-3.04651073371e-05,1.06594629141e-06,4.16821881168,-3.04651073371e-05,0,148.600391395,38,3.91053661566,False,0,3
EJ-230,-650,quantile_pol2,40,2249.6033,-5.22704846758e-05,2.30872768154e-06,4.2608979947,-9.35618858349e-05,9.17748501683e-09,35.2297380159,37,0.952155081511,False,0,3
EJ-230,-500,uniform_pol1,40,1237.9344,-6.85487214147e-05,8.16017720166e-07,4.19027776282,-6.85487214147e-05,0,110.685350674,27,4.09945743237,False,0,3
EJ-230,-500,uniform_pol2,40,1237.9344,-9.27424469164e-05,3.36483993146e-06,4.23954944187,-0.000126092389717,1.34699959869e-08,55.7564922003,26,2.14448046924,False,0,3
EJ-230,-500,quantile_pol1,40,1237.9344,-5.51925679284e-05,1.62796098557e-06,4.17422155512,-5.51925679284e-05,0,199.31936948,38,5.24524656527,True,0,3
EJ-230,-500,quantile_pol2,40,1237.9344,-9.916849967e-05,3.74810895247e-06,4.27049335538,-0.00017149425699,2.92122738168e-08,29.6517298601,37,0.801398104326,False,0,3
EJ-230,-200,uniform_pol1,40,684.2922,-9.65593570862e-05,2.18968638514e-06,4.16706586782,-9.65593570862e-05,0,330.892058252,32,10.3403768204,True,0,3
EJ-230,-200,uniform_pol2,40,684.2922,-0.000152735110416,4.87289405545e-06,4.23342043083,-0.000239669693828,6.35215361304e-08,164.366799885,31,5.30215483501,True,0,3
EJ-230,-200,quantile_pol1,40,684.2922,-0.000100691122732,2.76924306538e-06,4.17009436012,-0.000100691122732,0,222.039789108,38,5.84315234495,True,0,3
EJ-230,-200,quantile_pol2,40,684.2922,-0.000168053341988,6.00048456953e-06,4.25659595258,-0.000294868591982,9.26616217408e-08,61.9081131125,37,1.67319224628,False,0,3
EJ-230,0,uniform_pol1,40,608.5049,-9.66595839567e-05,2.40781482053e-06,4.1585804536,-9.66595839567e-05,0,528.419367867,28,18.872120281,True,0,3
EJ-230,0,uniform_pol2,40,608.5049,-0.000193200416838,4.96209054021e-06,4.24952211631,-0.00030586019516,9.25709705228e-08,33.3199719509,27,1.23407303522,False,0,3
EJ-230,0,quantile_pol1,40,608.5049,-0.000109173671392,2.73771139373e-06,4.16712160269,-0.000109173671392,0,242.013350724,38,6.36877238746,True,0,3
EJ-230,0,quantile_pol2,40,608.5049,-0.000189077389527,6.38802268719e-06,4.25086399863,-0.000313961116365,1.02615218743e-07,50.3512403698,37,1.36084433432,False,0,3
EJ-230,200,uniform_pol1,40,684.2388,-9.82668658162e-05,2.33251771699e-06,4.1696770035,-9.82668658162e-05,0,307.767183362,27,11.3987845689,True,0,3
EJ-230,200,uniform_pol2,40,684.2388,-0.000172776786067,5.02603475931e-06,4.2540969071,-0.000276816925008,7.60261906663e-08,27.665268328,26,1.06404878184,False,0,3
EJ-230,200,quantile_pol1,40,684.2388,-9.96007737509e-05,2.71570293091e-06,4.1711210682,-9.96007737509e-05,0,227.969772868,38,5.99920454915,True,0,3
EJ-230,200,quantile_pol2,40,684.2388,-0.00017495838312,6.05516114718e-06,4.26287091731,-0.000301163419055,9.22229460937e-08,34.0885142531,37,0.92131119603,False,0,3
EJ-230,500,uniform_pol1,40,1240.6965,-2.113527815e-05,3.86946855104e-07,4.13362355609,-2.113527815e-05,0,775.587427044,34,22.811394913,True,0,3
EJ-230,500,uniform_pol2,40,1240.6965,-0.000104241083077,3.13676121082e-06,4.29031138638,-0.000195306214302,3.66991972754e-08,62.8009937878,33,1.90306041781,False,0,3
EJ-230,500,quantile_pol1,40,1240.6965,-5.75302707613e-05,1.73056474787e-06,4.17928379494,-5.75302707613e-05,0,161.763222527,38,4.25692690861,False,0,3
EJ-230,500,quantile_pol2,40,1240.6965,-9.41045957669e-05,3.86385346622e-06,4.26455480661,-0.000162690822205,2.76402111386e-08,49.678073464,37,1.34265063416,False,0,3
EJ-230,650,uniform_pol1,40,2252.0272,-2.20370381735e-05,6.99415633989e-07,4.1500429886,-2.20370381735e-05,0,312.030250243,34,9.17736030128,True,0,3
EJ-230,650,uniform_pol2,40,2252.0272,-5.22832383636e-05,1.97922182625e-06,4.26376952443,-9.52997596169e-05,9.55062204694e-09,45.1702393786,33,1.36879513268,False,0,3
EJ-230,650,quantile_pol1,40,2252.0272,-3.06713926388e-05,1.05156163044e-06,4.16970167105,-3.06713926388e-05,0,126.193012789,38,3.32086875762,False,0,3
EJ-230,650,quantile_pol2,40,2252.0272,-4.89660226977e-05,2.34696279045e-06,4.24897038898,-8.50324216693e-05,8.00754071079e-09,50.1686852735,37,1.3559104128,False,0,3
