x_beam_mm,group,var_over_mean,chi2ndf_poisson,chi2ndf_gaussian
-200,nearest_end_SUM4,11.36813007146708,18.91651279560636,5.446320433041066
-150,nearest_top,25.256079050603045,12.336884908756728,5.4292251923450285
-150,nearest_top_3,71.08989954358793,10.79683761976889,
-150,nearest_end_all,21.09686568736665,14.667436543931915,6.099606612019691
-150,nearest_end_SUM4,11.433107819756495,17.726589890079374,6.773387434350729
-100,nearest_top,25.106175114848554,12.050042963199262,4.965850752151184
-100,nearest_top_3,67.68105189973996,10.438108734314117,
-100,nearest_end_all,17.1818873432491,15.761607586129369,5.6605676141131696
-100,nearest_end_SUM4,9.229715854845526,23.4187213036795,6.214741509935465
-50,nearest_top,26.06334209928191,12.743300789171954,6.285986147198479
-50,nearest_top_3,73.29711779145735,10.755992513447271,
-50,nearest_end_all,16.922025730622618,17.811312772171235,5.9385752834378955
-50,nearest_end_SUM4,9.000943416757345,22.848047572123306,7.429941666328972
0,nearest_top,23.27060778357103,11.36200170155851,4.748434507736586
0,nearest_top_3,61.683285782031575,10.02694970891467,
0,nearest_end_all,11.578899843133218,18.575204414266317,5.883903763786799
0,nearest_end_SUM4,6.382994785009458,25.121907581563818,6.242898411417689
50,nearest_top,24.30167442602269,13.571609712481381,5.5825008562021665
50,nearest_top_3,68.77646119118238,10.447241460699301,
50,nearest_end_all,15.747195229681978,16.899165950903978,5.397574733571372
50,nearest_end_SUM4,8.26360442752483,21.577746440413495,6.9828235053338235
100,nearest_top,23.741330088450557,11.852871264853666,4.269111102858743
100,nearest_top_3,62.57792320846089,10.023686730820872,
100,nearest_end_all,15.970582508455282,13.431345881154487,4.693523262957984
100,nearest_end_SUM4,8.533809503292916,18.55849548985765,5.682562034263449
150,nearest_top,22.905478006031657,14.52067330807427,5.544697768462518
150,nearest_top_3,64.35005182263815,10.425877242172877,
150,nearest_end_all,19.89006793878297,13.366784819157768,5.008252464857261
150,nearest_end_SUM4,10.866722878482475,23.558868453472055,5.806811170983491
200,nearest_top,27.47636255451186,13.166897047813627,5.226095687124226
200,nearest_top_3,73.16509625951157,10.73222823743686,
200,nearest_end_all,23.775392715935023,14.065124202389285,5.751536930817508
200,nearest_end_SUM4,12.241583414828998,20.840002655766362,6.024611033923009
250,nearest_top,26.0708179970847,13.481497446493792,5.8679959015422805
250,nearest_top_3,73.27792531732177,10.739168828629824,
250,nearest_end_all,28.367074093414598,12.281226826251023,5.633767849362489
250,nearest_end_SUM4,14.484554161615591,16.29077359685607,5.880499933688469
300,nearest_top,26.211822576738598,11.019508761256823,5.422537154269507
300,nearest_top_3,70.8026589174766,10.116580372330546,
300,nearest_end_all,32.27038896090909,11.34408248884741,5.36381214150958
300,nearest_end_SUM4,16.891823349614413,16.249836485575774,5.779669238470584
350,nearest_top,23.777354275881386,14.169341512003344,5.882830379733225
350,nearest_top_3,68.16689330166925,10.806394476087613,
350,nearest_end_all,37.58657220879954,11.170264063380765,3.3068974795884043
350,nearest_end_SUM4,19.810883582199907,15.195729455779611,5.52810886288331
400,nearest_top,27.42005391369773,11.865975553285994,5.1469558093143535
400,nearest_top_3,73.19132948053216,10.454955873643708,
400,nearest_end_all,46.165261244412996,10.953949548045646,
400,nearest_end_SUM4,23.824590728264177,12.991825156347552,5.35260756221839
450,nearest_top,24.69597274606485,12.634613805688012,5.142819740719041
450,nearest_top_3,69.83286588997011,10.783686640989787,
450,nearest_end_all,54.53106369273186,10.923625289173387,
450,nearest_end_SUM4,28.04233031329758,11.569354475308169,5.3819471738442655
500,nearest_top,26.840902627249,11.972519066624699,5.640070409261753
500,nearest_top_3,71.87508858913607,10.364074099678776,
500,nearest_end_all,67.20681115141555,10.708264012269264,
500,nearest_end_SUM4,34.465416053694646,11.584916440480058,4.359599786916504
550,nearest_top,25.19947959678896,12.500211681494878,5.287619518101903
550,nearest_top_3,72.41169734188367,10.348964716637438,
550,nearest_end_all,89.71990223437354,10.137730590252445,
550,nearest_end_SUM4,45.80349955970659,10.923585392615884,
600,nearest_top,26.247390589145652,11.932468884356027,5.420565347125831
600,nearest_top_3,69.91951771983263,10.655244971971094,
600,nearest_end_all,103.1914262083144,9.92737776453746,
600,nearest_end_SUM4,52.34475673160755,10.693335981668088,
650,nearest_top,24.211202369399448,12.381276315267272,5.315976000287423
650,nearest_top_3,73.99456258472402,10.223494276735602,
650,nearest_end_all,142.5628585601153,9.06729466002947,
650,nearest_end_SUM4,72.84987900428861,10.136995428093288,
670,nearest_top,23.550344159274474,12.657660561170982,5.327426726032612
670,nearest_top_3,66.27254280940191,10.327457657170434,
670,nearest_end_all,169.18978343764655,8.859730667083573,
670,nearest_end_SUM4,85.95336027661672,9.76943386430384,
690,nearest_top,22.526502607763227,11.559172020250333,5.569163604801269
690,nearest_top_3,59.83801938515153,10.386078486240928,
690,nearest_end_all,197.60767629094656,8.46695762350085,
690,nearest_end_SUM4,104.7006075457354,9.831778513765386,
