campaign,x_beam_mm,group,n_photons,mean_ns,mean_ns_error,rms_ns,rms_ns_error,t50_ns,t50_ns_error,t90_ns,t90_ns_error,t99_ns,t99_ns_error,frac_gt10,frac_gt10_error,frac_gt20,frac_gt20_error
EndTop,0,all_end,779198,5.465706205169609,0.001780350584399122,2.0554450504927244,0.0026309328554813224,4.952646937328616,0.002530588568291099,8.141644684412173,0.005812821931039889,12.602172680353632,0.018944441777496303,0.038162315611693046,0.0001697663806751093,0.00017838854822522645,1.3649686483706107e-05
EndTop,0,end_left_A_SUM4,195590,5.455557211570636,0.0054883321000614785,2.0573929981598535,0.005213377911033411,4.938632678416014,0.006389338209259829,8.126969083173298,0.011009590907617191,12.629666857806344,0.03592924743787049,0.03749680454010941,0.00031307054898411,0.0001993966971726571,2.911455299230324e-05
EndTop,0,end_left_B_SUM4,193275,5.479037358591378,0.005611758158888211,2.060126428673765,0.008512627149742774,4.966046874608972,0.0037108167086739425,8.164315300378531,0.016127600352401985,12.625139082785727,0.053662991372077674,0.038856551545725,0.0006326757312173385,0.00018108912171775968,3.525257396035336e-05
EndTop,0,end_right_A_SUM4,196426,5.442913694052026,0.003986116489961879,2.041820860924067,0.006562407731870253,4.931618784294946,0.004076035206182343,8.084278927853099,0.009554956530630493,12.554033083184734,0.049344322787893906,0.037556128007493916,0.00038829524849345333,0.00016800219930151813,2.814872201189205e-05
EndTop,0,end_right_B_SUM4,193907,5.485744186104872,0.004242626760068991,2.0622579294823904,0.0043250043590774235,4.976395886937974,0.004612025503271595,8.183990331374705,0.016687961988010595,12.603144783534548,0.04614022702231791,0.038755692161706386,0.0003900452713625736,0.00016502756476042638,2.6458062245085066e-05
End-only,0,all_end,4181822,5.981896328839353,0.0010358595595520484,2.302689087644838,0.0013457173169574175,5.434595983486311,0.0011488201517791282,9.024916604080353,0.0023146672141431466,13.730885660962414,0.008150929539447127,0.0626045297958641,9.339537577161093e-05,0.0004196735298632988,9.770118295927114e-06
End-only,0,end_left_A_SUM4,1045069,5.983217938405098,0.0020839090209645314,2.3036188816375014,0.002869963707222712,5.436819621404009,0.0023103479725984943,9.02616298210448,0.005767596019519435,13.733439687970144,0.017044981252926337,0.06290493737734064,0.00017892661706788405,0.000402844214114092,2.0194830962181375e-05
End-only,0,end_left_B_SUM4,1045412,5.9818451601880165,0.0018763845588943857,2.3028489601889475,0.002002185603978695,5.4329346032394445,0.0026597066244056704,9.023629090071541,0.004839882002604489,13.746133397599793,0.015553953474077977,0.06254758889318278,0.0002157557464043876,0.00042949573947878924,1.8354809278306597e-05
End-only,0,end_right_A_SUM4,1046141,5.980021396239312,0.0021817680417155244,2.301722795050483,0.002926244905748529,5.4328197639769185,0.0022948172526212006,9.022152272546627,0.005265710336302868,13.719566070955736,0.01954617645902091,0.062352015646074475,0.00020151197075752504,0.0004139021412983527,1.763142039576162e-05
End-only,0,end_right_B_SUM4,1045200,5.982502684560745,0.002203527708081661,2.3025650446290196,0.0025454389621174913,5.435754230179012,0.002063966221090045,9.027990517805291,0.0062338851799474205,13.724397308697698,0.01817027998716057,0.06261385380788366,0.0002102224782169801,0.0004324531190202832,1.5880360953407656e-05
EndTop,400,all_end,1534879,4.291894780856353,0.001993634961486309,2.189698364117262,0.0024205133861357093,3.749396286140079,0.0018129510812221524,7.194044032159159,0.004821699576556845,11.561149533032017,0.017086163149490304,0.02297640400318201,0.00015262555280866035,0.00012053067375343594,7.469904465183609e-06
EndTop,400,end_left_A_SUM4,78857,6.813817667973815,0.008296989011604628,2.041798745047737,0.008811576522663832,6.293771443925659,0.007966164532087674,9.474264907551378,0.029157643379881477,13.814651366875397,0.036901772644608685,0.07592223898956339,0.0010975304576809923,0.00038043547180339094,8.453683251673726e-05
EndTop,400,end_left_B_SUM4,71112,6.8466934485526405,0.010143965827430764,2.083829368242196,0.012497687135303992,6.3155475415163815,0.008846135687886548,9.590641731104295,0.019662209107012586,14.03726623103267,0.07881318027757969,0.0819833502081224,0.0011797367572211205,0.000534368320395995,0.00012777818478933444
EndTop,400,end_right_A_SUM4,719423,4.014316758183932,0.002625776101928944,2.0197260545032187,0.002125350394549728,3.512785781163242,0.002328523577447963,6.6550749229442365,0.00650716898531204,10.996438910475268,0.013246804516521132,0.016839884184964897,0.00016571490843759058,9.035018341087232e-05,9.959713734670752e-06
EndTop,400,end_right_B_SUM4,665487,4.020135750008901,0.0026192595985608524,2.020523109247964,0.0033966521211809754,3.5112017132378397,0.0028744100045678626,6.66217805639152,0.0051412808416486854,10.987922127862479,0.02301357268231213,0.01703113659620699,0.00017735551278782885,7.813826566108729e-05,1.0798764851742571e-05
End-only,400,all_end,6852777,4.749559776744419,0.0008166939946625607,2.4386674441982037,0.0008000657052406253,4.183752723304599,0.0012462038466529207,8.000220246281533,0.002446318202689576,12.712045897268576,0.006387042891496071,0.03828083126008624,5.670113563241506e-05,0.00024369682538918165,5.4097193020702216e-06
End-only,400,end_left_A_SUM4,432734,7.425640889879777,0.0031226289607117603,2.3287815170448303,0.004502646616446285,6.883939826699168,0.003168611057768004,10.495549993592393,0.0078699829151691,15.248285595841635,0.034488122335380025,0.12606820818331815,0.0004716878008294713,0.0008804484972292448,3.958020584472268e-05
End-only,400,end_left_B_SUM4,431847,7.423579963749597,0.0032071083429200805,2.3198783539202457,0.003512665235410349,6.884012109698203,0.004131734919298338,10.49613517959787,0.006268839131754176,15.158728173036526,0.02722492278589688,0.12599138120677,0.00044927310172555233,0.0009100445296598101,4.280832320789888e-05
End-only,400,end_right_A_SUM4,2993579,4.363600702597526,0.0010192877571805275,2.2013953360941,0.0008316018076600427,3.8264504778366324,0.0012657245174744138,7.247843661921569,0.003188550101279534,11.874417276747325,0.00793030801478942,0.025620169035124846,8.03166596678608e-05,0.00013829599953767713,5.627487683245299e-06
End-only,400,end_right_B_SUM4,2994617,4.363066311675738,0.0013019588865481597,2.200138477915378,0.0013821316591354621,3.827850450234104,0.0015783787079826283,7.2472763609500745,0.0036240135741032217,11.851479713078307,0.012939196434820045,0.025602940209048436,8.823299309959132e-05,0.00016095547443963618,4.722210942361348e-06
