x_beam_mm,side,distance_cm,mean_ns,mean_ns_error,t50_ns,t50_ns_error,fpt_mean_ns,fpt_mean_ns_error,frac_gt10,frac_gt10_error
-400,left,30.0,4.0158069355251245,0.00154538725184607,3.5118734147273294,0.002080596018119111,1.3866163372300813,0.001584599227432863,0.016881580127472564,8.638829876419951e-05
-400,right,110.0,6.827844888115115,0.0038881266500677514,6.310875410708433,0.005118076034281193,4.2812843018138045,0.0036172756095335843,0.07663153940581043,0.0005514526172422951
-350,left,35.0,4.2137024062252655,0.0018212204500668947,3.7111120253822723,0.0015792445806824065,1.5668593411037064,0.0014418016256056581,0.01894918623366663,0.00011697674397924513
-350,right,105.0,6.661415995494801,0.00417176702970137,6.147497339613001,0.0042535862346289545,4.09607777016769,0.0030427860591170724,0.07149350842271013,0.0005444076477998465
-300,left,40.0,4.392016802550324,0.002131749486984921,3.8888548518204624,0.0020200237653852583,1.7492975813063012,0.0015383680558902874,0.02102432414780473,0.00012628682816052695
-300,right,100.0,6.4908795700904625,0.0038611847044721244,5.972157066763118,0.0045806260282632945,3.9118349228612024,0.0030469636982224805,0.06564774458642346,0.0005222985171318077
-250,left,45.0,4.581835506943198,0.0025582159798585315,4.072875246285001,0.0018609428278845185,1.9304419506403314,0.0017397658603603933,0.02343794158854621,0.00016758085073178666
-250,right,95.0,6.322047890634218,0.004492168711000564,5.8062157330285205,0.0041669915981538104,3.734447671622613,0.0033275351165900306,0.059536961087852225,0.0005802258627915314
-200,left,50.0,4.760624235410692,0.0023859361152932107,4.2550680965230825,0.0025457469768056986,2.1084257282469623,0.0015300569728349256,0.025818295998121688,0.0001620192829247952
-200,right,90.0,6.152344299957354,0.0036894059463590647,5.636542319707744,0.0038696743281656535,3.5576670683342515,0.00305585059994917,0.05460489910744835,0.00045573589619266085
-150,left,55.0,4.942029678093916,0.002037304998156789,4.426498204015762,0.0033147436150124873,2.2902475097483435,0.002353690300817937,0.029034708899773064,0.00022863341852622125
-150,right,85.0,5.96913924035655,0.00463243511747619,5.451848400136161,0.0042930740050450625,3.36654717344613,0.002818148659735182,0.04941864781788753,0.00040404959807362184
-100,left,60.0,5.115631030548859,0.003464772767737198,4.606186455606176,0.0037964078447108637,2.4688746558467365,0.0027216942554164052,0.03149358948093429,0.00023135081674023703
-100,right,80.0,5.807206744780861,0.003336254802216628,5.29680798747478,0.0034955459613532293,3.188108897032519,0.002579520253229671,0.045400361248055895,0.0004293976805379143
-50,left,65.0,5.2933953305841595,0.002724434950866185,4.7779894301592485,0.0022880235443271295,2.650598567720186,0.0024807438391975115,0.03484575744740929,0.00033646525799635305
-50,right,75.0,5.638161055619018,0.003269376503651997,5.123159653522285,0.0031046659937785646,3.009556448954551,0.00234683603707945,0.041415680096378846,0.0003465600410249072
0,left,70.0,5.467227393807231,0.0029078965875525705,4.9522633085306325,0.004489454768627606,2.8345620607658577,0.0022520740769785665,0.03817263060445142,0.0002876627540220969
0,right,70.0,5.464190737557164,0.0026479002695583547,4.953081056929312,0.002963197674185362,2.8299533713637492,0.002116427337842772,0.038152039412501636,0.00024434429633807405
50,left,75.0,5.6349410137903515,0.002524625937899852,5.1202362407309785,0.0026055062985217486,3.0109597212716217,0.002516569376613236,0.04159371695414437,0.0003475892995384927
50,right,65.0,5.289593504440185,0.0033506384324043363,4.772339633998529,0.003200001897058534,2.6502721203247264,0.0024301414186638174,0.03449204946996466,0.00026786139744658307
100,left,80.0,5.809988509849141,0.002613482231837569,5.295779253779585,0.004789027628192495,3.1881146153295745,0.0020476603131935676,0.04589220423837666,0.0003453145149628746
100,right,60.0,5.113323250749599,0.0028794875626712547,4.605501840558619,0.0034487397601703092,2.469754528946806,0.0020079300833049114,0.031356659006739056,0.0001974231976465968
150,left,85.0,5.968120243501566,0.004704350639566811,5.44931268752999,0.004043327492806492,3.3708938490927065,0.0020951133408001472,0.04978574671238388,0.0004216717110512386
150,right,55.0,4.943338653460798,0.0023327650030245963,4.427127048430717,0.0032875105376627013,2.2858889655068158,0.0022890045704627724,0.028821865294871248,0.00018572497571841507
200,left,90.0,6.145106507156775,0.0031859688840989416,5.629941164905871,0.0028318735189290533,3.551994246633265,0.0020799616685371405,0.054302383955653614,0.0003872945239206717
200,right,50.0,4.760797023777512,0.0023504634358699652,4.251869952434587,0.0022139920044968817,2.1060919450446813,0.0018458145720260508,0.026078263030659046,0.00016789195087994716
